frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,gps_intent_family,planner_intent_family,turn_lock_family,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,planner_family,path_source,bev_mask_occ_ratio,approval_confidence,approval_margin,planner_low_confidence,planner_slowdown,selected_template_id,selected_template_family,corridor_confidence,corridor_valid_ratio,corridor_forward_span_m,corridor_width_cv,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.6303462982177734,2026-03-24T03:27:54.525566,344.23,0.0,0.0,0.0,0.0,0.0,0.0,386.88,0.0,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.85723,0.0,0.0,1,1.0,,right,0.9551,0.9744,10.6405,0.1945,0,,,,,,0,,,,916103,203059,0
1,0.6917223930358887,2026-03-24T03:27:54.586942,44.09,0.0,0.0,0.0,7.05,0.0,0.0,61.38,16.29,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.85377,0.0,0.0,1,1.0,,right,0.9555,0.9744,10.6405,0.193,0,,,,,,0,,,,910756,202231,0
2,0.7331061363220215,2026-03-24T03:27:54.628325,41.38,0.0,0.0,0.0,0.0,0.0,0.0,41.38,19.46,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.84968,0.0,0.0,1,1.0,,right,0.955,0.9744,10.6405,0.1949,0,,,,,,0,,,,911446,201366,0
3,0.7839295864105225,2026-03-24T03:27:54.679149,40.67,0.0,0.0,0.0,10.15,0.0,0.0,50.82,19.53,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.84804,0.0,0.0,1,1.0,,right,0.955,0.9744,10.6405,0.1951,0,,,,,,0,,,,909788,200861,0
4,0.8301100730895996,2026-03-24T03:27:54.725329,40.5,0.0,0.0,0.0,5.68,0.0,0.0,46.18,20.02,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.84538,0.0,0.0,1,1.0,,right,0.9553,0.9744,10.6405,0.1939,0,,,,,,0,,,,907484,200334,0
5,1.4348843097686768,2026-03-24T03:27:55.330104,39.48,0.0,0.0,50.47,509.21,0.0,0.0,604.77,6.21,-0.045,0.0,STRAIGHT,right,right,,0.557,0.226,"CMD,0.0,0.23",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,3,500.3,292,19,dijkstra,,dt_corridor,0.84774,0.2606,0.6765,1,0.7394,right_sharp,right,0.9554,0.9744,10.6405,0.1933,0,,,,,,0,,,,906774,200899,8716
6,2.098207473754883,2026-03-24T03:27:55.993427,31.12,0.0,0.0,50.98,550.81,0.0,0.0,663.32,4.09,-0.074,-0.045,STRAIGHT,right,right,,0.56,0.274,"CMD,-0.0,0.27",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,297,21,dijkstra,,dt_corridor,0.83939,0.2631,0.6898,1,0.7369,right_sharp,right,0.9559,0.9744,10.6405,0.1913,0,,,,,,0,,,,906949,198769,9296
7,2.7464911937713623,2026-03-24T03:27:56.641711,37.33,0.0,3.52,46.61,556.29,0.0,0.0,648.28,3.31,-0.094,-0.074,STRAIGHT,right,right,,0.56,0.31,"CMD,-0.1,0.31",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,288,22,dijkstra,,dt_corridor,0.83872,0.2631,0.6898,1,0.7369,right_sharp,right,0.9557,0.9744,10.6405,0.192,0,,,,,,0,,,,903277,198560,8869
8,3.3865203857421875,2026-03-24T03:27:57.281740,33.01,0.0,0.0,49.06,537.57,0.0,0.0,640.03,2.9,-0.107,-0.094,STRAIGHT,right,right,,0.561,0.36,"CMD,-0.1,0.36",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,5,500.3,303,19,dijkstra,,dt_corridor,0.84335,0.2634,0.69,1,0.7366,right_sharp,right,0.9578,0.9744,10.6405,0.1827,0,,,,,,0,,,,901827,199989,8385
9,3.996339797973633,2026-03-24T03:27:57.891559,43.12,0.0,0.0,51.4,507.72,0.0,0.0,609.82,2.67,-0.116,-0.107,STRAIGHT,right,right,,0.561,0.41,"CMD,-0.1,0.41",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,297,21,dijkstra,,dt_corridor,0.84664,0.2633,0.6901,1,0.7367,right_sharp,right,0.9573,0.9744,10.6405,0.1852,0,,,,,,0,,,,903067,200735,8911
