frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,gps_intent_family,planner_intent_family,turn_lock_family,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,planner_family,path_source,bev_mask_occ_ratio,approval_confidence,approval_margin,planner_low_confidence,planner_slowdown,selected_template_id,selected_template_family,corridor_confidence,corridor_valid_ratio,corridor_forward_span_m,corridor_width_cv,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.726442813873291,2026-03-24T02:47:48.354024,379.49,1.0,3.04,0.0,2.01,0.0,0.0,433.05,0.0,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.85723,0.0,0.0,1,1.0,,right,0.9551,0.9744,10.6405,0.1945,0,,,,,,0,,,,916110,203059,0
1,0.7844512462615967,2026-03-24T02:47:48.412032,45.29,1.5,3.04,0.0,2.14,0.0,0.0,58.01,16.95,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.85377,0.0,0.0,1,1.0,,right,0.9555,0.9744,10.6405,0.193,0,,,,,,0,,,,910761,202231,0
2,0.8326742649078369,2026-03-24T02:47:48.460255,37.51,1.0,3.51,0.0,1.18,0.0,0.0,48.22,18.65,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.84968,0.0,0.0,1,1.0,,right,0.955,0.9744,10.6405,0.1949,0,,,,,,0,,,,911452,201368,0
3,0.8847198486328125,2026-03-24T02:47:48.512301,40.04,1.02,3.17,0.0,2.27,0.0,0.0,51.04,18.95,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.84804,0.0,0.0,1,1.0,,right,0.955,0.9744,10.6405,0.1951,0,,,,,,0,,,,909787,200861,0
4,0.9381735324859619,2026-03-24T02:47:48.565755,42.29,0.0,4.02,0.0,2.52,0.0,0.0,53.45,18.8,0.0,0.0,STRAIGHT,right,right,,0.16,0.16,"CMD,0.0,0.16",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,0,0,dijkstra,,none,0.84538,0.0,0.0,1,1.0,,right,0.9553,0.9744,10.6405,0.1939,0,,,,,,0,,,,907491,200334,0
5,1.6322782039642334,2026-03-24T02:47:49.259860,42.56,0.0,3.55,58.01,581.4,0.0,0.0,694.1,5.51,-0.045,0.0,STRAIGHT,right,right,,0.557,0.226,"CMD,0.0,0.23",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,3,500.3,292,19,dijkstra,,dt_corridor,0.84774,0.2606,0.6765,1,0.7394,right_sharp,right,0.9554,0.9744,10.6405,0.1933,0,,,,,,0,,,,906764,200899,8716
6,2.3963348865509033,2026-03-24T02:47:50.023916,44.1,1.0,3.02,57.41,646.72,0.0,0.0,764.06,3.59,-0.074,-0.045,STRAIGHT,right,right,,0.56,0.274,"CMD,-0.0,0.27",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,297,21,dijkstra,,dt_corridor,0.83939,0.2631,0.6898,1,0.7369,right_sharp,right,0.9559,0.9744,10.6405,0.1913,0,,,,,,0,,,,906957,198769,9296
7,3.1337122917175293,2026-03-24T02:47:50.761294,42.34,1.01,3.57,54.82,623.75,0.0,0.0,737.38,2.91,-0.094,-0.074,STRAIGHT,right,right,,0.56,0.31,"CMD,-0.1,0.31",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,288,21,dijkstra,,dt_corridor,0.83863,0.2631,0.6898,1,0.7369,right_sharp,right,0.9557,0.9744,10.6405,0.1922,0,,,,,,0,,,,903285,198555,8859
8,3.850442409515381,2026-03-24T02:47:51.478024,41.31,0.0,4.06,56.28,604.9,0.0,0.0,716.73,2.56,-0.107,-0.094,STRAIGHT,right,right,,0.561,0.36,"CMD,-0.1,0.36",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,5,500.3,303,19,dijkstra,,dt_corridor,0.84335,0.2634,0.69,1,0.7366,right_sharp,right,0.9578,0.9744,10.6405,0.1827,0,,,,,,0,,,,901823,199989,8385
9,4.549170970916748,2026-03-24T02:47:52.176753,41.79,0.0,3.39,53.59,588.36,0.0,0.0,698.73,2.35,-0.116,-0.107,STRAIGHT,right,right,,0.561,0.41,"CMD,-0.1,0.41",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,297,21,dijkstra,,dt_corridor,0.84664,0.2633,0.6901,1,0.7367,right_sharp,right,0.9573,0.9744,10.6405,0.1852,0,,,,,,0,,,,903073,200735,8911
10,5.237732887268066,2026-03-24T02:47:52.865314,51.16,1.0,3.51,53.33,567.52,0.0,0.0,688.56,2.22,-0.122,-0.116,STRAIGHT,right,right,,0.561,0.46,"CMD,-0.1,0.46",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,289,20,dijkstra,,dt_corridor,0.84909,0.2632,0.6896,1,0.7368,right_sharp,right,0.9566,0.9744,10.6405,0.1881,0,,,,,,0,,,,908351,201442,8912
11,5.99211859703064,2026-03-24T02:47:53.619700,47.11,1.0,3.03,57.9,631.73,0.0,0.0,754.39,2.09,-0.126,-0.122,STRAIGHT,right,right,,0.56,0.51,"CMD,-0.1,0.51",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,297,18,dijkstra,,dt_corridor,0.84584,0.263,0.6895,1,0.737,right_sharp,right,0.9559,0.9744,10.6405,0.191,0,,,,,,0,,,,906385,200723,8522
12,6.738165378570557,2026-03-24T02:47:54.365747,39.73,1.5,3.03,48.76,640.95,0.0,1.01,746.05,2.0,-0.129,-0.126,STRAIGHT,right,right,,0.56,0.56,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,266,16,dijkstra,,dt_corridor,0.82168,0.2631,0.6895,1,0.7369,right_sharp,right,0.9565,0.9744,10.6405,0.1883,0,,,,,,0,,,,906573,199824,7665
13,7.487310886383057,2026-03-24T02:47:55.114892,41.0,1.01,2.51,58.13,632.77,0.0,0.0,748.13,1.92,-0.13,-0.129,STRAIGHT,right,right,,0.56,0.561,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,296,21,dijkstra,,dt_corridor,0.84551,0.263,0.6894,1,0.737,right_sharp,right,0.9558,0.9744,10.6405,0.1917,0,,,,,,0,,,,901845,200464,9002
14,8.224841117858887,2026-03-24T02:47:55.852423,41.19,0.0,3.02,54.62,629.67,0.0,0.0,737.53,1.87,-0.131,-0.13,STRAIGHT,right,right,,0.56,0.561,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,281,21,dijkstra,,dt_corridor,0.84213,0.2629,0.6894,1,0.7371,right_sharp,right,0.9552,0.9744,10.6405,0.1942,0,,,,,,0,,,,895814,199655,8487
15,8.92136263847351,2026-03-24T02:47:56.548944,43.36,1.11,3.54,55.0,580.9,0.0,0.0,695.5,1.83,-0.132,-0.131,STRAIGHT,right,right,,0.56,0.561,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,298,20,dijkstra,,dt_corridor,0.83669,0.2631,0.6897,1,0.7369,right_sharp,right,0.9559,0.9744,10.6405,0.1913,0,,,,,,0,,,,900544,198617,8454
16,9.61244821548462,2026-03-24T02:47:57.240029,42.77,0.0,4.16,51.48,581.99,0.0,0.0,690.08,1.8,-0.133,-0.132,STRAIGHT,right,right,,0.56,0.56,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,278,16,dijkstra,,dt_corridor,0.81763,0.2631,0.6899,1,0.7369,right_sharp,right,0.9557,0.9744,10.6405,0.1918,0,,,,,,0,,,,900911,197743,7159
17,10.30238389968872,2026-03-24T02:47:57.929965,45.73,1.01,2.51,50.41,578.16,0.0,0.0,689.94,1.78,-0.133,-0.133,STRAIGHT,right,right,,0.56,0.56,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,272,16,dijkstra,,dt_corridor,0.82101,0.2631,0.6897,1,0.7369,right_sharp,right,0.9558,0.9744,10.6405,0.1915,0,,,,,,0,,,,903240,197995,7155
18,10.980495691299438,2026-03-24T02:47:58.608077,40.89,1.03,3.01,47.25,576.1,0.0,0.0,678.11,1.76,-0.133,-0.133,STRAIGHT,right,right,,0.56,0.56,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,261,16,dijkstra,,dt_corridor,0.82489,0.263,0.6891,1,0.737,right_sharp,right,0.9558,0.9744,10.6405,0.1914,0,,,,,,0,,,,903368,197985,7337
19,11.706376314163208,2026-03-24T02:47:59.333958,40.27,1.5,3.03,50.28,619.75,0.0,1.0,725.88,1.73,-0.133,-0.133,STRAIGHT,right,right,,0.56,0.56,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,256,14,dijkstra,,dt_corridor,0.82746,0.2631,0.6897,1,0.7369,right_sharp,right,0.9561,0.9744,10.6405,0.1903,0,,,,,,0,,,,911087,198132,7034
20,12.384864568710327,2026-03-24T02:48:00.012446,40.19,0.0,3.01,49.25,577.45,0.0,0.0,678.49,1.72,-0.134,-0.133,STRAIGHT,right,right,,0.561,0.56,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,252,13,dijkstra,,dt_corridor,0.83484,0.2632,0.6895,1,0.7368,right_sharp,right,0.9568,0.9744,10.6405,0.1872,0,,,,,,0,,,,918541,199301,7152
21,13.066468477249146,2026-03-24T02:48:00.694050,40.98,0.0,3.03,51.15,574.36,0.0,0.0,681.6,1.7,-0.134,-0.134,STRAIGHT,right,right,,0.561,0.56,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,285,16,dijkstra,,dt_corridor,0.83387,0.2632,0.6897,1,0.7368,right_sharp,right,0.9567,0.9744,10.6405,0.1875,0,,,,,,0,,,,918711,198839,7578
22,13.747065544128418,2026-03-24T02:48:01.374647,41.86,0.0,3.05,50.86,575.21,0.0,0.0,680.6,1.69,-0.134,-0.134,STRAIGHT,right,right,,0.561,0.56,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,258,14,dijkstra,,dt_corridor,0.81797,0.2632,0.6904,1,0.7368,right_sharp,right,0.9558,0.9744,10.6405,0.1915,0,,,,,,0,,,,903796,194368,6833
23,14.490856409072876,2026-03-24T02:48:02.118438,40.44,1.0,3.02,51.36,637.36,0.0,0.0,743.79,1.67,-0.134,-0.134,STRAIGHT,right,right,,0.561,0.56,"CMD,-0.1,0.56",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,500.3,265,16,dijkstra,,dt_corridor,0.81822,0.2632,0.6905,1,0.7368,right_sharp,right,0.9557,0.9744,10.6405,0.1919,0,,,,,,0,,,,897773,194575,7307
24,14.54307246208191,2026-03-24T02:48:02.170654,38.9,1.01,3.53,0.0,3.26,0.0,0.0,51.21,1.74,-0.134,-0.134,STRAIGHT,right,right,,1.248,0.646,"CMD,-0.1,0.65",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,418.5,0,0,dijkstra,,waypoint_turn,0.81582,0.7418,0.0,0,0.2582,,right,0.9556,0.9744,10.6405,0.1926,0,,,,,,0,,,,894935,194124,0
25,14.60025930404663,2026-03-24T02:48:02.227841,43.9,0.0,4.05,0.0,2.22,0.0,0.0,55.18,1.8,-0.134,-0.134,STRAIGHT,right,right,,1.252,0.733,"CMD,-0.1,0.73",4.0,-0.0032,3.996,-0.026,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,418.5,0,0,dijkstra,,waypoint_turn,0.8165,0.7461,0.0,0,0.2539,,right,0.9561,0.9744,10.6405,0.1902,0,,,,,,0,,,,899788,194652,0
26,14.657331228256226,2026-03-24T02:48:02.284913,45.07,0.0,3.08,0.0,1.17,0.0,0.0,56.06,1.87,0.696,-0.134,STRAIGHT,right,right,,0.225,0.691,"CMD,-0.1,0.69",3.077,0.0572,3.052,0.268,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,362.8,0,0,dijkstra,,waypoint_turn_hold,0.81877,0.047,0.0,1,1.0,,right,0.9563,0.9744,10.6405,0.1892,0,,,,,,0,,,,900833,195115,0
27,14.71071195602417,2026-03-24T02:48:02.338293,43.04,0.0,3.37,0.0,3.46,0.0,1.01,53.38,1.93,1.173,0.696,STRAIGHT,right,right,,0.225,0.649,"CMD,0.7,0.65",3.039,0.0515,3.02,0.236,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,362.1,0,0,dijkstra,,waypoint_turn_hold,0.82033,0.0361,0.0,1,1.0,,right,0.9566,0.9744,10.6405,0.188,0,,,,,,0,,,,902805,195587,0
28,14.766234636306763,2026-03-24T02:48:02.393816,42.6,0.0,3.62,0.0,3.19,0.0,0.0,54.52,1.99,1.351,1.173,STRAIGHT,right,right,,0.225,0.607,"CMD,1.2,0.61",3.165,0.0414,3.15,0.206,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,361.7,0,0,dijkstra,,waypoint_turn_hold,0.81915,0.0452,0.0,1,1.0,,right,0.9566,0.9744,10.6405,0.188,0,,,,,,0,,,,898473,195619,0
29,14.820414066314697,2026-03-24T02:48:02.447995,41.5,1.0,3.04,0.0,2.01,0.0,0.0,54.18,2.06,1.359,1.351,STRAIGHT,right,right,,0.225,0.565,"CMD,1.4,0.57",3.292,0.0334,3.281,0.18,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,361.3,0,0,dijkstra,,waypoint_turn_hold,0.82446,0.0452,0.0,1,1.0,,right,0.9569,0.9744,10.6405,0.1869,0,,,,,,0,,,,897456,196494,0
30,14.881142377853394,2026-03-24T02:48:02.508724,47.9,1.01,3.03,0.0,2.39,0.0,0.0,60.73,2.06,1.276,1.351,STRAIGHT,right,right,,0.225,0.523,"CMD,1.4,0.52",3.418,0.0269,3.409,0.157,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,361.0,0,0,dijkstra,,waypoint_turn_hold,0.82931,0.0398,0.0,1,1.0,,right,0.9571,0.9744,10.6405,0.1857,0,,,,,,0,,,,901652,197854,0
31,14.936109781265259,2026-03-24T02:48:02.563691,41.81,1.0,2.6,0.0,5.36,0.0,0.0,54.97,2.06,2.235,1.359,STRAIGHT,right,right,,1.227,0.607,"CMD,1.4,0.61",3.103,0.1008,3.049,0.48,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.83749,0.72,0.7181,0,0.28,right_sharp,right,0.9573,0.9744,10.6405,0.185,0,,,,,,0,,,,913251,199423,0
32,14.990137577056885,2026-03-24T02:48:02.617719,40.49,0.0,4.05,0.0,4.53,0.0,0.0,54.03,2.06,2.887,2.235,STRAIGHT,right,right,,1.227,0.604,"CMD,2.2,0.60",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.84555,0.72,0.7455,0,0.28,right_sharp,right,0.9575,0.9744,10.6405,0.1842,0,,,,,,0,,,,923537,200612,0
33,15.04325532913208,2026-03-24T02:48:02.670837,36.99,0.0,3.02,0.0,6.05,0.0,1.01,52.11,2.06,3.322,2.887,STRAIGHT,right,right,,1.227,0.601,"CMD,2.9,0.60",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.84196,0.72,0.746,0,0.28,right_sharp,right,0.9565,0.9744,10.6405,0.1886,0,,,,,,0,,,,914977,199763,0
34,15.098096132278442,2026-03-24T02:48:02.725678,40.99,0.0,3.01,0.0,4.82,0.0,0.0,54.84,2.15,3.611,3.322,STRAIGHT,right,right,,1.227,0.726,"CMD,3.3,0.73",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.83859,0.72,0.7467,0,0.28,right_sharp,right,0.9565,0.9744,10.6405,0.1884,0,,,,,,0,,,,908675,199127,0
35,15.16394567489624,2026-03-24T02:48:02.791527,50.98,1.01,3.01,0.0,5.56,0.0,0.0,65.85,2.27,3.805,3.611,STRAIGHT,right,right,,1.227,0.851,"CMD,3.6,0.85",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.84146,0.72,0.7464,0,0.28,right_sharp,right,0.9562,0.9744,10.6405,0.19,0,,,,,,0,,,,910486,199872,0
36,15.218084573745728,2026-03-24T02:48:02.845666,39.99,0.0,3.08,0.0,4.53,0.0,1.0,54.14,2.4,3.933,3.805,STRAIGHT,right,right,,1.227,0.976,"CMD,3.8,0.98",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.84483,0.72,0.7464,0,0.28,right_sharp,right,0.9563,0.9744,10.6405,0.1893,0,,,,,,0,,,,911388,200362,0
37,15.270696640014648,2026-03-24T02:48:02.898278,37.02,1.0,3.01,0.0,5.55,0.0,0.0,52.61,2.54,4.019,3.933,STRAIGHT,right,right,,1.227,1.102,"CMD,3.9,1.10",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.84597,0.72,0.747,0,0.28,right_sharp,right,0.9555,0.9744,10.6405,0.1926,0,,,,,,0,,,,920907,200580,0
38,15.324690818786621,2026-03-24T02:48:02.952272,39.4,1.03,3.52,0.0,4.02,0.0,0.0,53.99,2.69,4.077,4.019,STRAIGHT,right,right,,1.227,1.227,"CMD,4.0,1.23",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.85824,0.72,0.7457,0,0.28,right_sharp,right,0.9565,0.9744,10.6405,0.1886,0,,,,,,0,,,,927305,203308,0
39,15.381400346755981,2026-03-24T02:48:03.008982,42.02,0.0,3.07,0.0,5.05,0.0,0.0,56.71,2.86,4.115,4.077,STRAIGHT,right,right,,1.227,1.227,"CMD,4.1,1.23",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.86047,0.72,0.7454,0,0.28,right_sharp,right,0.9567,0.9744,10.6405,0.1877,0,,,,,,0,,,,930282,203955,0
40,15.446276664733887,2026-03-24T02:48:03.073858,49.7,0.0,3.51,0.0,6.09,0.0,0.0,63.37,3.07,4.14,4.115,STRAIGHT,right,right,,1.227,1.227,"CMD,4.1,1.23",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.85204,0.72,0.7464,0,0.28,right_sharp,right,0.9567,0.9744,10.6405,0.1878,0,,,,,,0,,,,916453,201994,0
41,15.50597095489502,2026-03-24T02:48:03.133553,44.8,0.0,3.51,0.0,6.34,0.0,0.0,59.69,3.31,4.157,4.14,STRAIGHT,right,right,,1.227,1.227,"CMD,4.1,1.23",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.85255,0.72,0.7463,0,0.28,right_sharp,right,0.9567,0.9744,10.6405,0.1878,0,,,,,,0,,,,922829,201871,0
42,15.563450336456299,2026-03-24T02:48:03.191032,43.68,0.0,3.06,0.0,5.03,0.0,0.0,57.48,3.59,4.168,4.157,STRAIGHT,right,right,,1.227,1.227,"CMD,4.2,1.23",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.84985,0.72,0.7462,0,0.28,right_sharp,right,0.9566,0.9744,10.6405,0.1879,0,,,,,,0,,,,921067,201550,0
43,15.623308897018433,2026-03-24T02:48:03.250890,44.03,1.03,3.02,0.0,4.13,0.0,0.0,57.84,3.92,4.176,4.168,STRAIGHT,right,right,,1.227,1.227,"CMD,4.2,1.23",3.265,0.1018,3.201,0.536,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,4,480.0,0,0,dijkstra,,template,0.84799,0.72,0.7463,0,0.28,right_sharp,right,0.9568,0.9744,10.6405,0.1872,0,,,,,,0,,,,911806,201173,0
