case,video,infer_ms_mean,infer_ms_p10,infer_ms_p90,stability_iou_prev_mean,stability_iou_prev_p10,stability_iou_prev_p90,iou_mean,iou_p10,iou_p90,precision_mean,precision_p10,precision_p90,recall_mean,recall_p10,recall_p90,f1_mean,f1_p10,f1_p90,pred_pixels_mean,pred_pixels_p10,pred_pixels_p90,gt_pixels_mean,gt_pixels_p10,gt_pixels_p90,count
baseline_raw,VID_20260319_155939_00_017,17.66670175435904,11.756879999302328,19.702660001348704,0.8788954341964358,0.7839836403399914,0.9937375804340836,0.9356720543733669,0.8833271784481032,0.9832305744321669,0.947394944732265,0.8911299641813096,0.9937135098437258,0.9870152557818018,0.9728288012133024,0.9984162427354375,0.9661499226939592,0.9380111032609482,0.9915443107731062,854498.649122807,735550.4,959704.7999999999,819191.1052631579,706664.8,927812.2,57
baseline_raw,VID_20260319_160039_00_018,16.34401403492104,11.740080011077225,19.81524000875652,0.822134130446181,0.6780229344780742,0.9536649080461069,0.9022277948419005,0.791289375800936,0.9757503690520535,0.9461075132442133,0.8441797867918919,0.9997681202621138,0.9546995720708064,0.8693227941556826,0.9994100026525028,0.946341080784823,0.8834856630674289,0.98772528175013,831646.2280701754,511821.00000000006,1066415.2,824604.245614035,475534.60000000003,1073741.0,57
baseline_raw,VID_20260319_160139_00_019,15.635315792455355,11.837920011021197,20.27343999943696,0.8665186608014909,0.7638239204656998,0.9490367316786943,0.9136377467325901,0.7922516091445934,0.9932836050779881,0.9267565615522035,0.7946348055867541,0.9980981358197708,0.9858249853302105,0.959410430251516,0.999985249279806,0.9531637968800433,0.8840846949596188,0.9966304697917159,879820.8421052631,748270.4,1007043.6,824633.9649122807,735190.0,967035.6,57
baseline_raw,VID_20260319_160240_00_020,12.768950876003752,11.741300002904609,14.57703998312354,0.9201622450573348,0.8553219527372428,0.9696843209686206,0.952521744443739,0.8885420284647206,0.9963621130098591,0.965496331688646,0.9092724782463402,0.9995726622852308,0.9850640849460995,0.9741869755738823,0.9998682793443538,0.9747977839415851,0.9409776610323835,0.9981777393294814,889930.8421052631,786702.8,1040493.0,873921.5438596491,759584.6,1053244.4,57
candidate_confhold,VID_20260319_155939_00_017,16.426163160838513,11.772799998288974,19.844679994275793,0.8821942151433186,0.7665497522200716,0.9974935601428621,0.9388457817919756,0.9148257878824961,0.9765821140380767,0.9495805671657583,0.917686289945683,0.9834915132046866,0.9882835239291461,0.9727045349566266,0.9971655690143394,0.96812180190719,0.9555182390741608,0.9881522322056777,854437.3157894737,715375.8,939823.6,819191.1052631579,706664.8,927812.2,57
candidate_confhold,VID_20260319_160039_00_018,13.128289473426872,11.850300012156367,16.793540009530258,0.8071288980674856,0.6374562418555607,0.9318124366820897,0.927175716380011,0.8612111575255325,0.9775528358681507,0.9414918985279092,0.8788705377094461,0.9916508558494713,0.9843387654647271,0.9652678636140279,0.9982865793360711,0.9608554212123736,0.9254306797620163,0.9886489762715851,865498.754385965,519950.60000000003,1114237.4,824604.245614035,475534.60000000003,1073741.0,57
candidate_confhold,VID_20260319_160139_00_019,13.624075439701413,11.89150000573136,19.468519993824884,0.8682085128757473,0.7625336197624062,0.9836212997779001,0.9352523735696388,0.8500258335093405,0.9782729263486103,0.965586599860127,0.9058078706119058,0.9980988336488137,0.9683925134975323,0.9574904160162607,0.9958030924196009,0.9653995227266435,0.9189294999263664,0.9890169861149503,829404.3859649122,716218.4,990173.7999999999,824633.9649122807,735190.0,967035.6,57
candidate_confhold,VID_20260319_160240_00_020,15.150978949366202,12.03267999808304,19.61250000167638,0.9273773349729206,0.8649452877187312,0.9798833052369771,0.9342042793424681,0.898851992903494,0.9734878167493863,0.9479565802608877,0.9174746992035614,0.9918135594097081,0.9851278354682586,0.9659767559583191,0.9991073725011874,0.9655198989780334,0.9467306531240468,0.9865657539072891,911502.947368421,756541.8,1110235.8,873921.5438596491,759584.6,1053244.4,57
candidate_raw,VID_20260319_155939_00_017,13.186392985006565,11.686059995554388,19.440639996901155,0.8643581579498357,0.760581541007514,0.9941073522117139,0.924455816862271,0.8880795933833755,0.9570822299025108,0.9348382260035559,0.9088936575299885,0.9673619879564209,0.9881996965813049,0.972823928933839,0.9967599796220028,0.9603929655608093,0.9407163151154347,0.9780692283029304,867196.4561403509,744671.6,965605.0,819191.1052631579,706664.8,927812.2,57
candidate_raw,VID_20260319_160039_00_018,13.768435086189001,11.684199998853728,19.65419999905862,0.7956219085852053,0.6254049192592164,0.9278267722496956,0.9203963157595597,0.8490136536993338,0.973591811072941,0.9340208364149685,0.8674244691764124,0.9845010411902609,0.9846784804858155,0.9653266801374846,0.9977734009074958,0.957147379791603,0.9183374915116995,0.9866190232988169,870706.5438596491,532346.4,1118111.0,824604.245614035,475534.60000000003,1073741.0,57
candidate_raw,VID_20260319_160139_00_019,13.712249123368805,11.745979997795075,15.031420008745044,0.8525469940918069,0.7474210086054992,0.9674768985822014,0.9160758043942102,0.8421842632706804,0.9693322982699942,0.9454416945468275,0.8770605738418096,0.9854915730186344,0.9680432528436093,0.956287573888425,0.9950326385835018,0.9549728968262973,0.9143197641138592,0.9844271502489403,845687.6140350878,728371.4,1011637.4,824633.9649122807,735190.0,967035.6,57
candidate_raw,VID_20260319_160240_00_020,16.09768596398154,11.777499987510964,19.761760003166273,0.9141761051133303,0.8484205789906956,0.9689022598317276,0.9249799583043636,0.8777206706886979,0.9580858311962284,0.9381187910674088,0.8946382698844044,0.9690555855044882,0.9853744729117184,0.9684296532423691,0.9989535211308579,0.9605582977572827,0.9348774227185181,0.9785895530604246,920114.5263157894,772563.6,1105464.4,873921.5438596491,759584.6,1053244.4,57
finetuned_confhold,VID_20260319_155939_00_017,13.67554210612485,11.736139992717654,14.832320000277832,0.888323205950995,0.7749382412541096,0.9964831665184885,0.971454230075639,0.9551797879861739,0.985302066390429,0.9821020822713366,0.9712812462441301,0.9951856088605833,0.9889940146085818,0.9758124451253701,0.9984720351060086,0.9854284340881343,0.9770761334412691,0.9925964172714112,825378.754385965,717618.0,938073.4,819191.1052631579,706664.8,927812.2,57
finetuned_confhold,VID_20260319_160039_00_018,16.523064910168678,11.987059999955818,19.733780005481094,0.8242089397536144,0.6807866832151607,0.9480872358853454,0.9602811442905078,0.9227361915470936,0.9843355780172591,0.9777170585261336,0.9411983152780624,0.9964483024510039,0.9819727676496581,0.9662487354812503,0.9962141525945072,0.9795483004535637,0.9598156851827312,0.9921059338759779,831792.052631579,455725.2,1097754.4,824604.245614035,475534.60000000003,1073741.0,57
finetuned_confhold,VID_20260319_160139_00_019,12.385484209517017,11.993379995692521,12.59917999850586,0.8890302641175996,0.7726490379507146,0.984241262672093,0.9621412921899454,0.9372282070426161,0.9857511257470575,0.9875233585391925,0.9730066418158683,0.9978140375788067,0.9741708766422856,0.9657933422332908,0.9943765305573917,0.980205979832382,0.9675932037138907,0.992824424400393,813414.5964912281,725276.0,968011.0,824633.9649122807,735190.0,967035.6,57
finetuned_confhold,VID_20260319_160240_00_020,13.417835086441125,11.87082000542432,19.496300019090995,0.93198466016228,0.8547844891000521,0.9827177502038809,0.9627178264948248,0.946304928502728,0.9813907614684612,0.9778793440894865,0.9598317663243773,0.9951399595460296,0.9842062107088517,0.9709929702524402,0.9976447814097119,0.9808214988194298,0.9724114981136299,0.9906079900359475,881081.6842105263,745291.0,1073798.0,873921.5438596491,759584.6,1053244.4,57
finetuned_raw,VID_20260319_155939_00_017,16.504164913305686,11.743280006339774,19.825620000483468,0.881717098950576,0.7722757717009979,0.9939312665455742,0.9683779642071283,0.943792465125592,0.9841024796920695,0.9783045427047098,0.9647679194449298,0.9916045131354654,0.9895685855860951,0.9786158852031422,0.9985921226557007,0.9838059266331693,0.9710830764682383,0.9919873886286731,828679.2807017544,719463.8,939513.7999999999,819191.1052631579,706664.8,927812.2,57
finetuned_raw,VID_20260319_160039_00_018,13.526184210173884,11.660659988410771,19.627060007769614,0.8183347599626223,0.6699571290540582,0.9433970048763607,0.9613353333886976,0.9275131451524743,0.9841114965523544,0.9770290221607805,0.9440267506006149,0.9961125104960588,0.9837132498654142,0.9673918149066933,0.9963700835693329,0.980134159089688,0.962393475876619,0.9919921248323676,832918.0877192982,464593.8,1099009.4,824604.245614035,475534.60000000003,1073741.0,57
finetuned_raw,VID_20260319_160139_00_019,12.675254382581139,11.650259984889999,14.538620004896075,0.8816013328762173,0.7697851788412624,0.9801755394416333,0.9592591216832602,0.9318773735074636,0.9859493895440073,0.9840681915479869,0.963690241629397,0.9978613511892521,0.9746154643359172,0.9663762867391701,0.9943105661580675,0.9787182714384168,0.9647374891817457,0.9929249572039713,816605.4210526316,724460.2,969152.2,824633.9649122807,735190.0,967035.6,57
finetuned_raw,VID_20260319_160240_00_020,14.841061404583519,11.662719998275861,19.708960002753884,0.9263018732226986,0.8465739347861279,0.9806398516583498,0.9617515778982714,0.9406786591654149,0.981895108916314,0.9764304100636463,0.9576621283858078,0.9947434305328726,0.9846340722058167,0.9717684856288668,0.9971725129901081,0.9803074241126605,0.9694292666764116,0.9908648517741265,882661.8245614035,745396.2,1071376.0,873921.5438596491,759584.6,1053244.4,57
