frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,approval_confidence,approval_margin,planner_low_confidence,planner_slowdown,selected_template_id,selected_template_family,corridor_confidence,corridor_valid_ratio,corridor_forward_span_m,corridor_width_cv,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.31496620178222656,2026-03-13T03:11:47.109995,122.23,0.0,10.02,31.3,30.14,0.0,0.0,213.87,0.0,0.096,0.096,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,2,125.6,123,12,dijkstra,graph,0.62973,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,285973,188320,4543
1,0.4466671943664551,2026-03-13T03:11:47.241696,0.0,0.0,0.0,26.32,24.21,0.0,0.0,80.93,7.59,-1.089,-0.496,STRAIGHT,1.5,1.5,"CMD,-0.5,1.50",2.486,-0.084,2.453,-0.256,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,693.6,150,13,dijkstra,fallback_skeleton,0.62713,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,305345,187911,4543
2,0.7020280361175537,2026-03-13T03:11:47.497057,131.35,0.0,10.04,30.78,30.67,0.0,0.0,225.17,5.17,-0.5,-0.5,STRAIGHT,1.5,1.5,"CMD,-0.5,1.50",4.0,0.0165,3.997,0.132,1,0.949,0,NORMAL,6.142,-0.139,1,1,1,1,1,505.5,115,11,dijkstra,fallback_skeleton,0.62388,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,282699,186629,4203
3,0.8211495876312256,2026-03-13T03:11:47.616178,2.21,0.0,4.01,28.15,32.05,0.0,0.0,88.97,5.93,0.988,-0.5,STRAIGHT,1.5,1.5,"CMD,-0.5,1.50",2.17,0.0962,2.109,0.216,1,0.949,0,NORMAL,8.447,-0.095,1,1,1,1,2,196.0,124,12,dijkstra,graph,0.61134,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,300922,184429,4203
4,1.0523502826690674,2026-03-13T03:11:47.847379,126.51,0.0,10.01,20.03,24.03,0.0,2.0,211.06,5.42,0.755,0.755,STRAIGHT,1.5,1.5,"CMD,0.8,1.50",4.0,0.007,2.511,0.022,1,0.9628,0,NORMAL,9.224,-0.087,1,1,1,1,2,125.6,111,11,dijkstra,graph,0.61254,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,276198,183373,4280
5,1.1432452201843262,2026-03-13T03:11:47.938274,2.0,0.0,0.0,30.5,20.03,0.0,0.0,68.64,6.04,0.61,0.755,STRAIGHT,1.5,1.5,"CMD,0.8,1.50",3.01,0.0077,2.997,0.035,1,0.9628,0,NORMAL,11.876,-0.009,1,1,1,1,2,398.9,129,10,dijkstra,graph,0.60579,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,283311,181914,4280
6,1.3670086860656738,2026-03-13T03:11:48.162037,121.62,0.0,14.51,14.69,30.25,0.0,0.0,193.08,5.7,0.503,0.61,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",4.0,0.007,2.511,0.022,1,0.938,0,NORMAL,15.547,0.029,1,1,1,1,2,125.6,119,10,dijkstra,graph,0.62316,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,281026,186440,4537
7,1.4702997207641602,2026-03-13T03:11:48.265329,0.0,0.0,4.57,18.02,32.09,0.0,0.0,83.17,6.06,0.587,0.587,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",3.186,0.0183,3.177,0.093,1,0.938,0,NORMAL,19.901,0.066,1,1,1,1,2,399.8,118,10,dijkstra,graph,0.61707,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,292012,185203,4537
8,1.6944653987884521,2026-03-13T03:11:48.489494,125.25,2.0,6.3,21.04,24.04,0.0,0.0,204.14,5.8,0.488,0.503,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.007,2.511,0.022,1,0.9422,0,NORMAL,22.382,0.153,1,1,1,1,2,125.6,119,11,dijkstra,graph,0.60928,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,269374,182274,4316
9,1.784926176071167,2026-03-13T03:11:48.579955,2.0,0.0,4.01,22.03,22.03,0.0,0.0,69.18,6.12,0.756,0.587,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",3.788,0.0314,3.782,0.225,1,0.9422,0,NORMAL,22.308,0.191,1,1,1,1,2,390.3,115,9,dijkstra,graph,0.60331,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,279525,181112,4316
