frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,approval_confidence,approval_margin,planner_low_confidence,planner_slowdown,selected_template_id,selected_template_family,corridor_confidence,corridor_valid_ratio,corridor_forward_span_m,corridor_width_cv,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.3265223503112793,2026-03-13T02:35:37.905180,136.68,5.86,0.0,26.69,20.35,0.0,0.0,223.79,0.0,0.096,0.096,STRAIGHT,0.983,0.983,"CMD,0.1,0.98",4.0,0.007,2.511,0.022,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,2,125.6,123,12,dijkstra,graph,0.62973,0.5946,0.0104,1,0.4054,left_medium_2,left_medium,0.9472,0.9818,9.6804,0.2289,0,,,,,,0,,,,285973,188320,4543
1,0.4586150646209717,2026-03-13T02:35:38.037272,0.0,0.0,4.56,28.03,20.11,0.0,0.0,81.33,7.57,0.602,0.349,STRAIGHT,1.005,0.994,"CMD,0.3,0.99",3.674,0.0391,3.655,0.263,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,219.3,184,13,dijkstra,fallback_centerline,0.62911,0.6118,0.0115,1,0.3882,straight_0,straight,0.9446,1.0,9.863,0.24,0,,,,,,0,,,,305345,188172,4543
2,0.5201141834259033,2026-03-13T02:35:38.098771,0.0,0.0,0.0,0.0,10.48,0.0,0.0,31.34,10.33,1.633,0.602,STRAIGHT,1.446,1.145,"CMD,0.6,1.14",3.207,0.0897,3.167,0.459,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,6,228.0,0,0,dijkstra,template,0.60039,0.9447,0.0338,0,0.0553,left_gentle_2,left_gentle,0.9492,1.0,9.863,0.2201,0,,,,,,0,,,,305345,180178,4543
3,0.5706918239593506,2026-03-13T02:35:38.149349,0.0,0.0,0.0,0.0,10.05,0.0,0.0,30.46,12.29,2.245,1.633,STRAIGHT,1.454,1.222,"CMD,1.6,1.22",3.538,0.0842,3.492,0.525,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,6,228.0,0,0,dijkstra,template,0.5919,0.9528,0.0417,0,0.0472,left_gentle_2,left_gentle,0.9491,1.0,9.863,0.2204,0,,,,,,0,,,,305345,178015,4543
4,0.7644252777099609,2026-03-13T02:35:38.343083,124.84,8.01,10.24,0.0,7.05,0.0,0.0,173.64,9.13,2.652,2.245,STRAIGHT,1.451,1.268,"CMD,2.2,1.27",3.544,0.0841,3.498,0.526,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,6,228.0,0,0,dijkstra,template,0.61254,0.9501,0.05,0,0.0499,left_gentle_2,left_gentle,0.9498,0.9818,9.6804,0.2175,0,,,,,,0,,,,276198,183373,0
5,0.8152515888214111,2026-03-13T02:35:38.393909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.53,10.23,2.923,2.652,STRAIGHT,1.449,1.298,"CMD,2.7,1.30",3.542,0.0841,3.496,0.526,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,6,228.0,0,0,dijkstra,template,0.61202,0.9474,0.0469,0,0.0526,left_gentle_2,left_gentle,0.947,1.0,9.863,0.2298,0,,,,,,0,,,,283311,183196,0
6,0.8660399913787842,2026-03-13T02:35:38.444697,0.0,0.0,5.77,0.0,0.0,0.0,0.0,30.68,11.12,3.105,2.923,STRAIGHT,1.45,1.32,"CMD,2.9,1.32",3.54,0.0842,3.494,0.525,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,6,228.0,0,0,dijkstra,template,0.60357,0.9484,0.0451,0,0.0516,left_gentle_2,left_gentle,0.9454,1.0,9.863,0.2368,0,,,,,,0,,,,283311,181255,0
7,0.9277222156524658,2026-03-13T02:35:38.506379,2.0,0.0,0.0,0.0,8.44,0.0,0.0,30.97,11.64,3.225,3.105,STRAIGHT,1.448,1.336,"CMD,3.1,1.34",3.541,0.0841,3.495,0.525,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,6,228.0,0,0,dijkstra,template,0.59521,0.9462,0.0407,0,0.0538,left_gentle_2,left_gentle,0.9418,1.0,9.863,0.2522,0,,,,,,0,,,,283311,178862,0
8,1.0998497009277344,2026-03-13T02:35:38.678507,113.57,0.0,8.2,0.0,10.14,0.0,0.0,152.03,10.34,3.306,3.225,STRAIGHT,1.45,1.394,"CMD,3.2,1.39",3.539,0.0842,3.493,0.525,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,6,228.0,0,0,dijkstra,template,0.60928,0.9486,0.048,0,0.0514,left_gentle_2,left_gentle,0.9527,0.9818,9.6804,0.2049,0,,,,,,0,,,,269374,182274,0
9,1.1510276794433594,2026-03-13T02:35:38.729685,0.0,0.0,4.72,0.0,0.0,0.0,0.0,20.65,10.92,3.36,3.306,STRAIGHT,1.446,1.449,"CMD,3.3,1.45",3.541,0.0841,3.495,0.526,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,6,228.0,0,0,dijkstra,template,0.60872,0.9448,0.0444,0,0.0552,left_gentle_2,left_gentle,0.9503,1.0,9.863,0.2154,0,,,,,,0,,,,279525,182238,0
