frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,approval_confidence,approval_margin,planner_low_confidence,planner_slowdown,selected_template_id,selected_template_family,corridor_confidence,corridor_valid_ratio,corridor_forward_span_m,corridor_width_cv,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.33548402786254883,2026-03-13T02:37:05.165282,146.85,0.0,10.05,22.39,26.03,0.0,0.0,232.84,0.0,0.096,0.096,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,2,125.6,123,12,dijkstra,graph,0.62973,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,285973,188320,4543
1,0.4369161128997803,2026-03-13T02:37:05.266714,0.0,0.0,6.91,27.78,16.02,0.0,0.0,80.77,9.86,-1.089,-0.496,STRAIGHT,1.5,1.5,"CMD,-0.5,1.50",2.486,-0.084,2.453,-0.256,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,693.6,150,13,dijkstra,fallback_skeleton,0.62713,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,305345,187911,4543
2,0.6911792755126953,2026-03-13T02:37:05.520977,135.99,2.0,10.01,22.32,20.32,0.0,0.0,223.15,5.62,-0.5,-0.5,STRAIGHT,1.5,1.5,"CMD,-0.5,1.50",4.0,0.0165,3.997,0.132,1,0.949,0,NORMAL,6.142,-0.139,1,1,1,1,1,505.5,115,11,dijkstra,fallback_skeleton,0.62388,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,282699,186629,4203
3,0.8122427463531494,2026-03-13T02:37:05.642040,2.0,0.0,4.01,24.04,32.05,0.0,0.0,90.45,6.29,0.671,-0.5,STRAIGHT,1.5,1.5,"CMD,-0.5,1.50",2.411,0.0731,2.373,0.207,1,0.949,0,NORMAL,8.447,-0.095,1,1,1,1,2,409.9,121,11,dijkstra,graph,0.61316,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,300922,184867,4203
4,1.0680015087127686,2026-03-13T02:37:05.897799,140.02,2.0,14.02,23.55,26.09,0.0,0.0,232.41,5.46,0.544,0.544,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.007,2.511,0.022,1,0.9628,0,NORMAL,9.224,-0.087,1,1,1,1,2,125.6,111,11,dijkstra,graph,0.61254,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,276198,183373,4280
5,1.1790454387664795,2026-03-13T02:37:06.008843,2.0,0.0,4.01,26.75,29.78,0.0,0.0,82.97,5.93,0.469,0.544,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",2.99,0.0077,2.977,0.034,1,0.9628,0,NORMAL,11.876,-0.009,1,1,1,1,2,398.9,131,9,dijkstra,graph,0.60585,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,283311,181951,4280
6,1.4074220657348633,2026-03-13T02:37:06.237220,120.79,0.0,10.22,30.78,20.13,0.0,0.0,201.97,5.6,0.409,0.469,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.007,2.511,0.022,1,0.938,0,NORMAL,15.547,0.029,1,1,1,1,2,125.6,119,10,dijkstra,graph,0.62316,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,281026,186440,4537
7,1.4989418983459473,2026-03-13T02:37:06.328739,2.0,0.0,3.75,18.51,20.21,0.0,0.0,69.03,6.02,0.53,0.469,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",3.175,0.0187,3.166,0.094,1,0.938,0,NORMAL,19.901,0.066,1,1,1,1,2,399.9,118,10,dijkstra,graph,0.61653,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,292012,185125,4537
8,1.7207157611846924,2026-03-13T02:37:06.550513,116.31,0.0,9.97,20.03,24.03,0.0,0.0,191.17,5.78,0.45,0.45,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.007,2.511,0.022,1,0.9422,0,NORMAL,22.382,0.153,1,1,1,1,2,125.6,119,11,dijkstra,graph,0.60928,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,269374,182274,4316
9,1.8111708164215088,2026-03-13T02:37:06.640968,0.0,0.0,4.27,26.05,20.02,0.0,0.0,70.43,6.1,0.747,0.53,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",3.732,0.0325,3.725,0.226,1,0.9422,0,NORMAL,22.308,0.191,1,1,1,1,2,393.7,119,10,dijkstra,graph,0.60314,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,279525,181098,4316
