frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,approval_confidence,approval_margin,planner_low_confidence,planner_slowdown,selected_template_id,selected_template_family,corridor_confidence,corridor_valid_ratio,corridor_forward_span_m,corridor_width_cv,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.31599855422973633,2026-03-13T03:10:09.498817,133.88,2.0,8.01,23.63,27.57,0.0,0.0,224.19,0.0,0.096,0.096,STRAIGHT,0.978,0.978,"CMD,0.1,0.98",4.0,0.007,2.511,0.022,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,2,125.6,123,12,dijkstra,graph,0.62973,0.5909,-0.0001,1,0.4091,straight_center,straight,0.9472,0.9818,9.6804,0.2289,0,,,,,,0,,,,285973,188320,4543
1,0.46326518058776855,2026-03-13T03:10:09.646083,5.21,0.0,4.88,31.81,28.45,0.0,0.0,96.95,6.79,0.602,0.349,STRAIGHT,1.005,0.992,"CMD,0.3,0.99",3.674,0.0391,3.655,0.263,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,219.3,186,14,dijkstra,fallback_centerline,0.62909,0.6118,0.0204,1,0.3882,straight_center,straight,0.9446,1.0,9.863,0.24,0,,,,,,0,,,,305345,188171,4543
2,0.5813934803009033,2026-03-13T03:10:09.764211,2.0,0.0,4.01,32.69,27.78,0.0,0.0,90.09,7.54,1.169,0.602,STRAIGHT,0.993,0.992,"CMD,0.6,0.99",3.075,0.0559,3.05,0.262,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,220.7,191,11,dijkstra,fallback_centerline,0.60052,0.6022,-0.0205,1,0.3978,straight_center,straight,0.9491,1.0,9.863,0.2205,0,,,,,,0,,,,305345,180179,4543
3,0.6860508918762207,2026-03-13T03:10:09.868869,3.96,0.0,4.01,28.06,20.3,0.0,0.0,78.62,8.11,1.345,1.169,STRAIGHT,0.973,0.987,"CMD,1.2,0.99",3.45,0.0411,3.429,0.243,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,222.9,164,20,dijkstra,fallback_centerline,0.56128,0.5869,0.0102,1,0.4131,straight_center,straight,0.9338,1.0,9.863,0.2869,0,,,,,,0,,,,305345,168501,4543
4,0.920952320098877,2026-03-13T03:10:10.103770,120.01,0.0,10.5,19.91,30.2,0.0,0.0,213.96,6.61,0.993,1.169,STRAIGHT,0.985,0.987,"CMD,1.2,0.99",4.0,0.007,2.511,0.022,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,2,125.6,111,11,dijkstra,graph,0.61254,0.596,-0.0201,1,0.404,straight_center,straight,0.9498,0.9818,9.6804,0.2175,0,,,,,,0,,,,276198,183373,4280
5,0.9750330448150635,2026-03-13T03:10:10.157851,3.75,0.0,3.11,0.0,0.0,0.0,0.0,33.45,7.59,0.662,0.993,STRAIGHT,1.446,1.063,"CMD,1.0,1.06",4.0,0.0,4.0,0.0,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,5,225.0,0,0,dijkstra,template,0.6118,0.9446,0.0313,0,0.0554,straight_center,straight,0.9471,1.0,9.863,0.2292,0,,,,,,0,,,,283311,183136,4280
6,1.0434033870697021,2026-03-13T03:10:10.226221,0.0,0.0,3.58,0.0,10.32,0.0,0.0,40.81,8.25,0.441,0.662,STRAIGHT,1.452,1.119,"CMD,0.7,1.12",4.0,0.0,4.0,0.0,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,5,225.0,0,0,dijkstra,template,0.60157,0.9511,0.0454,0,0.0489,straight_center,straight,0.9477,0.9818,9.6804,0.2265,0,,,,,,0,,,,283311,180704,4280
7,1.0941851139068604,2026-03-13T03:10:10.277003,0.0,0.0,0.0,0.0,10.18,0.0,0.0,30.67,9.0,0.294,0.441,STRAIGHT,1.452,1.161,"CMD,0.4,1.16",4.0,0.0,4.0,0.0,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,5,225.0,0,0,dijkstra,template,0.58969,0.9512,0.0493,0,0.0488,straight_center,straight,0.948,0.9636,9.4977,0.2254,0,,,,,,0,,,,283311,177123,4280
8,1.2773587703704834,2026-03-13T03:10:10.460177,122.51,0.0,10.18,0.0,0.0,0.0,0.0,163.01,8.32,0.196,0.294,STRAIGHT,1.45,1.22,"CMD,0.3,1.22",4.0,0.0,4.0,0.0,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,5,225.0,0,0,dijkstra,template,0.60928,0.9492,0.0408,0,0.0508,straight_center,straight,0.9527,0.9818,9.6804,0.2049,0,,,,,,0,,,,269374,182274,0
9,1.3283815383911133,2026-03-13T03:10:10.511200,0.0,0.0,0.0,0.0,10.13,0.0,0.0,30.5,8.89,0.131,0.196,STRAIGHT,1.452,1.275,"CMD,0.2,1.28",4.0,0.0,4.0,0.0,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,5,225.0,0,0,dijkstra,template,0.60886,0.9504,0.0429,0,0.0496,straight_center,straight,0.9528,0.9818,9.6804,0.2046,0,,,,,,0,,,,279525,182173,0
