frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,approval_confidence,approval_margin,planner_low_confidence,planner_slowdown,selected_template_id,selected_template_family,corridor_confidence,corridor_valid_ratio,corridor_forward_span_m,corridor_width_cv,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.3481130599975586,2026-03-13T02:25:09.581861,145.37,2.0,6.01,0.0,4.01,0.0,0.0,179.42,0.0,-2.597,-2.597,STRAIGHT,1.272,1.272,"CMD,-2.6,1.27",2.568,-0.19,2.473,-0.617,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,6,239.9,0,0,dijkstra,template,0.69182,0.7666,0.0388,0,0.2334,right_sharp_1,right_sharp,0.715,0.3091,7.8539,0.1515,0,,,,,,0,,,,285973,206848,0
1,0.4083364009857178,2026-03-13T02:25:09.642085,0.0,0.0,3.35,0.0,9.36,0.0,1.0,34.19,16.6,-4.278,-3.438,STRAIGHT,1.265,1.269,"CMD,-3.4,1.27",2.708,-0.1863,2.602,-0.673,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,6,239.9,0,0,dijkstra,template,0.67864,0.7589,0.0932,0,0.2411,right_sharp_1,right_sharp,0.6794,0.3455,8.2192,0.3059,0,,,,,,0,,,,305345,203488,0
2,0.6081793308258057,2026-03-13T02:25:09.841928,135.95,0.0,6.82,0.0,4.91,0.0,0.0,173.8,7.69,-5.4,-4.278,STRAIGHT,1.303,1.28,"CMD,-4.3,1.28",2.704,-0.1864,2.598,-0.671,1,0.949,0,NORMAL,6.142,-0.139,1,1,1,1,6,239.9,0,0,dijkstra,template,0.65481,0.7981,0.1243,0,0.2019,right_sharp_1,right_sharp,0.7043,0.3818,7.8539,0.1979,0,,,,,,0,,,,282699,195713,0
3,0.7015612125396729,2026-03-13T02:25:09.935310,0.0,0.0,7.12,16.02,21.54,0.0,0.0,69.72,8.49,-4.733,-4.733,STRAIGHT,0.536,1.094,"CMD,-4.7,1.09",2.491,-0.0824,2.091,-0.182,1,0.949,0,NORMAL,8.447,-0.095,1,1,1,1,1,205.1,70,10,dijkstra,fallback_centerline,0.64459,0.244,0.0879,1,0.756,right_sharp_1,right_sharp,0.6797,0.4,8.2192,0.3044,0,,,,,,0,,,,300922,193281,0
4,0.9259803295135498,2026-03-13T02:25:10.159729,128.05,0.0,6.01,21.03,24.03,0.0,0.0,204.39,6.92,-3.692,-4.733,STRAIGHT,0.545,0.984,"CMD,-4.7,0.98",2.124,-0.0391,1.764,-0.061,1,0.9628,0,NORMAL,9.224,-0.087,1,1,1,1,1,197.5,67,10,dijkstra,fallback_centerline,0.61833,0.2513,0.0176,1,0.7487,right_gentle_2,right_gentle,0.7051,0.4364,7.8539,0.1948,0,,,,,,0,,,,276198,184819,3541
5,1.0260262489318848,2026-03-13T02:25:10.259775,0.0,0.0,0.0,20.03,21.52,0.0,0.0,69.61,7.38,-2.896,-3.692,STRAIGHT,0.542,0.911,"CMD,-3.7,0.91",2.428,-0.0316,2.137,-0.072,1,0.9628,0,NORMAL,11.876,-0.009,1,1,1,1,1,197.8,53,8,dijkstra,fallback_centerline,0.64205,0.2483,0.0122,1,0.7517,right_gentle_1,right_gentle,0.689,0.4,8.0365,0.2642,0,,,,,,0,,,,283311,192165,3541
6,1.2410426139831543,2026-03-13T02:25:10.474791,121.58,0.0,0.0,20.05,22.46,0.0,0.0,194.96,6.72,-2.396,-2.896,STRAIGHT,0.545,0.858,"CMD,-2.9,0.86",2.121,-0.0338,1.75,-0.052,1,0.938,0,NORMAL,15.547,0.029,1,1,1,1,1,189.7,46,12,dijkstra,fallback_centerline,0.60781,0.2512,0.0011,1,0.7488,straight_0,straight,0.6997,0.4545,7.8539,0.2182,0,,,,,,0,,,,281026,181563,3466
7,1.329638957977295,2026-03-13T02:25:10.563387,0.0,0.0,4.01,18.32,17.76,0.0,0.0,66.83,7.13,-2.068,-2.396,STRAIGHT,0.541,0.819,"CMD,-2.4,0.82",4.0,-0.0342,3.912,-0.263,1,0.938,0,NORMAL,19.901,0.066,1,1,1,1,1,192.2,48,8,dijkstra,fallback_centerline,0.62312,0.248,0.0108,1,0.752,right_gentle_2,right_gentle,0.6906,0.4182,8.0365,0.2573,0,,,,,,0,,,,292012,186444,3466
8,1.4063506126403809,2026-03-13T02:25:10.640099,2.0,0.0,4.01,16.45,10.35,0.0,0.0,56.69,7.56,-1.286,-2.068,STRAIGHT,0.544,0.728,"CMD,-2.1,0.73",2.296,0.0068,1.894,0.012,1,0.938,0,NORMAL,22.382,0.153,1,1,1,1,1,193.1,40,10,dijkstra,fallback_centerline,0.61322,0.2502,0.002,1,0.7498,straight_0,straight,0.6979,0.4,7.6712,0.2259,0,,,,,,0,,,,292012,183996,3466
9,1.6309590339660645,2026-03-13T02:25:10.864707,125.96,2.0,6.01,20.34,18.02,0.0,0.0,200.57,7.02,-1.394,-1.394,STRAIGHT,0.546,0.638,"CMD,-1.4,0.64",3.274,-0.039,3.22,-0.203,1,0.9527,0,NORMAL,22.308,0.191,1,1,1,1,1,193.8,43,11,dijkstra,fallback_centerline,0.57564,0.2517,0.0134,1,0.7483,right_gentle_1,right_gentle,0.7037,0.5273,7.8539,0.2008,0,,,,,,0,,,,275216,171869,3449
