frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.27838754653930664,2026-03-06T00:42:16.849916,127.64,0.0,5.04,25.7,1.0,0.0,0.0,177.67,0.0,6.635,6.635,STRAIGHT,1.5,1.5,"CMD,6.6,1.50",3.129,0.5029,1.937,1.541,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,221.5,62,9,dfs,0,,,,,,0,,,,285973,206848,4517
1,0.4486861228942871,2026-03-06T00:42:17.020215,111.27,0.0,6.17,21.27,9.16,0.0,0.0,170.3,5.87,9.744,8.19,STRAIGHT,1.5,1.5,"CMD,8.2,1.50",3.491,0.3972,2.198,1.29,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,187.1,62,10,dfs,0,,,,,,0,,,,275006,198831,4134
2,0.625199556350708,2026-03-06T00:42:17.196728,118.01,0.0,7.15,20.68,10.39,0.0,1.0,176.51,5.77,11.816,9.744,STRAIGHT,1.5,1.5,"CMD,9.7,1.50",3.491,0.3972,2.198,1.29,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,201.2,69,9,dfs,0,,,,,,0,,,,282699,195713,3677
3,0.8016669750213623,2026-03-06T00:42:17.373196,115.59,0.0,6.05,23.36,11.17,0.0,0.0,176.47,5.73,13.198,11.816,STRAIGHT,1.5,1.5,"CMD,11.8,1.50",3.491,0.3972,2.198,1.29,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,198.1,64,10,dfs,0,,,,,,0,,,,283233,192245,3637
4,0.9752349853515625,2026-03-06T00:42:17.546764,115.1,0.0,7.24,20.48,9.18,0.0,1.0,173.57,5.74,14.119,13.198,RIGHT,1.47,1.494,"CMD,13.2,1.49",3.491,0.3972,2.198,1.29,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,196.3,67,10,dfs,0,,,,,,0,,,,276198,184819,3541
5,1.1473071575164795,2026-03-06T00:42:17.718836,116.95,0.0,6.08,20.06,10.32,0.0,0.0,172.07,5.75,14.815,14.119,RIGHT,1.447,1.486,"CMD,14.1,1.49",3.469,0.4037,2.182,1.305,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,191.4,60,10,dfs,0,,,,,,0,,,,279873,185820,3495
6,1.321021556854248,2026-03-06T00:42:17.892550,115.48,0.0,7.03,19.46,11.49,0.0,0.0,173.71,5.75,15.342,14.815,RIGHT,1.43,1.478,"CMD,14.8,1.48",3.453,0.4087,2.17,1.316,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,188.9,46,12,dfs,0,,,,,,0,,,,281026,181563,3466
7,1.4920623302459717,2026-03-06T00:42:18.063591,117.21,0.0,5.15,19.24,9.17,0.0,0.0,171.04,5.77,15.741,15.342,RIGHT,1.416,1.47,"CMD,15.3,1.47",3.44,0.4124,2.161,1.325,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,186.8,45,8,dfs,0,,,,,,0,,,,278841,177590,3434
8,1.660536766052246,2026-03-06T00:42:18.232066,112.17,0.0,6.05,20.21,10.08,0.0,0.0,168.47,5.79,16.043,15.741,RIGHT,1.406,1.459,"CMD,15.7,1.46",3.43,0.4153,2.154,1.331,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,187.7,54,8,dfs,0,,,,,,0,,,,269374,173387,3469
9,1.8317270278930664,2026-03-06T00:42:18.403256,114.54,0.0,5.78,20.75,10.31,0.0,0.0,171.19,5.79,16.271,16.043,RIGHT,1.399,1.446,"CMD,16.0,1.45",3.423,0.4174,2.149,1.336,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,194.1,43,11,dfs,0,,,,,,0,,,,275216,171869,3449
10,2.0031003952026367,2026-03-06T00:42:18.574629,116.24,0.0,6.14,19.56,9.17,0.0,0.0,170.37,5.8,16.444,16.271,RIGHT,1.393,1.433,"CMD,16.3,1.43",3.418,0.4191,2.145,1.34,1,0.9126,0,NORMAL,24.093,0.198,1,1,1,1,1,196.2,56,6,dfs,0,,,,,,0,,,,254195,157741,3098
11,2.171994924545288,2026-03-06T00:42:18.743524,115.17,0.0,6.65,19.23,10.14,0.0,0.0,168.89,5.81,16.575,16.444,RIGHT,1.389,1.419,"CMD,16.4,1.42",3.414,0.4203,2.142,1.343,1,0.9187,0,NORMAL,26.949,0.151,1,1,1,1,1,191.0,42,8,dfs,0,,,,,,0,,,,268445,166247,3398
12,2.3431005477905273,2026-03-06T00:42:18.914630,116.17,0.0,5.46,20.06,11.18,0.0,0.0,171.11,5.81,16.673,16.575,RIGHT,1.386,1.408,"CMD,16.6,1.41",3.411,0.4212,2.139,1.345,1,0.9053,0,NORMAL,27.608,-0.033,1,1,1,1,1,187.2,37,9,dfs,0,,,,,,0,,,,290871,168704,3310
13,2.512091636657715,2026-03-06T00:42:19.083621,111.55,0.0,5.64,21.36,10.77,0.0,0.0,168.99,5.82,16.748,16.673,RIGHT,1.383,1.4,"CMD,16.7,1.40",3.408,0.4219,2.138,1.347,1,0.9772,0,NORMAL,27.28,-0.129,1,1,1,1,1,188.5,56,8,dfs,0,,,,,,0,,,,290413,165855,3314
14,2.6885175704956055,2026-03-06T00:42:19.260046,118.02,0.0,6.42,19.12,12.22,0.0,0.0,176.43,5.81,16.805,16.748,RIGHT,1.381,1.394,"CMD,16.7,1.39",3.406,0.4224,2.136,1.348,1,0.9651,0,NORMAL,27.009,-0.247,1,1,1,1,1,190.2,43,9,dfs,0,,,,,,0,,,,292563,163251,3316
15,2.8563499450683594,2026-03-06T00:42:19.427879,110.49,0.0,6.17,20.38,10.14,0.0,0.0,167.83,5.82,16.848,16.805,RIGHT,1.38,1.39,"CMD,16.8,1.39",3.405,0.4229,2.135,1.349,1,0.9677,0,NORMAL,28.283,-0.337,1,1,1,1,1,191.5,51,10,dfs,0,,,,,,0,,,,291729,160724,3345
16,3.0266904830932617,2026-03-06T00:42:19.598219,114.07,0.0,5.33,20.25,10.49,0.0,0.0,169.34,5.82,16.88,16.848,RIGHT,1.379,1.386,"CMD,16.8,1.39",3.404,0.4232,2.135,1.35,1,0.9523,0,NORMAL,29.803,-0.353,1,1,1,1,1,194.1,44,7,dfs,0,,,,,,0,,,,290091,157734,3270
17,3.195971965789795,2026-03-06T00:42:19.767501,114.39,0.0,6.22,17.03,10.19,0.0,0.0,169.28,5.83,16.904,16.88,RIGHT,1.378,1.384,"CMD,16.9,1.38",3.403,0.4234,2.134,1.35,1,0.9497,0,NORMAL,30.69,-0.371,1,1,1,1,1,193.4,32,9,dfs,0,,,,,,0,,,,277277,155521,3253
18,3.359489917755127,2026-03-06T00:42:19.931019,111.82,0.0,6.13,16.13,10.17,0.0,0.0,163.52,5.84,16.923,16.904,RIGHT,1.377,1.382,"CMD,16.9,1.38",3.403,0.4236,2.134,1.35,1,0.9407,0,NORMAL,29.983,-0.402,1,1,1,1,1,194.8,22,6,dfs,0,,,,,,0,,,,278167,150894,3247
19,3.532956838607788,2026-03-06T00:42:20.104486,117.57,0.0,7.27,18.32,11.6,0.0,0.0,173.47,5.84,16.937,16.923,RIGHT,1.377,1.38,"CMD,16.9,1.38",3.402,0.4237,2.133,1.351,1,0.9262,0,NORMAL,30.981,-0.397,1,1,1,1,1,195.4,20,6,dfs,0,,,,,,0,,,,259192,144965,2968
