frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.3475971221923828,2026-03-06T00:36:16.153109,138.27,0.0,4.08,25.62,1.05,0.0,0.0,189.51,0.0,6.635,6.635,STRAIGHT,1.5,1.5,"CMD,6.6,1.50",3.129,0.5029,1.937,1.541,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,221.5,62,9,dijkstra,0,,,,,,0,,,,285973,206848,4517
1,0.5294613838195801,2026-03-06T00:36:16.334973,122.6,0.0,7.11,21.21,9.11,0.0,0.0,181.86,5.5,9.744,8.19,STRAIGHT,1.5,1.5,"CMD,8.2,1.50",3.491,0.3972,2.198,1.29,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,187.1,62,10,dijkstra,0,,,,,,0,,,,275006,198831,4134
2,0.7071473598480225,2026-03-06T00:36:16.512660,120.2,0.0,6.6,21.24,9.23,0.0,0.0,176.68,5.56,11.816,9.744,STRAIGHT,1.5,1.5,"CMD,9.7,1.50",3.491,0.3972,2.198,1.29,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,201.2,69,9,dijkstra,0,,,,,,0,,,,282699,195713,3677
3,0.890779972076416,2026-03-06T00:36:16.696292,126.36,0.0,7.33,21.42,9.13,0.0,0.0,183.63,5.52,13.198,11.816,STRAIGHT,1.5,1.5,"CMD,11.8,1.50",3.491,0.3972,2.198,1.29,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,198.1,64,10,dijkstra,0,,,,,,0,,,,283233,192245,3637
4,1.0769646167755127,2026-03-06T00:36:16.882477,124.44,0.0,6.2,23.16,11.01,0.0,0.0,185.18,5.49,14.119,13.198,RIGHT,1.47,1.494,"CMD,13.2,1.49",3.491,0.3972,2.198,1.29,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,196.3,67,10,dijkstra,0,,,,,,0,,,,276198,184819,3541
5,1.259321928024292,2026-03-06T00:36:17.064834,125.07,0.0,6.37,20.19,10.2,0.0,0.0,182.36,5.48,14.815,14.119,RIGHT,1.447,1.486,"CMD,14.1,1.49",3.469,0.4037,2.182,1.305,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,191.4,60,10,dijkstra,0,,,,,,0,,,,279873,185820,3495
6,1.4405832290649414,2026-03-06T00:36:17.246096,123.55,0.0,7.25,19.85,9.29,0.0,0.0,180.26,5.49,15.342,14.815,RIGHT,1.43,1.478,"CMD,14.8,1.48",3.453,0.4087,2.17,1.316,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,188.9,46,12,dijkstra,0,,,,,,0,,,,281026,181563,3466
7,1.6181912422180176,2026-03-06T00:36:17.423703,123.59,0.0,6.3,19.24,9.11,0.0,0.0,177.61,5.51,15.741,15.342,RIGHT,1.416,1.47,"CMD,15.3,1.47",3.44,0.4124,2.161,1.325,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,186.8,45,8,dijkstra,0,,,,,,0,,,,278841,177590,3434
8,1.7950859069824219,2026-03-06T00:36:17.600598,119.51,0.0,6.24,21.38,9.62,0.0,0.0,176.89,5.53,16.043,15.741,RIGHT,1.406,1.459,"CMD,15.7,1.46",3.43,0.4153,2.154,1.331,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,187.7,54,8,dijkstra,0,,,,,,0,,,,269374,173387,3469
9,1.969048023223877,2026-03-06T00:36:17.774560,119.46,0.0,5.49,19.29,9.34,0.0,0.0,172.96,5.55,16.271,16.043,RIGHT,1.399,1.446,"CMD,16.0,1.45",3.423,0.4174,2.149,1.336,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,194.1,43,11,dijkstra,0,,,,,,0,,,,275216,171869,3449
10,2.153252363204956,2026-03-06T00:36:17.958765,126.03,0.0,6.22,21.3,11.07,0.0,0.0,184.2,5.54,16.444,16.271,RIGHT,1.393,1.433,"CMD,16.3,1.43",3.418,0.4191,2.145,1.34,1,0.9126,0,NORMAL,24.093,0.198,1,1,1,1,1,196.2,56,6,dijkstra,0,,,,,,0,,,,254195,157741,3098
11,2.333916187286377,2026-03-06T00:36:18.139428,124.25,0.0,6.01,20.14,10.12,0.0,0.0,180.66,5.54,16.575,16.444,RIGHT,1.389,1.419,"CMD,16.4,1.42",3.414,0.4203,2.142,1.343,1,0.9187,0,NORMAL,26.949,0.151,1,1,1,1,1,191.0,42,8,dijkstra,0,,,,,,0,,,,268445,166247,3398
12,2.5110504627227783,2026-03-06T00:36:18.316563,119.61,0.0,6.76,20.22,9.16,0.0,1.0,177.13,5.55,16.673,16.575,RIGHT,1.386,1.408,"CMD,16.6,1.41",3.411,0.4212,2.139,1.345,1,0.9053,0,NORMAL,27.608,-0.033,1,1,1,1,1,187.2,37,9,dijkstra,0,,,,,,0,,,,290871,168704,3310
13,2.6851558685302734,2026-03-06T00:36:18.490668,116.38,0.0,7.34,21.24,9.17,0.0,1.0,174.11,5.56,16.748,16.673,RIGHT,1.383,1.4,"CMD,16.7,1.40",3.408,0.4219,2.138,1.347,1,0.9772,0,NORMAL,27.28,-0.129,1,1,1,1,1,188.5,56,8,dijkstra,0,,,,,,0,,,,290413,165855,3314
14,2.85646390914917,2026-03-06T00:36:18.661976,114.59,0.0,7.01,20.39,9.06,0.0,1.05,171.31,5.58,16.805,16.748,RIGHT,1.381,1.394,"CMD,16.7,1.39",3.406,0.4224,2.136,1.348,1,0.9651,0,NORMAL,27.009,-0.247,1,1,1,1,1,190.2,43,9,dijkstra,0,,,,,,0,,,,292563,163251,3316
15,3.027798652648926,2026-03-06T00:36:18.833311,117.97,0.0,5.32,19.32,9.19,0.0,0.0,171.33,5.6,16.848,16.805,RIGHT,1.38,1.39,"CMD,16.8,1.39",3.405,0.4229,2.135,1.349,1,0.9677,0,NORMAL,28.283,-0.337,1,1,1,1,1,191.5,51,10,dijkstra,0,,,,,,0,,,,291729,160724,3345
16,3.2081849575042725,2026-03-06T00:36:19.013697,125.11,0.0,6.16,19.43,9.23,0.0,1.0,180.39,5.59,16.88,16.848,RIGHT,1.379,1.386,"CMD,16.8,1.39",3.404,0.4232,2.135,1.35,1,0.9523,0,NORMAL,29.803,-0.353,1,1,1,1,1,194.1,44,7,dijkstra,0,,,,,,0,,,,290091,157734,3270
17,3.3832616806030273,2026-03-06T00:36:19.188774,120.61,0.0,6.01,18.02,11.01,0.0,0.0,175.08,5.6,16.904,16.88,RIGHT,1.378,1.384,"CMD,16.9,1.38",3.403,0.4234,2.134,1.35,1,0.9497,0,NORMAL,30.69,-0.371,1,1,1,1,1,193.4,32,9,dijkstra,0,,,,,,0,,,,277277,155521,3253
18,3.5641930103302,2026-03-06T00:36:19.369705,125.15,0.0,7.38,16.49,11.59,0.0,0.0,180.93,5.6,16.923,16.904,RIGHT,1.377,1.382,"CMD,16.9,1.38",3.403,0.4236,2.134,1.35,1,0.9407,0,NORMAL,29.983,-0.402,1,1,1,1,1,194.8,22,6,dijkstra,0,,,,,,0,,,,278167,150894,3247
