frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.3385732173919678,2026-03-06T00:58:06.397725,139.74,0.0,5.45,26.82,1.02,0.0,0.0,191.19,0.0,6.635,6.635,STRAIGHT,1.5,1.5,"CMD,6.6,1.50",3.129,0.5029,1.937,1.541,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,221.5,62,9,dijkstra,0,,,,,,0,,,,285973,206848,4517
1,0.5814440250396729,2026-03-06T00:58:06.640596,122.39,0.0,7.31,20.5,9.11,0.0,0.0,186.65,4.12,9.744,8.19,STRAIGHT,1.5,1.5,"CMD,8.2,1.50",3.491,0.3972,2.198,1.29,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,187.1,62,10,dijkstra,0,,,,,,0,,,,275006,198831,4134
2,0.7953588962554932,2026-03-06T00:58:06.854511,128.92,0.0,6.35,22.31,10.26,0.0,0.0,193.26,4.38,11.816,9.744,STRAIGHT,1.5,1.5,"CMD,9.7,1.50",3.491,0.3972,2.198,1.29,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,201.2,69,9,dijkstra,0,,,,,,0,,,,282699,195713,3677
3,1.0015718936920166,2026-03-06T00:58:07.060724,125.43,0.0,7.64,20.74,9.16,0.0,0.0,185.82,4.53,13.198,11.816,STRAIGHT,1.5,1.5,"CMD,11.8,1.50",3.491,0.3972,2.198,1.29,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,198.1,64,10,dijkstra,0,,,,,,0,,,,283233,192245,3637
4,1.2045097351074219,2026-03-06T00:58:07.263661,119.58,0.0,8.01,20.53,9.12,0.0,1.0,182.89,4.62,14.119,13.198,RIGHT,1.47,1.494,"CMD,13.2,1.49",3.491,0.3972,2.198,1.29,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,196.3,67,10,dijkstra,0,,,,,,0,,,,276198,184819,3541
5,1.4019412994384766,2026-03-06T00:58:07.461093,116.83,0.0,6.5,19.18,9.12,0.0,0.0,176.89,4.7,14.815,14.119,RIGHT,1.447,1.486,"CMD,14.1,1.49",3.469,0.4037,2.182,1.305,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,191.4,60,10,dijkstra,0,,,,,,0,,,,279873,185820,3495
6,1.609222173690796,2026-03-06T00:58:07.668374,121.57,0.0,6.72,18.16,16.78,0.0,0.0,187.64,4.72,15.342,14.815,RIGHT,1.43,1.478,"CMD,14.8,1.48",3.453,0.4087,2.17,1.316,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,188.9,46,12,dijkstra,0,,,,,,0,,,,281026,181563,3466
7,1.8055994510650635,2026-03-06T00:58:07.864751,117.17,0.0,7.48,19.21,9.21,0.0,0.0,176.11,4.77,15.741,15.342,RIGHT,1.416,1.47,"CMD,15.3,1.47",3.44,0.4124,2.161,1.325,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,186.8,45,8,dijkstra,0,,,,,,0,,,,278841,177590,3434
8,1.999600887298584,2026-03-06T00:58:08.058752,115.72,0.0,6.32,20.43,9.44,0.0,0.0,175.51,4.82,16.043,15.741,RIGHT,1.406,1.459,"CMD,15.7,1.46",3.43,0.4153,2.154,1.331,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,187.7,54,8,dijkstra,0,,,,,,0,,,,269374,173387,3469
9,2.2002556324005127,2026-03-06T00:58:08.259407,121.81,0.0,6.43,19.31,9.14,0.0,1.0,181.39,4.83,16.271,16.043,RIGHT,1.399,1.446,"CMD,16.0,1.45",3.423,0.4174,2.149,1.336,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,194.1,43,11,dijkstra,0,,,,,,0,,,,275216,171869,3449
10,2.408229351043701,2026-03-06T00:58:08.467381,130.38,0.0,6.37,20.28,9.01,0.0,0.0,188.96,4.83,16.444,16.271,RIGHT,1.393,1.433,"CMD,16.3,1.43",3.418,0.4191,2.145,1.34,1,0.9126,0,NORMAL,24.093,0.198,1,1,1,1,1,196.2,56,6,dijkstra,0,,,,,,0,,,,254195,157741,3098
11,2.6109375953674316,2026-03-06T00:58:08.670089,124.43,0.0,6.49,18.46,9.18,0.0,1.01,183.04,4.84,16.575,16.444,RIGHT,1.389,1.419,"CMD,16.4,1.42",3.414,0.4203,2.142,1.343,1,0.9187,0,NORMAL,26.949,0.151,1,1,1,1,1,191.0,42,8,dijkstra,0,,,,,,0,,,,268445,166247,3398
12,2.8091840744018555,2026-03-06T00:58:08.868336,119.79,0.0,7.31,19.62,10.23,0.0,0.0,179.93,4.86,16.673,16.575,RIGHT,1.386,1.408,"CMD,16.6,1.41",3.411,0.4212,2.139,1.345,1,0.9053,0,NORMAL,27.608,-0.033,1,1,1,1,1,187.2,37,9,dijkstra,0,,,,,,0,,,,290871,168704,3310
13,3.010693073272705,2026-03-06T00:58:09.069845,118.44,0.0,6.15,22.03,10.27,0.0,1.0,181.68,4.87,16.748,16.673,RIGHT,1.383,1.4,"CMD,16.7,1.40",3.408,0.4219,2.138,1.347,1,0.9772,0,NORMAL,27.28,-0.129,1,1,1,1,1,188.5,56,8,dijkstra,0,,,,,,0,,,,290413,165855,3314
14,3.2073075771331787,2026-03-06T00:58:09.266459,117.8,0.0,7.37,20.76,8.6,0.0,1.0,177.26,4.88,16.805,16.748,RIGHT,1.381,1.394,"CMD,16.7,1.39",3.406,0.4224,2.136,1.348,1,0.9651,0,NORMAL,27.009,-0.247,1,1,1,1,1,190.2,43,9,dijkstra,0,,,,,,0,,,,292563,163251,3316
15,3.4192469120025635,2026-03-06T00:58:09.478399,130.2,0.0,7.01,20.02,9.56,0.0,0.0,192.18,4.87,16.848,16.805,RIGHT,1.38,1.39,"CMD,16.8,1.39",3.405,0.4229,2.135,1.349,1,0.9677,0,NORMAL,28.283,-0.337,1,1,1,1,1,191.5,51,10,dijkstra,0,,,,,,0,,,,291729,160724,3345
16,3.629516124725342,2026-03-06T00:58:09.688668,130.64,0.0,7.75,18.51,9.33,0.0,0.0,190.21,4.86,16.88,16.848,RIGHT,1.379,1.386,"CMD,16.8,1.39",3.404,0.4232,2.135,1.35,1,0.9523,0,NORMAL,29.803,-0.353,1,1,1,1,1,194.1,44,7,dijkstra,0,,,,,,0,,,,290091,157734,3270
17,3.8409669399261475,2026-03-06T00:58:09.900119,127.13,0.0,6.51,17.33,9.01,0.0,1.0,188.19,4.85,16.904,16.88,RIGHT,1.378,1.384,"CMD,16.9,1.38",3.403,0.4234,2.134,1.35,1,0.9497,0,NORMAL,30.69,-0.371,1,1,1,1,1,193.4,32,9,dijkstra,0,,,,,,0,,,,277277,155521,3253
18,4.043696641921997,2026-03-06T00:58:10.102848,122.74,0.0,6.64,17.34,9.14,0.0,0.0,181.06,4.86,16.923,16.904,RIGHT,1.377,1.382,"CMD,16.9,1.38",3.403,0.4236,2.134,1.35,1,0.9407,0,NORMAL,29.983,-0.402,1,1,1,1,1,194.8,22,6,dijkstra,0,,,,,,0,,,,278167,150894,3247
19,4.241459608078003,2026-03-06T00:58:10.300611,124.95,0.0,7.49,16.49,8.05,0.0,0.0,178.34,4.87,16.937,16.923,RIGHT,1.377,1.38,"CMD,16.9,1.38",3.402,0.4237,2.133,1.351,1,0.9262,0,NORMAL,30.981,-0.397,1,1,1,1,1,195.4,20,6,dijkstra,0,,,,,,0,,,,259192,144965,2968
20,4.437169075012207,2026-03-06T00:58:10.496321,119.76,0.0,6.09,18.4,10.24,0.0,0.0,175.44,4.88,16.947,16.937,RIGHT,1.377,1.379,"CMD,16.9,1.38",3.402,0.4238,2.133,1.351,1,0.9044,0,NORMAL,33.188,-0.369,1,1,1,1,1,190.1,41,9,dijkstra,0,,,,,,0,,,,281440,148925,3169
21,4.631146430969238,2026-03-06T00:58:10.690298,114.93,0.0,7.01,18.37,9.21,0.0,1.0,173.36,4.89,16.955,16.947,RIGHT,1.376,1.378,"CMD,16.9,1.38",3.402,0.4239,2.133,1.351,1,0.9677,0,NORMAL,34.278,-0.344,1,1,1,1,1,189.5,47,9,dijkstra,0,,,,,,0,,,,281241,146652,3134
22,4.835096836090088,2026-03-06T00:58:10.894249,124.4,0.0,7.03,19.43,10.25,0.0,1.01,185.22,4.89,16.961,16.955,RIGHT,1.376,1.378,"CMD,17.0,1.38",3.401,0.4239,2.133,1.351,1,0.9541,0,NORMAL,34.987,-0.407,1,1,1,1,1,194.8,41,9,dijkstra,0,,,,,,0,,,,271229,143967,3139
23,5.029410123825073,2026-03-06T00:58:11.088562,121.17,0.0,6.05,18.32,9.01,0.0,0.0,173.56,4.9,16.966,16.961,RIGHT,1.376,1.377,"CMD,17.0,1.38",3.401,0.424,2.133,1.351,1,0.9236,0,NORMAL,36.76,-0.43,1,1,1,1,1,197.2,34,8,dijkstra,0,,,,,,0,,,,254744,138334,3037
24,5.2274346351623535,2026-03-06T00:58:11.286587,121.81,0.0,5.57,19.41,9.23,0.0,0.0,179.0,4.91,16.969,16.966,RIGHT,1.376,1.377,"CMD,17.0,1.38",3.401,0.424,2.133,1.351,1,0.8078,0,NORMAL,40.886,-0.509,1,1,1,1,1,213.2,51,6,dijkstra,0,,,,,,0,,,,206638,129087,2963
25,5.416608810424805,2026-03-06T00:58:11.475760,118.37,0.0,6.01,15.23,9.12,0.0,0.0,172.8,4.92,16.972,16.969,RIGHT,1.376,1.376,"CMD,17.0,1.38",3.401,0.424,2.133,1.352,1,0.8468,0,NORMAL,44.675,-0.713,1,1,1,1,1,210.7,23,6,dijkstra,0,,,,,,0,,,,194308,123370,2489
26,5.603142738342285,2026-03-06T00:58:11.662294,113.36,0.0,7.52,16.72,9.11,0.0,0.0,169.18,4.94,16.974,16.972,RIGHT,1.376,1.376,"CMD,17.0,1.38",3.401,0.424,2.133,1.352,1,0.7595,0,NORMAL,45.365,-0.528,1,1,1,1,1,204.8,24,6,dijkstra,0,,,,,,0,,,,228521,134159,2929
27,5.798001766204834,2026-03-06T00:58:11.857153,121.53,0.0,6.62,17.18,9.01,0.0,0.0,177.25,4.95,16.976,16.974,RIGHT,1.376,1.376,"CMD,17.0,1.38",3.401,0.4241,2.133,1.352,1,0.8984,0,NORMAL,47.866,-0.298,1,1,1,1,1,205.6,32,7,dijkstra,0,,,,,,0,,,,239761,133734,3056
28,5.98900580406189,2026-03-06T00:58:12.048157,119.58,0.0,6.88,17.3,9.17,0.0,0.0,172.78,4.96,16.977,16.976,RIGHT,1.376,1.376,"CMD,17.0,1.38",3.401,0.4241,2.133,1.352,1,0.9139,0,NORMAL,51.406,-0.258,1,1,1,1,1,193.2,27,8,dijkstra,0,,,,,,0,,,,251352,136228,3088
29,6.195233106613159,2026-03-06T00:58:12.254385,135.93,0.0,6.39,17.63,1.02,0.0,0.0,185.44,4.95,16.978,16.977,RIGHT,1.376,1.376,"CMD,17.0,1.38",3.401,0.4241,2.133,1.352,1,0.9516,0,NORMAL,51.071,-0.206,1,1,1,1,1,107.2,37,9,dijkstra,0,,,,,,0,,,,246341,134511,3021
30,6.398029804229736,2026-03-06T00:58:12.457182,128.2,0.0,7.1,16.35,10.19,0.0,0.0,184.38,4.99,16.978,16.978,RIGHT,1.376,1.376,"CMD,17.0,1.38",3.401,0.4241,2.132,1.352,1,0.9247,0,NORMAL,50.971,-0.102,1,1,1,1,1,181.7,23,7,dijkstra,0,,,,,,0,,,,239198,132437,2572
31,6.591930150985718,2026-03-06T00:58:12.651082,132.71,0.0,6.23,15.01,1.06,0.0,0.0,175.47,5.0,16.979,16.978,RIGHT,1.376,1.376,"CMD,17.0,1.38",3.401,0.4241,2.132,1.352,1,0.9556,0,NORMAL,50.835,-0.057,1,1,1,1,1,130.1,17,8,dijkstra,0,,,,,,0,,,,235673,130510,2687
32,6.795063495635986,2026-03-06T00:58:12.854215,129.35,0.0,6.38,17.37,11.12,0.0,0.0,184.63,5.0,16.979,16.979,RIGHT,1.376,1.376,"CMD,17.0,1.38",3.401,0.4241,2.132,1.352,1,0.9367,0,NORMAL,50.621,-0.039,1,1,1,1,1,168.6,29,7,dijkstra,0,,,,,,0,,,,233917,130873,2928
