frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,16.4694607257843,2026-02-11T16:20:22.427440,15114.19,0.0,3.96,57.0,7.0,0.0,0.0,15270.49,0.0,16.144,16.144,RIGHT,1.396,1.396,"CMD,16.1,1.40",1,2,554.1,1026,1219,0,,,,,,0,,,,279591,135119,1048
1,17.817595720291138,2026-02-11T16:20:23.775575,1091.0,0.0,4.99,69.03,11.0,0.0,0.0,1226.02,0.74,-7.046,4.549,STRAIGHT,1.5,1.448,"CMD,4.5,1.45",1,4,475.2,1194,1380,0,,,,,,0,,,,279032,129298,1256
2,18.338940382003784,2026-02-11T16:20:24.296920,107.0,0.0,6.0,77.04,8.96,0.0,0.0,485.37,1.07,-6.729,-6.729,STRAIGHT,1.5,1.465,"CMD,-6.7,1.47",1,3,478.1,1152,1327,0,,,,,,0,,,,293018,136164,1208
3,18.579935550689697,2026-02-11T16:20:24.537915,108.0,0.0,6.03,67.02,7.94,0.0,0.0,212.96,1.42,-10.217,-6.887,STRAIGHT,1.5,1.474,"CMD,-6.9,1.47",1,2,483.8,1415,1748,0,,,,,,0,,,,279046,135757,1420
4,18.81934094429016,2026-02-11T16:20:24.777321,106.03,0.0,4.97,64.01,12.03,0.0,0.0,212.0,1.7,-23.025,-7.046,STRAIGHT,1.5,1.479,"CMD,-7.0,1.48",1,3,444.1,1512,1859,0,,,,,,0,,,,205596,113371,1570
5,19.058409214019775,2026-02-11T16:20:25.016389,106.05,0.0,5.03,69.0,8.99,0.0,0.0,212.07,1.93,-7.363,-7.204,STRAIGHT,1.5,1.483,"CMD,-7.2,1.48",1,3,476.2,1150,1336,0,,,,,,0,,,,285211,130643,1200
6,19.295541763305664,2026-02-11T16:20:25.253521,106.01,0.0,5.03,70.0,8.0,0.0,0.0,211.12,2.12,-7.679,-7.363,STRAIGHT,1.5,1.485,"CMD,-7.4,1.49",1,3,475.2,1168,1366,0,,,,,,0,,,,295719,134546,1197
7,19.520540714263916,2026-02-11T16:20:25.478520,104.05,0.0,4.96,67.0,1.03,0.0,0.0,199.0,2.29,0.0,-7.204,STRAIGHT,1.5,1.487,"CMD,-7.2,1.49",1,1,199.8,1115,1364,0,,,,,,0,,,,297643,135428,1155
8,19.746376991271973,2026-02-11T16:20:25.704357,105.88,0.0,4.98,70.03,2.97,0.0,0.0,205.83,2.44,0.0,-7.204,STRAIGHT,1.5,1.5,"CMD,-7.2,1.50",1,3,329.2,1131,1328,0,,,,,,0,,,,281849,124568,1160
9,19.979384660720825,2026-02-11T16:20:25.937364,110.04,0.0,5.0,70.0,2.01,0.0,0.0,209.04,2.56,0.0,-7.046,STRAIGHT,1.5,1.5,"CMD,-7.0,1.50",1,1,357.7,1171,1368,0,,,,,,0,,,,293081,131473,1227
10,20.20103406906128,2026-02-11T16:20:26.159014,104.66,0.0,4.0,60.03,6.0,0.0,0.0,198.69,2.68,22.43,-3.681,STRAIGHT,1.5,1.5,"CMD,-3.7,1.50",1,3,501.0,1120,1355,0,,,,,,0,,,,246375,98877,1138
11,20.46799945831299,2026-02-11T16:20:26.425979,141.0,0.0,5.03,66.97,6.0,0.0,0.0,241.97,2.75,-87.207,-3.681,STRAIGHT,1.5,1.5,"CMD,-3.7,1.50",1,2,684.5,920,1101,0,,,,,,0,,,,263116,99981,942
12,20.71211838722229,2026-02-11T16:20:26.670098,107.12,0.0,5.0,72.0,9.0,0.0,0.0,216.11,2.83,-6.161,-3.081,STRAIGHT,1.5,1.5,"CMD,-3.1,1.50",1,3,473.3,1150,1338,0,,,,,,0,,,,293479,129961,1156
13,20.960119485855103,2026-02-11T16:20:26.918099,111.05,0.0,4.98,73.0,8.0,0.0,0.0,220.0,2.9,-6.968,-3.081,STRAIGHT,1.5,1.5,"CMD,-3.1,1.50",1,3,481.2,1152,1353,0,,,,,,0,,,,295220,130233,1152
