frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.968933582305908,2026-02-17T12:59:33.993732,2274.33,0.0,5.0,53.0,5.0,0.0,1.0,2402.26,0.0,16.144,16.144,RIGHT,1.396,1.396,"CMD,16.1,1.40",1.0,0,NORMAL,0.0,0.0,1,2,554.1,1026,1219,0,,,,,,0,,,,279591,135119,1048
1,3.248328447341919,2026-02-17T12:59:34.273127,90.0,0.0,6.0,54.0,4.0,0.0,0.0,181.0,3.59,16.144,16.144,RIGHT,1.396,1.396,"CMD,16.1,1.40",0.9134,0,NORMAL,3.53,-0.091,1,2,554.1,1026,1219,0,,,,,,0,,,,279591,135119,1048
2,3.4493277072906494,2026-02-17T12:59:34.474126,77.0,0.0,5.0,65.0,9.0,0.0,0.0,176.0,4.16,-6.729,16.144,RIGHT,1.396,1.396,"CMD,16.1,1.40",0.9024,0,NORMAL,6.737,-0.16,1,3,475.7,1137,1308,0,,,,,,0,,,,284269,132449,1209
3,3.656256914138794,2026-02-17T12:59:34.681055,83.0,0.0,5.0,66.01,5.0,0.0,0.0,180.93,4.36,-5.456,5.344,STRAIGHT,1.5,1.422,"CMD,5.3,1.42",0.8912,0,NORMAL,10.441,-0.112,1,2,475.7,1126,1364,0,,,,,,0,,,,288200,136069,1141
4,3.8542516231536865,2026-02-17T12:59:34.879050,80.0,0.0,5.0,58.0,8.0,0.0,0.0,172.0,4.52,-10.217,-5.456,STRAIGHT,1.5,1.438,"CMD,-5.5,1.44",0.6977,0,NORMAL,14.215,-0.128,1,3,480.7,1473,1817,0,,,,,,0,,,,272971,133107,1478
5,4.055994987487793,2026-02-17T12:59:35.080793,79.05,0.0,4.98,65.72,7.0,0.0,0.0,176.74,4.6,-7.046,-6.092,STRAIGHT,1.5,1.448,"CMD,-6.1,1.45",0.8514,0,NORMAL,17.098,-0.051,1,3,475.4,1210,1411,0,,,,,,0,,,,283621,130773,1250
6,4.270995378494263,2026-02-17T12:59:35.295794,86.0,0.0,6.01,67.99,6.0,0.0,0.0,187.0,4.61,-7.363,-6.729,STRAIGHT,1.5,1.456,"CMD,-6.7,1.46",0.9398,0,NORMAL,17.401,0.033,1,2,474.8,1150,1426,0,,,,,,0,,,,294034,134781,1169
7,4.495997905731201,2026-02-17T12:59:35.520796,90.0,0.0,7.02,73.98,6.0,0.0,1.0,199.0,4.58,-6.411,-6.57,STRAIGHT,1.5,1.461,"CMD,-6.6,1.46",0.957,0,NORMAL,18.894,0.078,1,2,470.7,1147,1394,0,,,,,,0,,,,295525,135128,1151
8,4.708178758621216,2026-02-17T12:59:35.732977,85.0,0.0,5.0,69.0,1.0,0.0,0.0,184.0,4.6,0.0,-6.57,STRAIGHT,1.5,1.474,"CMD,-6.6,1.47",0.9237,0,NORMAL,21.785,0.126,1,1,336.5,1145,1338,0,,,,,,0,,,,294810,132482,1213
9,4.900176763534546,2026-02-17T12:59:35.924975,78.01,0.0,4.99,64.0,2.0,0.0,0.0,170.0,4.66,0.0,-6.57,STRAIGHT,1.5,1.487,"CMD,-6.6,1.49",0.9438,0,NORMAL,23.373,0.178,1,1,356.9,1183,1382,0,,,,,,0,,,,292968,131733,1237
10,5.097748041152954,2026-02-17T12:59:36.122546,75.57,0.0,5.0,62.0,9.0,0.0,0.0,173.27,4.7,-2.895,-5.933,STRAIGHT,1.5,1.5,"CMD,-5.9,1.50",0.8384,0,NORMAL,23.581,0.144,1,3,470.7,1220,1403,0,,,,,,0,,,,282826,126557,1220
11,5.304747581481934,2026-02-17T12:59:36.329546,85.0,0.0,5.0,62.0,3.0,0.0,0.0,177.0,4.71,-86.371,-6.728,STRAIGHT,1.5,1.5,"CMD,-6.7,1.50",0.9218,0,NORMAL,26.321,0.11,1,1,680.8,1013,1232,0,,,,,,0,,,,269904,104879,1057
12,5.498747825622559,2026-02-17T12:59:36.523546,77.03,0.0,4.97,63.0,2.0,0.0,0.0,168.0,4.75,0.0,-4.653,STRAIGHT,1.5,1.5,"CMD,-4.7,1.50",0.886,0,NORMAL,29.548,-0.042,1,2,323.6,1165,1350,0,,,,,,0,,,,288013,127061,1178
13,5.703754425048828,2026-02-17T12:59:36.728553,81.0,0.0,5.0,68.01,8.0,0.0,0.0,182.97,4.75,-6.729,-4.653,STRAIGHT,1.5,1.5,"CMD,-4.7,1.50",0.9429,0,NORMAL,29.795,-0.14,1,3,475.2,1154,1344,0,,,,,,0,,,,294252,130023,1157
14,5.9089884757995605,2026-02-17T12:59:36.933787,81.04,0.0,5.0,66.0,8.0,0.0,1.0,181.23,4.76,-6.968,-4.653,STRAIGHT,1.5,1.5,"CMD,-4.7,1.50",0.9565,0,NORMAL,31.899,-0.255,1,3,478.8,1141,1343,0,,,,,,0,,,,294562,129629,1141
15,6.115704774856567,2026-02-17T12:59:37.140503,81.73,0.0,4.99,65.03,8.0,0.0,1.0,181.72,4.77,-6.93,-4.812,STRAIGHT,1.5,1.5,"CMD,-4.8,1.50",0.9509,0,NORMAL,32.497,-0.337,1,3,480.8,1146,1343,0,,,,,,0,,,,294892,129658,1146
16,6.326704025268555,2026-02-17T12:59:37.351502,83.01,0.0,5.0,66.0,8.0,0.0,0.0,186.0,4.77,-7.202,-6.829,STRAIGHT,1.5,1.5,"CMD,-6.8,1.50",0.9475,0,NORMAL,33.809,-0.354,1,3,485.4,1150,1348,0,,,,,,0,,,,297441,129951,1150
17,6.535672903060913,2026-02-17T12:59:37.560471,79.04,0.0,5.0,65.0,7.97,0.0,0.0,181.96,4.77,-6.511,-6.829,STRAIGHT,1.5,1.5,"CMD,-6.8,1.50",0.9318,0,NORMAL,35.283,-0.386,1,3,492.1,1148,1339,0,,,,,,0,,,,292511,128511,1148
18,6.730717182159424,2026-02-17T12:59:37.755516,80.03,0.0,5.0,60.01,4.0,0.0,0.0,169.0,4.78,-2.239,-6.829,STRAIGHT,1.5,1.5,"CMD,-6.8,1.50",0.9305,0,NORMAL,35.039,-0.425,1,2,474.8,1110,1294,0,,,,,,0,,,,286237,123595,1110
19,6.92767071723938,2026-02-17T12:59:37.952469,79.0,0.0,5.01,61.03,5.96,0.0,0.0,171.96,4.8,-1.591,-6.62,STRAIGHT,1.5,1.5,"CMD,-6.6,1.50",0.8939,0,NORMAL,36.554,-0.421,1,3,476.8,1106,1282,0,,,,,,0,,,,281047,122080,1106
20,7.126971960067749,2026-02-17T12:59:38.151770,79.3,0.0,5.03,61.0,7.96,0.0,0.0,174.25,4.81,-1.92,-6.62,STRAIGHT,1.5,1.5,"CMD,-6.6,1.50",0.9178,0,NORMAL,37.048,-0.395,1,3,474.8,1179,1363,0,,,,,,0,,,,280133,120572,1179
21,7.34200382232666,2026-02-17T12:59:38.366802,89.04,0.0,5.02,60.97,8.0,0.0,1.0,189.0,4.8,-1.574,-4.375,STRAIGHT,1.5,1.5,"CMD,-4.4,1.50",0.9498,0,NORMAL,37.944,-0.39,1,3,480.1,1146,1283,0,,,,,,0,,,,279177,121722,1146
22,7.5369720458984375,2026-02-17T12:59:38.561770,80.0,0.0,5.04,58.96,6.0,0.0,0.0,168.99,4.82,-1.582,-2.08,STRAIGHT,1.5,1.5,"CMD,-2.1,1.50",0.9456,0,NORMAL,38.185,-0.479,1,3,479.9,1110,1260,0,,,,,,0,,,,276071,121209,1129
23,7.732974529266357,2026-02-17T12:59:38.757773,80.03,0.0,4.0,59.97,6.04,0.0,0.0,170.03,4.83,-1.532,-1.755,STRAIGHT,1.5,1.5,"CMD,-1.8,1.50",0.9077,0,NORMAL,41.252,-0.499,1,2,497.2,1280,1466,0,,,,,,0,,,,270745,126138,1321
24,7.922009706497192,2026-02-17T12:59:38.946808,79.01,0.0,4.0,56.02,5.0,0.0,0.0,164.0,4.85,1.574,-1.587,STRAIGHT,1.5,1.5,"CMD,-1.6,1.50",0.7055,0,NORMAL,43.839,-0.604,1,2,480.1,1210,1294,0,,,,,,0,,,,255185,122770,1239
25,8.099900960922241,2026-02-17T12:59:39.124700,78.9,0.0,4.03,49.0,2.0,0.0,0.0,154.88,4.87,0.0,-1.578,STRAIGHT,1.5,1.5,"CMD,-1.6,1.50",0.5272,0,NORMAL,42.486,-0.833,1,1,368.0,1236,1414,0,,,,,,0,,,,197073,106985,1268
26,8.301903247833252,2026-02-17T12:59:39.326702,98.02,0.0,5.01,51.0,4.0,0.0,0.0,180.02,4.88,87.614,-1.553,STRAIGHT,1.5,1.5,"CMD,-1.6,1.50",0.8874,0,NORMAL,43.524,-0.619,1,2,452.3,1080,1245,0,,,,,,0,,,,191958,104462,1080
27,8.50191879272461,2026-02-17T12:59:39.526717,98.0,0.0,5.03,47.96,5.03,0.0,0.0,176.0,4.88,-30.399,-1.553,STRAIGHT,1.5,1.5,"CMD,-1.6,1.50",0.8934,0,NORMAL,46.416,-0.391,1,2,480.4,1168,1359,0,,,,,,0,,,,201994,109811,1196
