frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.5628230571746826,2026-03-04T15:18:53.461713,1936.75,109.43,15.58,15.63,0.0,0.0,0.0,2092.98,0.0,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,1,152.1,91,12,1,20.0,truck,20.00,,,0,,,,1022026,143202,6322
1,2.7458622455596924,2026-03-04T15:18:53.644752,41.35,0.0,6.0,20.04,0.0,0.0,0.0,135.13,5.49,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9993,0,NORMAL,0.259,0.013,0,1,152.1,91,12,1,20.0,truck,20.00,,,0,,,,1022026,143202,6322
2,2.9060492515563965,2026-03-04T15:18:53.804939,66.43,0.0,15.63,15.62,0.0,0.0,0.0,144.53,5.83,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.8354,0,NORMAL,0.215,0.029,0,1,152.1,91,12,1,20.0,truck,20.00,,,0,,,,1022336,143202,6322
3,3.015427350997925,2026-03-04T15:18:53.914317,31.26,0.0,0.0,15.61,0.0,0.0,0.0,93.74,6.63,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.8357,0,NORMAL,0.472,0.047,0,1,145.4,93,10,1,20.0,truck,20.00,,,0,,,,859208,123855,5613
4,3.188337802886963,2026-03-04T15:18:54.087228,76.92,0.0,2.11,15.66,0.0,0.0,0.0,137.03,6.39,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9495,0,NORMAL,0.305,0.064,0,1,145.4,85,10,1,20.0,truck,20.00,,,0,,,,857538,122578,5553
5,3.2967371940612793,2026-03-04T15:18:54.195627,19.15,0.0,0.0,15.66,0.0,0.0,0.0,92.77,6.81,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9527,0,NORMAL,0.783,0.098,0,0,0.0,60,9,1,20.0,truck,20.00,,,0,,,,817666,104254,4292
6,3.4988791942596436,2026-03-04T15:18:54.397769,76.82,38.4,8.0,14.0,0.0,0.0,0.0,170.49,6.41,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9258,0,NORMAL,0.899,0.112,0,0,0.0,60,9,1,20.0,truck,20.00,,,0,,,,817309,104254,4307
7,3.6249587535858154,2026-03-04T15:18:54.523849,15.59,0.0,15.66,15.59,0.0,0.0,0.0,109.37,6.59,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9266,0,NORMAL,1.158,0.116,0,1,81.1,36,8,1,20.0,truck,20.00,,,0,,,,758100,87598,3141
8,3.783745765686035,2026-03-04T15:18:54.682636,63.83,0.0,0.0,15.79,0.0,0.0,1.0,143.12,6.55,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9452,0,NORMAL,1.447,0.144,0,1,81.1,36,8,1,20.0,truck,20.00,,,0,,,,757813,87621,3126
9,3.8910131454467773,2026-03-04T15:18:54.789903,31.25,0.0,0.0,0.0,15.62,0.0,0.0,85.25,6.78,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.946,0,NORMAL,1.797,0.173,0,1,104.8,39,9,1,20.0,truck,20.00,,,0,,,,716863,78965,2783
