frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.349031686782837,2026-03-05T17:20:06.053206,2079.03,0.0,5.0,18.0,1.0,0.0,0.0,2120.02,0.0,0.198,0.198,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0144,1.781,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,86.8,137,10,0,,,,,,0,,,,285973,156063,4318
1,2.431065082550049,2026-03-05T17:20:06.135240,0.0,0.0,3.03,0.0,0.0,0.0,1.0,23.03,12.04,0.33,0.264,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0144,1.781,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,76.8,0,0,0,,,,,,0,,,,305345,155571,0
2,2.467090129852295,2026-03-05T17:20:06.171264,1.05,0.0,2.01,0.0,0.0,0.0,0.0,19.06,16.94,0.418,0.33,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0144,1.781,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,71.8,0,0,0,,,,,,0,,,,305345,153365,0
3,2.4981231689453125,2026-03-05T17:20:06.202298,0.0,0.0,3.03,0.0,0.0,0.0,0.0,17.99,19.99,0.476,0.418,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0144,1.781,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,66.8,0,0,0,,,,,,0,,,,305345,151958,0
4,2.625129222869873,2026-03-05T17:20:06.329304,72.03,0.0,7.0,17.03,0.0,0.0,0.0,114.0,14.44,0.516,0.476,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.0144,1.781,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,86.8,143,9,0,,,,,,0,,,,276198,149875,3889
5,2.656094789505005,2026-03-05T17:20:06.360269,0.0,0.0,4.0,0.0,0.0,0.0,0.0,17.96,16.23,0.542,0.516,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.0144,1.781,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,81.8,0,0,0,,,,,,0,,,,283311,149672,0
6,2.6870920658111572,2026-03-05T17:20:06.391267,1.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,17.7,0.559,0.542,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.0144,1.781,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,76.8,0,0,0,,,,,,0,,,,283311,149122,0
7,2.717092275619507,2026-03-05T17:20:06.421267,0.99,0.0,2.0,0.0,0.0,0.0,0.0,19.0,18.97,0.571,0.559,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",4.0,0.0144,1.781,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,71.8,0,0,0,,,,,,0,,,,283311,147855,0
8,2.8361308574676514,2026-03-05T17:20:06.540305,68.03,0.0,6.0,16.0,0.0,0.0,0.0,105.97,16.42,0.6,0.571,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",4.0,0.016,1.689,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,82.2,137,11,0,,,,,,0,,,,269374,147693,3878
9,2.86513090133667,2026-03-05T17:20:06.569305,1.0,0.0,2.03,0.0,0.0,0.0,0.0,17.0,17.4,0.62,0.6,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",4.0,0.016,1.689,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,77.2,0,0,0,,,,,,0,,,,279525,147499,0
