frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.338056802749634,2026-03-09T16:49:22.855545,2045.05,0.0,11.0,16.03,19.0,0.0,1.0,2103.61,0.0,0.096,0.096,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,2,125.6,110,10,dijkstra,graph,0.62669,0,,,,,,0,,,,285180,187446,4498
1,2.488985776901245,2026-03-09T16:49:23.006474,1.04,0.0,2.99,24.0,19.27,0.0,1.19,85.51,6.63,-1.101,-0.502,STRAIGHT,1.5,1.5,"CMD,-0.5,1.50",2.468,-0.0848,2.434,-0.254,1,1.0,0,NORMAL,2.817,-0.085,1,1,1,1,1,693.0,142,12,dijkstra,fallback_skeleton,0.62438,0,,,,,,0,,,,304170,187048,4498
2,2.641798257827759,2026-03-09T16:49:23.159287,72.0,1.0,6.0,15.0,17.0,0.0,1.0,132.0,6.58,-0.537,-0.537,STRAIGHT,1.5,1.5,"CMD,-0.5,1.50",4.0,0.0143,3.998,0.115,1,0.9503,0,NORMAL,5.701,-0.137,1,1,1,1,1,505.1,111,10,dijkstra,fallback_skeleton,0.62432,0,,,,,,0,,,,281009,186669,4231
3,2.7147979736328125,2026-03-09T16:49:23.232287,1.01,0.0,2.99,17.99,17.0,0.0,0.0,54.0,7.96,0.055,-0.537,STRAIGHT,1.5,1.5,"CMD,-0.5,1.50",2.477,0.03,2.447,0.09,1,0.9503,0,NORMAL,8.933,-0.087,1,1,1,1,2,406.8,124,10,dijkstra,graph,0.62004,0,,,,,,0,,,,299228,186078,4231
4,2.8577988147735596,2026-03-09T16:49:23.375287,68.04,1.0,5.98,15.0,17.0,0.0,0.0,125.0,7.7,0.133,0.055,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,0.955,0,NORMAL,10.23,-0.089,1,1,1,1,2,125.6,115,9,dijkstra,graph,0.62027,0,,,,,,0,,,,279878,185610,4507
5,2.927814483642578,2026-03-09T16:49:23.445303,1.0,0.0,2.01,17.0,17.01,0.0,0.0,53.01,8.48,-0.529,0.055,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",2.627,-0.0449,2.601,-0.152,1,0.955,0,NORMAL,11.713,0.005,1,1,1,1,1,684.4,147,13,dijkstra,fallback_skeleton,0.61754,0,,,,,,0,,,,289020,185133,4507
6,3.0698001384735107,2026-03-09T16:49:23.587289,67.0,1.0,7.0,15.0,17.0,0.0,0.0,124.0,8.2,0.026,0.026,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0275,3.99,0.22,1,0.9538,0,NORMAL,13.386,0.067,1,1,1,1,1,513.8,117,9,dijkstra,fallback_skeleton,0.62583,0,,,,,,0,,,,281633,187161,4589
7,3.1588332653045654,2026-03-09T16:49:23.676322,0.0,0.0,3.02,20.04,25.99,0.0,0.0,65.03,8.54,0.396,0.026,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0275,3.99,0.22,1,0.9538,0,NORMAL,17.96,0.106,1,1,1,1,1,618.1,185,15,dijkstra,fallback_skeleton,0.61339,0,,,,,,0,,,,294014,184416,4589
8,3.3008015155792236,2026-03-09T16:49:23.818290,70.0,0.0,7.0,14.0,16.0,0.0,0.0,124.96,8.31,0.36,0.36,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.007,2.511,0.022,1,0.9256,0,NORMAL,20.794,0.149,1,1,1,1,2,125.6,103,10,dijkstra,graph,0.60444,0,,,,,,0,,,,264474,180824,4135
9,3.368802070617676,2026-03-09T16:49:23.886291,0.0,0.0,3.0,15.0,15.0,0.0,0.0,51.0,8.73,0.337,0.36,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.007,2.511,0.022,1,0.9256,0,NORMAL,23.231,0.168,1,1,1,1,1,689.8,108,14,dijkstra,fallback_skeleton,0.60211,0,,,,,,0,,,,273951,180362,4135
10,3.5118026733398438,2026-03-09T16:49:24.029291,69.03,0.0,6.97,16.99,16.0,0.0,0.0,126.0,8.52,0.865,0.36,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",2.968,0.0466,2.949,0.204,1,0.927,0,NORMAL,26.059,0.18,1,1,1,1,1,527.2,136,15,dijkstra,fallback_skeleton,0.60302,0,,,,,,0,,,,254894,180318,4183
11,3.5848031044006348,2026-03-09T16:49:24.102292,1.0,0.0,2.0,20.0,17.0,0.0,0.0,55.0,8.82,0.045,0.337,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",3.7,-0.0387,3.682,-0.264,1,0.927,0,NORMAL,29.053,0.14,1,1,1,1,1,222.6,192,20,dijkstra,fallback_centerline,0.57258,0,,,,,,0,,,,264727,172133,4183
12,3.656810760498047,2026-03-09T16:49:24.174299,1.01,0.0,2.0,20.01,17.0,0.0,0.0,55.01,9.1,-0.502,0.045,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",3.7,-0.0387,3.682,-0.264,1,0.927,0,NORMAL,28.986,0.028,1,1,1,1,2,160.7,195,13,dijkstra,graph,0.56725,0,,,,,,0,,,,264727,170510,4183
13,3.800804615020752,2026-03-09T16:49:24.318293,68.03,1.0,8.0,16.03,17.0,0.0,0.0,127.0,8.89,-0.245,-0.245,STRAIGHT,1.5,1.5,"CMD,-0.2,1.50",4.0,0.0066,2.603,0.022,1,0.8642,0,NORMAL,28.968,-0.064,1,1,1,1,2,130.2,119,8,dijkstra,graph,0.66568,0,,,,,,0,,,,280895,199151,4583
14,3.876840353012085,2026-03-09T16:49:24.394329,1.0,0.0,2.01,15.0,25.04,0.0,0.0,60.04,9.1,-0.073,-0.245,STRAIGHT,1.5,1.5,"CMD,-0.2,1.50",4.0,0.0066,2.603,0.022,1,0.8642,0,NORMAL,31.45,-0.191,1,1,1,1,1,712.6,108,12,dijkstra,fallback_skeleton,0.66287,0,,,,,,0,,,,295136,198750,4583
15,4.020805597305298,2026-03-09T16:49:24.538294,68.0,0.0,7.0,17.0,17.0,0.0,1.0,126.96,8.91,0.05,-0.073,STRAIGHT,1.5,1.5,"CMD,-0.1,1.50",4.0,0.0072,2.466,0.022,1,0.9253,0,NORMAL,33.952,-0.292,1,1,1,1,2,123.3,134,9,dijkstra,graph,0.6787,0,,,,,,0,,,,285720,203142,4866
16,4.168806314468384,2026-03-09T16:49:24.686295,67.99,1.0,7.0,22.0,18.0,0.0,1.0,132.0,8.74,0.132,0.05,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.466,0.022,1,0.9561,0,NORMAL,34.225,-0.301,1,1,1,1,2,123.3,201,10,dijkstra,graph,0.67169,0,,,,,,0,,,,284297,201104,5276
17,4.239806413650513,2026-03-09T16:49:24.757295,1.0,0.0,2.0,19.0,18.0,0.0,0.0,55.0,8.94,0.187,0.132,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.466,0.022,1,0.9561,0,NORMAL,34.236,-0.309,1,1,1,1,1,708.7,167,13,dijkstra,fallback_skeleton,0.67029,0,,,,,,0,,,,305972,200890,5276
18,4.397807598114014,2026-03-09T16:49:24.915296,68.0,0.0,7.0,26.0,19.0,0.0,0.0,140.0,8.74,1.026,0.187,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",2.563,0.0656,2.533,0.212,1,0.9259,0,NORMAL,34.03,-0.355,1,1,1,1,1,565.8,262,12,dijkstra,fallback_skeleton,0.67101,0,,,,,,0,,,,270334,200492,5689
19,4.547808408737183,2026-03-09T16:49:25.065297,69.0,0.0,7.0,22.0,17.0,0.0,0.0,133.0,8.6,1.556,1.026,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",2.67,0.0635,2.643,0.223,1,0.9351,0,NORMAL,34.632,-0.355,1,1,1,1,1,571.0,208,8,dijkstra,fallback_skeleton,0.6493,0,,,,,,0,,,,254822,194416,4916
20,4.6248087882995605,2026-03-09T16:49:25.142297,1.0,0.0,2.0,17.99,17.0,0.0,0.0,59.0,8.75,0.434,1.026,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",3.396,-0.0439,3.375,-0.251,1,0.9351,0,NORMAL,34.982,-0.336,1,1,1,1,1,222.0,169,18,dijkstra,fallback_centerline,0.59926,0,,,,,,0,,,,268237,180027,4916
21,4.691809177398682,2026-03-09T16:49:25.209298,1.0,0.0,2.0,15.0,16.0,0.0,0.0,50.0,8.92,-0.066,0.434,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",3.608,-0.0258,3.584,-0.166,1,0.9351,0,NORMAL,35.624,-0.318,1,1,1,1,1,223.9,133,17,dijkstra,fallback_centerline,0.52333,0,,,,,,0,,,,268237,157313,4916
22,4.760809898376465,2026-03-09T16:49:25.278299,0.99,0.0,2.0,18.0,16.0,0.0,0.0,53.0,9.08,-0.247,-0.066,STRAIGHT,1.5,1.5,"CMD,-0.1,1.50",2.563,-0.0147,2.535,-0.047,1,0.9351,0,NORMAL,36.035,-0.41,1,1,1,1,1,220.6,174,11,dijkstra,fallback_centerline,0.46835,0,,,,,,0,,,,268237,140945,4916
23,4.900810718536377,2026-03-09T16:49:25.418299,68.0,0.0,7.0,16.99,16.0,0.0,0.0,124.0,8.97,-0.506,-0.247,STRAIGHT,1.5,1.5,"CMD,-0.2,1.50",2.767,-0.0249,2.738,-0.093,1,0.8924,0,NORMAL,36.988,-0.435,1,1,1,1,1,223.8,161,17,dijkstra,fallback_centerline,0.52161,0,,,,,,0,,,,262798,156987,3692
24,4.966816425323486,2026-03-09T16:49:25.484305,1.01,0.0,2.0,16.0,16.0,0.0,0.0,50.01,9.13,-0.437,-0.437,STRAIGHT,1.5,1.5,"CMD,-0.4,1.50",2.254,-0.0072,2.21,-0.018,1,0.8924,0,NORMAL,40.33,-0.485,1,1,1,1,1,214.4,130,16,dijkstra,fallback_centerline,0.43921,0,,,,,,0,,,,278520,132436,3692
