frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,approval_confidence,approval_margin,planner_low_confidence,planner_slowdown,selected_template_id,selected_template_family,corridor_confidence,corridor_valid_ratio,corridor_forward_span_m,corridor_width_cv,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.8115599155426025,2026-03-17T14:36:09.190702,2161.13,115.06,11.74,28.3,21.63,0.0,0.0,2352.86,0.0,0.301,0.301,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0219,3.995,0.175,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,2,484.2,117,9,dijkstra,endpoint_arc,0.57717,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,285973,172914,4337
1,3.0885071754455566,2026-03-17T14:36:09.467649,80.46,38.57,12.0,30.24,20.7,0.0,0.12,216.85,3.61,0.814,0.558,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",3.729,0.0447,3.695,0.307,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,549.1,132,10,dijkstra,fallback_skeleton,0.55816,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,275006,167447,4173
2,3.314476728439331,2026-03-17T14:36:09.693618,77.06,36.81,9.85,29.25,24.82,0.0,0.0,201.09,3.98,0.712,0.712,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",4.0,0.0123,1.963,0.024,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,2,98.2,122,9,dijkstra,endpoint_arc,0.56781,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,282699,170256,4091
3,3.555551767349243,2026-03-17T14:36:09.934693,78.94,38.74,9.82,33.12,28.23,0.0,0.0,215.18,4.04,1.112,0.814,STRAIGHT,1.5,1.5,"CMD,0.8,1.50",3.915,0.0463,3.879,0.351,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,556.0,135,10,dijkstra,fallback_skeleton,0.57147,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,283233,171415,4112
4,3.8055810928344727,2026-03-17T14:36:10.184723,77.77,37.45,12.0,42.08,22.92,0.0,0.0,222.01,4.02,1.396,1.112,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",3.87,0.0476,3.832,0.353,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,556.9,129,10,dijkstra,fallback_skeleton,0.55614,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,276198,166739,3952
5,4.033626556396484,2026-03-17T14:36:10.412768,76.9,39.89,10.19,28.54,24.13,0.0,1.0,207.76,4.09,1.591,1.396,STRAIGHT,1.5,1.5,"CMD,1.4,1.50",3.926,0.0481,3.887,0.366,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,560.3,122,10,dijkstra,fallback_skeleton,0.55667,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,279874,166954,3899
6,4.25792670249939,2026-03-17T14:36:10.637068,75.76,35.0,11.0,34.05,22.19,0.0,0.0,200.99,4.15,1.773,1.591,STRAIGHT,1.5,1.5,"CMD,1.6,1.50",3.997,0.0518,3.952,0.409,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,565.6,155,11,dijkstra,fallback_skeleton,0.56705,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,281026,170086,4420
7,4.483321905136108,2026-03-17T14:36:10.862464,74.0,34.03,11.14,35.38,24.01,0.0,0.0,202.1,4.19,1.972,1.773,STRAIGHT,1.5,1.5,"CMD,1.8,1.50",4.0,0.0574,3.948,0.453,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,564.9,159,11,dijkstra,fallback_skeleton,0.56655,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,278841,169846,4247
8,4.736210823059082,2026-03-17T14:36:11.115352,81.7,36.38,14.67,44.0,25.0,0.0,0.0,226.89,4.16,2.168,1.972,STRAIGHT,1.5,1.5,"CMD,2.0,1.50",4.0,0.0621,3.944,0.491,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,570.6,126,10,dijkstra,fallback_skeleton,0.55072,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,269374,165161,4091
9,4.966561317443848,2026-03-17T14:36:11.345703,77.17,36.17,11.0,35.11,22.13,0.0,0.0,208.59,4.18,2.299,2.168,STRAIGHT,1.5,1.5,"CMD,2.2,1.50",4.0,0.0621,3.945,0.491,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,563.5,120,8,dijkstra,fallback_skeleton,0.56008,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,275216,167954,4157
10,5.199627161026001,2026-03-17T14:36:11.578769,76.27,36.86,12.0,32.83,20.04,0.0,0.0,206.8,4.19,2.384,2.299,STRAIGHT,1.5,1.5,"CMD,2.3,1.50",4.0,0.0619,3.946,0.49,1,0.9126,0,NORMAL,24.093,0.198,1,1,1,1,1,558.3,148,9,dijkstra,fallback_skeleton,0.51533,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,254195,154550,3839
11,5.416158676147461,2026-03-17T14:36:11.795300,77.84,37.32,9.28,29.78,17.02,0.0,0.0,196.5,4.22,2.471,2.384,STRAIGHT,1.5,1.5,"CMD,2.4,1.50",4.0,0.0641,3.947,0.508,1,0.9187,0,NORMAL,26.949,0.151,1,1,1,1,1,562.7,135,11,dijkstra,fallback_skeleton,0.52862,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,268445,158522,3830
12,5.6589272022247314,2026-03-17T14:36:12.038069,78.21,35.38,13.0,49.13,23.44,0.0,0.0,221.91,4.22,2.526,2.471,STRAIGHT,1.5,1.5,"CMD,2.5,1.50",4.0,0.0639,3.946,0.506,1,0.9053,0,NORMAL,27.608,-0.033,1,1,1,1,1,579.0,194,11,dijkstra,fallback_skeleton,0.60382,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0,,,,,,0,,,,290871,181246,4810
