frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.3389081954956055,2026-03-05T17:37:26.598786,2036.93,0.0,5.0,10.0,0.0,0.0,0.0,2085.93,0.0,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0,0,0,0.0,11,5,0,,,,,,0,,,,1034145,111231,2052
1,2.425908088684082,2026-03-05T17:37:26.685786,2.0,0.0,3.0,0.0,0.0,0.0,0.0,46.0,11.36,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.259,0.013,0,0,0,0,0,0.0,0,0,0,,,,,,0,,,,1036020,110031,0
2,2.4939191341400146,2026-03-05T17:37:26.753797,2.01,0.0,2.0,0.0,0.0,0.0,0.0,42.01,12.82,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.215,0.029,0,0,0,0,0,0.0,0,0,0,,,,,,0,,,,1036020,109431,0
3,2.56091046333313,2026-03-05T17:37:26.820788,2.0,0.0,2.0,0.0,0.0,0.0,0.0,41.97,13.51,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.472,0.047,0,0,0,0,0,0.0,0,0,0,,,,,,0,,,,1036020,108831,0
4,2.7349112033843994,2026-03-05T17:37:26.994789,91.04,0.0,6.0,10.98,0.0,0.0,0.0,148.0,10.08,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.8578,0,NORMAL,0.305,0.064,0,0,0,0,0,0.0,11,5,0,,,,,,0,,,,901731,113806,2085
5,2.8079123497009277,2026-03-05T17:37:27.067790,2.0,0.0,2.0,0.0,0.0,0.0,1.0,47.0,10.64,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.8578,0,NORMAL,0.783,0.098,0,0,0,0,0,0.0,0,0,0,,,,,,0,,,,903031,112662,0
6,2.873922348022461,2026-03-05T17:37:27.133800,2.01,0.0,3.0,0.0,0.0,0.0,0.0,42.01,11.19,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.8578,0,NORMAL,0.899,0.112,0,0,0,0,0,0.0,0,0,0,,,,,,0,,,,903031,112056,0
7,2.9409399032592773,2026-03-05T17:37:27.200817,1.04,0.0,3.99,0.0,0.0,0.0,0.0,42.99,11.61,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.8578,0,NORMAL,1.158,0.116,0,0,0,0,0,0.0,0,0,0,,,,,,0,,,,903031,111418,0
8,3.113919258117676,2026-03-05T17:37:27.373797,84.04,0.0,5.97,18.0,0.0,0.0,0.0,147.98,10.31,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9621,0,NORMAL,1.447,0.144,0,0,0,0,0,0.0,114,9,0,,,,,,0,,,,915629,130734,2975
9,3.1809163093566895,2026-03-05T17:37:27.440794,2.0,0.0,3.0,0.0,0.0,0.0,0.0,41.97,10.68,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9621,0,NORMAL,1.797,0.173,0,0,0,0,0,0.0,0,0,0,,,,,,0,,,,916930,129551,0
