frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.308154582977295,2026-03-05T17:48:26.288987,2018.14,0.0,5.0,10.03,4.0,0.0,0.0,2069.11,0.0,5.831,5.831,STRAIGHT,1.5,1.5,"CMD,5.8,1.50",2.174,0.4378,1.233,4.207,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,223.4,11,5,0,,,,,,0,,,,1034145,111231,2052
1,2.4881463050842285,2026-03-05T17:48:26.468979,86.03,0.0,5.01,9.03,5.01,0.0,0.0,148.0,5.59,9.886,7.859,STRAIGHT,1.5,1.5,"CMD,7.9,1.50",1.76,0.4512,1.317,3.999,1,0.9616,0,NORMAL,0.259,0.013,1,1,1,1,1,224.0,11,5,0,,,,,,0,,,,1068855,112304,2107
2,2.6601474285125732,2026-03-05T17:48:26.640980,83.03,0.0,6.0,10.03,4.0,0.0,0.0,140.0,5.68,12.522,9.886,STRAIGHT,1.5,1.5,"CMD,9.9,1.50",1.671,0.4458,1.285,4.082,1,0.9675,0,NORMAL,0.215,0.029,1,1,1,1,1,222.2,11,5,0,,,,,,0,,,,1050381,115205,2117
3,2.8291492462158203,2026-03-05T17:48:26.809982,82.04,0.0,5.0,10.0,5.0,0.0,0.0,138.0,5.77,14.28,12.522,RIGHT,1.487,1.497,"CMD,12.5,1.50",1.671,0.4458,1.285,4.082,1,0.9622,0,NORMAL,0.472,0.047,1,1,1,1,1,224.6,11,5,0,,,,,,0,,,,1047160,116330,2117
4,2.997152805328369,2026-03-05T17:48:26.977985,81.99,0.0,5.01,9.03,4.0,0.0,0.0,139.0,5.81,15.45,14.28,RIGHT,1.443,1.486,"CMD,14.3,1.49",1.669,0.4457,1.285,4.084,1,0.8602,0,NORMAL,0.305,0.064,1,1,1,1,1,223.4,11,5,0,,,,,,0,,,,901731,113806,2085
5,3.066150426864624,2026-03-05T17:48:27.046983,1.04,0.0,3.0,0.0,0.0,0.0,0.0,38.86,6.6,16.225,15.45,RIGHT,1.414,1.474,"CMD,15.4,1.47",1.663,0.4453,1.282,4.09,1,0.8602,0,NORMAL,0.783,0.098,1,1,1,1,1,213.4,0,0,0,,,,,,0,,,,903031,102959,0
6,3.2351505756378174,2026-03-05T17:48:27.215983,86.03,0.0,6.0,11.03,5.0,0.0,0.0,146.0,6.47,16.739,16.225,RIGHT,1.394,1.463,"CMD,16.2,1.46",1.658,0.445,1.28,4.094,1,0.9642,0,NORMAL,0.899,0.112,1,1,1,1,1,224.1,19,6,0,,,,,,0,,,,931874,128657,2344
7,3.303152084350586,2026-03-05T17:48:27.283985,2.03,0.0,3.0,0.0,0.0,0.0,0.0,41.0,7.04,17.079,16.739,RIGHT,1.382,1.452,"CMD,16.7,1.45",1.656,0.4449,1.279,4.096,1,0.9642,0,NORMAL,1.158,0.116,1,1,1,1,1,214.1,0,0,0,,,,,,0,,,,933704,91205,0
8,3.3651463985443115,2026-03-05T17:48:27.345979,2.03,0.0,2.0,0.0,0.0,0.0,0.0,38.99,7.57,17.305,17.079,RIGHT,1.373,1.437,"CMD,17.1,1.44",1.654,0.4447,1.279,4.098,1,0.9642,0,NORMAL,1.447,0.144,1,1,1,1,1,214.1,0,0,0,,,,,,0,,,,933704,82555,0
9,3.4281487464904785,2026-03-05T17:48:27.408981,1.03,0.0,3.0,0.0,0.0,0.0,0.0,39.99,8.04,17.454,17.305,RIGHT,1.367,1.42,"CMD,17.3,1.42",1.652,0.4447,1.278,4.099,1,0.9642,0,NORMAL,1.797,0.173,1,1,1,1,1,214.1,0,0,0,,,,,,0,,,,933704,78821,0
