frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.3107054233551025,2026-03-05T17:56:08.068027,2020.05,0.0,5.0,9.03,5.0,0.0,0.0,2069.04,0.0,-4.914,-4.914,STRAIGHT,1.5,1.5,"CMD,-4.9,1.50",1.944,-0.3655,1.337,-0.349,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,97.0,11,5,0,,,,,,0,,,,1034145,111231,2052
1,2.4877126216888428,2026-03-05T17:56:08.245034,85.03,0.0,6.0,9.03,5.01,0.0,0.0,146.0,5.65,-11.652,-8.283,STRAIGHT,1.5,1.5,"CMD,-8.3,1.50",1.687,-0.6514,1.128,-0.494,1,0.9616,0,NORMAL,0.259,0.013,1,1,1,1,1,222.1,11,5,0,,,,,,0,,,,1068855,112304,2107
2,2.559711217880249,2026-03-05T17:56:08.317033,1.04,0.0,3.0,0.0,0.0,0.0,0.0,38.99,8.03,-17.768,-11.652,STRAIGHT,1.5,1.5,"CMD,-11.7,1.50",1.536,-0.8347,0.979,-0.508,1,0.9616,0,NORMAL,0.215,0.029,1,1,1,1,1,217.1,0,0,0,,,,,,0,,,,1070054,104504,0
3,2.6287105083465576,2026-03-05T17:56:08.386032,2.03,0.0,2.0,0.0,0.0,0.0,0.0,40.0,9.46,-21.845,-17.768,LEFT,1.356,1.464,"CMD,-17.8,1.46",1.457,-0.9288,0.902,-0.489,1,0.9616,0,NORMAL,0.472,0.047,1,1,1,1,1,217.1,0,0,0,,,,,,0,,,,1070054,95794,0
4,2.6967098712921143,2026-03-05T17:56:08.454031,2.03,0.0,3.0,0.0,0.0,0.0,0.0,39.0,10.36,-24.563,-21.845,LEFT,1.254,1.422,"CMD,-21.8,1.42",1.398,-0.995,0.848,-0.466,1,0.9616,0,NORMAL,0.305,0.064,1,1,1,1,1,217.1,0,0,0,,,,,,0,,,,1070054,91594,0
5,2.876711845397949,2026-03-05T17:56:08.634034,83.04,0.0,5.99,11.0,5.0,0.0,0.0,142.85,8.83,-26.376,-24.563,LEFT,1.186,1.383,"CMD,-24.6,1.38",1.361,-1.0357,0.815,-0.448,1,0.8274,0,NORMAL,0.783,0.098,1,1,1,1,1,224.7,23,5,0,,,,,,0,,,,921883,127953,2378
6,2.9417130947113037,2026-03-05T17:56:08.699035,1.02,0.0,3.0,0.0,0.0,0.0,0.0,40.0,9.51,-27.584,-26.376,LEFT,1.141,1.348,"CMD,-26.4,1.35",1.345,-1.0523,0.802,-0.44,1,0.8274,0,NORMAL,0.899,0.112,1,1,1,1,1,219.7,0,0,0,,,,,,0,,,,923327,113151,0
7,3.003713607788086,2026-03-05T17:56:08.761035,2.03,0.0,2.0,0.0,0.0,0.0,0.0,39.0,10.1,-28.389,-27.584,LEFT,1.11,1.318,"CMD,-27.6,1.32",1.343,-1.0547,0.8,-0.439,1,0.8274,0,NORMAL,1.158,0.116,1,1,1,1,1,219.7,0,0,0,,,,,,0,,,,923327,111032,0
8,3.065706729888916,2026-03-05T17:56:08.823028,1.03,0.0,3.0,0.0,0.0,0.0,0.0,38.99,10.6,-28.926,-28.389,LEFT,1.09,1.267,"CMD,-28.4,1.27",1.341,-1.0563,0.799,-0.438,1,0.8274,0,NORMAL,1.447,0.144,1,1,1,1,1,219.7,0,0,0,,,,,,0,,,,923327,104152,0
9,3.2287116050720215,2026-03-05T17:56:08.986033,82.02,0.0,5.0,10.03,4.0,0.0,0.0,139.0,9.8,-29.284,-28.926,LEFT,1.077,1.214,"CMD,-28.9,1.21",1.34,-1.0574,0.798,-0.438,1,0.9527,0,NORMAL,1.797,0.173,1,1,1,1,1,224.3,11,5,0,,,,,,0,,,,879791,114755,1990
10,3.406684637069702,2026-03-05T17:56:09.164006,84.0,0.0,5.0,16.0,4.0,0.0,0.0,153.97,9.12,-29.523,-29.284,LEFT,1.068,1.16,"CMD,-29.3,1.16",1.339,-1.0581,0.797,-0.437,1,0.9814,0,NORMAL,2.359,0.204,1,1,1,1,1,223.4,92,8,0,,,,,,0,,,,890515,125897,2903
