frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.338832139968872,2026-03-05T18:03:16.078801,2038.86,0.0,5.0,10.03,4.0,0.0,0.0,2089.86,0.0,7.43,7.43,STRAIGHT,1.5,1.5,"CMD,7.4,1.50",2.174,0.5693,1.233,3.007,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,223.4,11,5,0,,,,,,0,,,,1034145,111231,2052
1,2.5248374938964844,2026-03-05T18:03:16.264807,84.04,0.0,6.0,9.03,4.0,0.0,0.0,145.0,5.38,12.599,10.014,STRAIGHT,1.5,1.5,"CMD,10.0,1.50",2.357,0.5877,1.274,2.829,1,0.9616,0,NORMAL,0.259,0.013,1,1,1,1,1,224.0,11,5,0,,,,,,0,,,,1068855,112304,2107
2,2.6968376636505127,2026-03-05T18:03:16.436807,83.04,0.0,5.99,10.03,4.0,0.0,0.0,140.0,5.59,16.044,12.599,RIGHT,1.485,1.495,"CMD,12.6,1.50",2.357,0.5877,1.274,2.829,1,0.9675,0,NORMAL,0.215,0.029,1,1,1,1,1,223.9,11,5,0,,,,,,0,,,,1050381,115205,2117
3,2.8668441772460938,2026-03-05T18:03:16.606813,83.01,0.0,4.99,10.03,4.0,0.0,1.0,141.0,5.68,18.335,16.044,RIGHT,1.399,1.471,"CMD,16.0,1.47",2.352,0.5872,1.273,2.835,1,0.9622,0,NORMAL,0.472,0.047,1,1,1,1,1,223.9,11,5,0,,,,,,0,,,,1047160,116330,2117
4,3.035844326019287,2026-03-05T18:03:16.775814,82.03,0.0,5.0,9.03,5.0,0.0,0.0,138.0,5.75,19.825,18.335,RIGHT,1.342,1.445,"CMD,18.3,1.45",2.32,0.584,1.266,2.866,1,0.8602,0,NORMAL,0.305,0.064,1,1,1,1,1,223.9,11,5,0,,,,,,0,,,,901731,113806,2085
5,3.201864004135132,2026-03-05T18:03:16.941833,82.03,0.0,6.0,11.03,5.02,0.0,0.0,142.02,5.79,20.793,19.825,RIGHT,1.304,1.422,"CMD,19.8,1.42",2.299,0.5818,1.261,2.886,1,0.9753,0,NORMAL,0.783,0.098,1,1,1,1,1,223.9,23,5,0,,,,,,0,,,,921883,127953,2378
6,3.3718507289886475,2026-03-05T18:03:17.111820,86.04,0.0,5.01,10.03,5.0,0.0,0.0,145.0,5.81,21.423,20.793,RIGHT,1.28,1.401,"CMD,20.8,1.40",2.286,0.5805,1.258,2.899,1,0.9835,0,NORMAL,0.899,0.112,1,1,1,1,1,223.9,19,6,0,,,,,,0,,,,931874,128657,2344
7,3.536855459213257,2026-03-05T18:03:17.276825,82.04,0.0,6.0,11.03,5.0,0.0,0.0,140.0,5.85,21.832,21.423,RIGHT,1.264,1.384,"CMD,21.4,1.38",2.277,0.5796,1.256,2.908,1,0.9709,0,NORMAL,1.158,0.116,1,1,1,1,1,223.9,27,6,0,,,,,,0,,,,948517,126856,2416
8,3.7098569869995117,2026-03-05T18:03:17.449826,81.0,0.0,6.0,17.03,5.0,0.0,0.0,147.0,5.84,22.098,21.832,RIGHT,1.254,1.354,"CMD,21.8,1.35",2.271,0.579,1.255,2.913,1,0.9579,0,NORMAL,1.447,0.144,1,1,1,1,1,223.9,114,9,0,,,,,,0,,,,915629,130734,2975
9,3.8718690872192383,2026-03-05T18:03:17.611838,83.04,0.0,5.0,9.04,3.99,0.0,0.0,138.01,5.87,22.271,22.098,RIGHT,1.248,1.322,"CMD,22.1,1.32",2.267,0.5786,1.254,2.917,1,0.9601,0,NORMAL,1.797,0.173,1,1,1,1,1,223.9,11,5,0,,,,,,0,,,,879791,114755,1990
