frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.287062883377075,2026-03-05T18:20:16.129383,2024.08,0.0,5.03,16.04,0.99,0.0,0.0,2064.07,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,123.3,128,12,0,,,,,,0,,,,285973,188447,4565
1,2.3270647525787354,2026-03-05T18:20:16.169385,1.0,0.0,3.03,0.0,0.0,0.0,0.0,21.0,25.0,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,113.3,0,0,0,,,,,,0,,,,305345,188020,0
2,2.360065221786499,2026-03-05T18:20:16.202385,0.0,0.0,3.03,0.0,0.0,0.0,0.0,17.0,27.4,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,108.3,0,0,0,,,,,,0,,,,305345,186802,0
3,2.3930652141571045,2026-03-05T18:20:16.235385,1.0,0.0,3.03,0.0,0.0,0.0,0.0,18.0,28.3,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,108.3,0,0,0,,,,,,0,,,,305345,185323,0
4,2.514117956161499,2026-03-05T18:20:16.356438,68.03,0.0,4.97,15.03,1.0,0.0,1.03,107.05,17.62,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,123.3,116,11,0,,,,,,0,,,,276198,183500,4302
5,2.5461180210113525,2026-03-05T18:20:16.388438,1.03,0.0,2.0,0.0,0.0,0.0,0.0,16.0,19.38,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,118.3,0,0,0,,,,,,0,,,,283311,183268,0
6,2.5771212577819824,2026-03-05T18:20:16.419441,0.0,0.0,3.03,0.0,0.0,0.0,0.0,17.0,20.69,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,113.3,0,0,0,,,,,,0,,,,283311,182806,0
7,2.6081225872039795,2026-03-05T18:20:16.450443,0.0,0.0,3.03,0.0,0.0,0.0,0.0,17.0,21.8,0.287,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,113.3,0,0,0,,,,,,0,,,,283311,182162,0
8,2.7271230220794678,2026-03-05T18:20:16.569443,67.02,0.0,6.01,16.03,0.0,0.0,0.0,105.0,18.18,0.291,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,123.3,124,11,0,,,,,,0,,,,269374,182401,4338
9,2.7661221027374268,2026-03-05T18:20:16.608442,0.0,0.0,3.03,0.0,0.0,0.0,0.0,16.03,18.79,0.294,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,118.3,0,0,0,,,,,,0,,,,279525,182145,0
10,2.7971243858337402,2026-03-05T18:20:16.639445,1.04,0.0,1.96,0.0,0.0,0.0,0.0,17.0,19.61,0.295,0.294,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,24.093,0.198,1,1,1,1,1,113.3,0,0,0,,,,,,0,,,,279525,181707,0
