frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.313908576965332,2026-03-05T22:50:15.227022,2048.32,0.0,0.0,15.65,0.0,0.0,0.0,2095.19,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,123.3,128,12,0,,,,,,0,,,,285973,188447,4565
1,2.376396656036377,2026-03-05T22:50:15.289510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.64,16.0,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,113.3,0,0,0,,,,,,0,,,,305345,188020,0
2,2.4232561588287354,2026-03-05T22:50:15.336370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,18.29,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,108.3,0,0,0,,,,,,0,,,,305345,186556,0
3,2.454535961151123,2026-03-05T22:50:15.367650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.64,21.33,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,103.3,0,0,0,,,,,,0,,,,305345,184098,0
4,2.580842971801758,2026-03-05T22:50:15.493957,79.46,0.0,0.0,15.6,0.0,0.0,0.0,110.68,14.98,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,123.3,116,11,0,,,,,,0,,,,276198,183500,4302
5,2.627718448638916,2026-03-05T22:50:15.540832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,15.93,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,118.3,0,0,0,,,,,,0,,,,283311,183338,0
6,2.6589975357055664,2026-03-05T22:50:15.572111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,17.39,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,113.3,0,0,0,,,,,,0,,,,283311,182757,0
7,2.6902222633361816,2026-03-05T22:50:15.603336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,18.6,0.287,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,108.3,0,0,0,,,,,,0,,,,283311,181343,0
8,2.815244436264038,2026-03-05T22:50:15.728358,62.5,0.0,15.63,15.62,0.0,0.0,0.0,109.37,15.96,0.291,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,123.3,124,11,0,,,,,,0,,,,269374,182401,4338
9,2.8465068340301514,2026-03-05T22:50:15.759620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63,16.9,0.294,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,118.3,0,0,0,,,,,,0,,,,279525,182112,0
