frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.3184237480163574,2026-03-05T22:52:10.129666,2052.85,0.0,0.0,15.6,0.0,0.0,0.0,2099.7,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,123.3,128,12,0,,,,,,0,,,,285973,188447,4565
1,2.4903006553649902,2026-03-05T22:52:10.301543,78.15,0.0,0.0,15.6,0.0,0.0,0.0,109.36,5.82,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,123.3,121,9,0,,,,,,0,,,,275006,184697,4381
2,2.6165969371795654,2026-03-05T22:52:10.427840,78.16,0.0,0.0,16.88,0.0,0.0,0.0,110.64,6.71,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,123.3,120,11,0,,,,,,0,,,,282699,186756,4225
3,2.757256507873535,2026-03-05T22:52:10.568499,62.52,0.0,0.0,15.6,15.65,0.0,0.0,109.37,6.84,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,123.3,125,10,0,,,,,,0,,,,283233,187574,4370
4,2.8666040897369385,2026-03-05T22:52:10.677847,78.15,0.0,0.0,15.6,0.0,0.0,0.0,93.75,7.3,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,123.3,116,11,0,,,,,,0,,,,276198,183500,4302
5,2.991633176803589,2026-03-05T22:52:10.802876,78.12,0.0,0.0,15.62,0.0,0.0,0.0,109.38,7.43,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,123.3,116,9,0,,,,,,0,,,,279874,183900,4313
6,3.116633653640747,2026-03-05T22:52:10.927876,62.49,0.0,15.6,15.65,0.0,0.0,0.0,109.37,7.52,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,123.3,124,10,0,,,,,,0,,,,281026,186567,4559
7,3.243114948272705,2026-03-05T22:52:11.054357,63.98,0.0,15.63,15.62,0.0,0.0,0.0,110.85,7.57,0.291,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0075,2.466,0.023,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,121.0,123,10,0,,,,,,0,,,,278841,186314,4260
8,3.3681180477142334,2026-03-05T22:52:11.179360,62.5,0.0,15.63,15.62,0.0,0.0,0.0,109.41,7.62,0.293,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,123.3,124,11,0,,,,,,0,,,,269374,182401,4338
9,3.493117570877075,2026-03-05T22:52:11.304360,62.5,0.0,15.63,15.63,0.0,0.0,0.0,109.37,7.66,0.295,0.293,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,123.3,105,8,0,,,,,,0,,,,275216,184870,4399
