frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.3404037952423096,2026-03-05T18:09:43.404573,2044.4,0.0,5.0,9.04,5.0,0.0,1.0,2094.39,0.0,1.596,1.596,STRAIGHT,1.5,1.5,"CMD,1.6,1.50",1.944,0.1163,1.568,0.144,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,89.4,11,5,0,,,,,,0,,,,1034145,111231,2052
1,2.527409791946411,2026-03-05T18:09:43.591579,85.03,0.0,5.0,10.03,4.0,0.0,0.0,146.0,5.35,3.603,2.6,STRAIGHT,1.5,1.5,"CMD,2.6,1.50",4.0,0.1857,1.622,0.25,1,0.9616,0,NORMAL,0.259,0.013,1,1,1,1,1,121.0,11,5,0,,,,,,0,,,,1068855,112304,2107
2,2.6004092693328857,2026-03-05T18:09:43.664578,2.04,0.0,2.0,0.0,0.0,0.0,0.0,42.0,7.69,4.941,3.603,STRAIGHT,1.5,1.5,"CMD,3.6,1.50",4.0,0.1857,1.622,0.25,1,0.9616,0,NORMAL,0.215,0.029,1,1,1,1,1,106.0,0,0,0,,,,,,0,,,,1070054,101141,0
3,2.6694114208221436,2026-03-05T18:09:43.733580,1.03,0.0,3.0,0.0,0.0,0.0,0.0,39.0,9.12,5.833,4.941,STRAIGHT,1.5,1.5,"CMD,4.9,1.50",4.0,0.1857,1.622,0.25,1,0.9616,0,NORMAL,0.472,0.047,1,1,1,1,1,96.0,0,0,0,,,,,,0,,,,1070054,92666,0
4,2.7364094257354736,2026-03-05T18:09:43.800578,2.03,0.0,2.0,0.0,0.0,0.0,0.0,39.0,10.1,6.427,5.833,STRAIGHT,1.5,1.5,"CMD,5.8,1.50",4.0,0.1857,1.622,0.25,1,0.9616,0,NORMAL,0.305,0.064,1,1,1,1,1,86.0,0,0,0,,,,,,0,,,,1070054,85601,0
5,2.907414674758911,2026-03-05T18:09:43.971584,83.04,0.0,6.0,11.03,5.0,0.0,0.0,142.0,8.82,6.824,6.427,STRAIGHT,1.5,1.5,"CMD,6.4,1.50",4.0,0.1857,1.622,0.25,1,0.8274,0,NORMAL,0.783,0.098,1,1,1,1,1,213.4,23,5,0,,,,,,0,,,,921883,127953,2378
6,2.9704153537750244,2026-03-05T18:09:44.034584,2.04,0.0,2.0,0.0,0.0,0.0,0.0,39.0,9.52,7.088,6.824,STRAIGHT,1.5,1.5,"CMD,6.8,1.50",4.0,0.1857,1.622,0.25,1,0.8274,0,NORMAL,0.899,0.112,1,1,1,1,1,203.4,0,0,0,,,,,,0,,,,923327,109317,0
7,3.136418581008911,2026-03-05T18:09:44.200588,82.04,0.0,6.0,11.03,4.0,0.0,0.0,142.0,8.79,7.264,7.088,STRAIGHT,1.5,1.5,"CMD,7.1,1.50",4.0,0.1857,1.622,0.25,1,0.9624,0,NORMAL,1.158,0.116,1,1,1,1,1,220.5,27,6,0,,,,,,0,,,,948517,126856,2416
8,3.201416015625,2026-03-05T18:09:44.265585,1.0,0.0,3.0,0.0,0.0,0.0,0.0,40.0,9.29,7.382,7.264,STRAIGHT,1.5,1.5,"CMD,7.3,1.50",4.0,0.1857,1.622,0.25,1,0.9624,0,NORMAL,1.447,0.144,1,1,1,1,1,210.5,0,0,0,,,,,,0,,,,950023,109660,0
9,3.3714218139648438,2026-03-05T18:09:44.435591,88.03,0.0,5.0,10.04,4.0,0.0,0.0,146.0,8.74,7.46,7.382,STRAIGHT,1.5,1.5,"CMD,7.4,1.50",4.0,0.1857,1.622,0.25,1,0.9266,0,NORMAL,1.797,0.173,1,1,1,1,1,219.1,11,5,0,,,,,,0,,,,879791,114755,1990
10,3.43641996383667,2026-03-05T18:09:44.500589,2.04,0.0,2.0,0.0,0.0,0.0,0.0,40.0,9.12,7.512,7.46,STRAIGHT,1.5,1.5,"CMD,7.5,1.50",4.0,0.1857,1.622,0.25,1,0.9266,0,NORMAL,2.359,0.204,1,1,1,1,1,209.1,0,0,0,,,,,,0,,,,881005,97513,0
11,3.603423833847046,2026-03-05T18:09:44.667593,84.03,0.0,6.0,11.03,5.0,0.0,0.0,144.0,8.71,4.219,7.46,STRAIGHT,1.5,1.5,"CMD,7.5,1.50",2.971,-0.0575,2.945,-0.251,1,0.974,0,NORMAL,2.589,0.229,1,1,1,1,1,216.3,25,6,0,,,,,,0,,,,896866,123485,2420
12,3.668423652648926,2026-03-05T18:09:44.732593,3.03,0.0,2.0,0.0,0.0,0.0,1.0,40.0,9.04,2.023,4.219,STRAIGHT,1.5,1.5,"CMD,4.2,1.50",2.971,-0.0575,2.945,-0.251,1,0.974,0,NORMAL,5.697,0.336,1,1,1,1,1,206.3,0,0,0,,,,,,0,,,,898311,105301,0
13,3.8304269313812256,2026-03-05T18:09:44.894596,82.03,0.0,6.0,9.03,4.0,0.0,0.0,139.0,8.72,0.617,2.023,STRAIGHT,1.5,1.5,"CMD,2.0,1.50",3.022,-0.0532,3.004,-0.242,1,0.9851,0,NORMAL,6.265,0.353,1,1,1,1,1,219.6,6,3,0,,,,,,0,,,,902280,120249,1721
