frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.3480160236358643,2026-03-05T22:48:50.472366,2051.2,0.0,0.0,15.59,0.0,0.0,0.0,2098.04,0.0,1.596,1.596,STRAIGHT,1.5,1.5,"CMD,1.6,1.50",1.944,0.1163,1.568,0.144,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,89.4,11,5,0,,,,,,0,,,,1034145,111231,2052
1,2.5824241638183594,2026-03-05T22:48:50.706774,78.16,0.0,15.59,0.0,15.66,0.0,0.0,156.27,4.27,3.603,2.6,STRAIGHT,1.5,1.5,"CMD,2.6,1.50",4.0,0.1857,1.622,0.25,1,0.9616,0,NORMAL,0.259,0.013,1,1,1,1,1,121.0,11,5,0,,,,,,0,,,,1068855,112304,2107
2,2.6463329792022705,2026-03-05T22:48:50.770683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.29,6.7,4.941,3.603,STRAIGHT,1.5,1.5,"CMD,3.6,1.50",4.0,0.1857,1.622,0.25,1,0.9616,0,NORMAL,0.215,0.029,1,1,1,1,1,101.0,0,0,0,,,,,,0,,,,1070054,98801,0
3,2.724429130554199,2026-03-05T22:48:50.848779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.85,7.97,5.833,4.941,STRAIGHT,1.5,1.5,"CMD,4.9,1.50",4.0,0.1857,1.622,0.25,1,0.9616,0,NORMAL,0.472,0.047,1,1,1,1,1,91.0,0,0,0,,,,,,0,,,,1070054,89816,0
4,2.8025546073913574,2026-03-05T22:48:50.926904,0.0,0.0,15.59,0.0,0.0,0.0,0.0,46.87,8.8,6.427,5.833,STRAIGHT,1.5,1.5,"CMD,5.8,1.50",4.0,0.1857,1.622,0.25,1,0.9616,0,NORMAL,0.305,0.064,1,1,1,1,1,81.0,0,0,0,,,,,,0,,,,1070054,82271,0
5,2.9900550842285156,2026-03-05T22:48:51.114405,93.78,0.0,0.0,15.59,0.0,0.0,0.0,156.22,7.79,6.824,6.427,STRAIGHT,1.5,1.5,"CMD,6.4,1.50",4.0,0.1857,1.622,0.25,1,0.8274,0,NORMAL,0.783,0.098,1,1,1,1,1,213.4,23,5,0,,,,,,0,,,,921883,127953,2378
6,3.052583932876587,2026-03-05T22:48:51.176933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.28,8.52,7.088,6.824,STRAIGHT,1.5,1.5,"CMD,6.8,1.50",4.0,0.1857,1.622,0.25,1,0.8274,0,NORMAL,0.899,0.112,1,1,1,1,1,203.4,0,0,0,,,,,,0,,,,923327,109260,0
7,3.225736379623413,2026-03-05T22:48:51.350086,93.78,0.0,0.0,16.89,0.0,0.0,0.0,141.9,7.98,7.264,7.088,STRAIGHT,1.5,1.5,"CMD,7.1,1.50",4.0,0.1857,1.622,0.25,1,0.9624,0,NORMAL,1.158,0.116,1,1,1,1,1,220.5,27,6,0,,,,,,0,,,,948517,126856,2416
8,3.288276195526123,2026-03-05T22:48:51.412626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,8.51,7.382,7.264,STRAIGHT,1.5,1.5,"CMD,7.3,1.50",4.0,0.1857,1.622,0.25,1,0.9624,0,NORMAL,1.447,0.144,1,1,1,1,1,210.5,0,0,0,,,,,,0,,,,950023,109606,0
9,3.4601476192474365,2026-03-05T22:48:51.584497,93.75,0.0,0.0,15.62,0.0,0.0,0.0,140.65,8.09,7.46,7.382,STRAIGHT,1.5,1.5,"CMD,7.4,1.50",4.0,0.1857,1.622,0.25,1,0.9266,0,NORMAL,1.797,0.173,1,1,1,1,1,219.1,11,5,0,,,,,,0,,,,879791,114755,1990
