frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.3293702602386475,2026-03-05T18:23:55.434994,2032.4,0.0,5.0,9.01,5.0,0.0,0.0,2081.36,0.0,1.353,1.353,STRAIGHT,1.5,1.5,"CMD,1.4,1.50",4.0,0.0986,1.568,0.122,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,89.4,11,5,0,,,,,,0,,,,1034145,111231,2052
1,2.406399965286255,2026-03-05T18:23:55.512023,2.04,0.0,2.02,0.0,0.0,0.0,0.0,45.0,12.98,2.256,1.805,STRAIGHT,1.5,1.5,"CMD,1.8,1.50",4.0,0.0986,1.568,0.122,1,1.0,0,NORMAL,0.259,0.013,1,1,1,1,1,79.4,0,0,0,,,,,,0,,,,1036020,100446,0
2,2.4723916053771973,2026-03-05T18:23:55.578015,2.03,0.0,2.99,0.0,0.0,0.0,0.0,40.03,13.98,2.857,2.256,STRAIGHT,1.5,1.5,"CMD,2.3,1.50",4.0,0.0986,1.568,0.122,1,1.0,0,NORMAL,0.215,0.029,1,1,1,1,1,74.4,0,0,0,,,,,,0,,,,1036020,91978,0
3,2.5373668670654297,2026-03-05T18:23:55.642990,2.0,0.0,2.0,0.0,0.0,0.0,0.0,40.0,14.49,3.258,2.857,STRAIGHT,1.5,1.5,"CMD,2.9,1.50",4.0,0.0986,1.568,0.122,1,1.0,0,NORMAL,0.472,0.047,1,1,1,1,1,69.4,0,0,0,,,,,,0,,,,1036020,84382,0
4,2.7033755779266357,2026-03-05T18:23:55.808999,85.01,0.0,5.0,9.01,4.0,0.0,0.0,142.01,10.7,1.286,2.857,STRAIGHT,1.5,1.5,"CMD,2.9,1.50",4.0,-0.0645,2.774,-0.25,1,0.8578,0,NORMAL,0.305,0.064,1,1,1,1,1,152.4,11,5,0,,,,,,0,,,,901731,113806,2085
5,2.767401933670044,2026-03-05T18:23:55.873025,2.03,0.0,2.0,0.0,0.0,0.0,0.0,37.96,11.44,-0.028,1.286,STRAIGHT,1.5,1.5,"CMD,1.3,1.50",4.0,-0.0645,2.774,-0.25,1,0.8578,0,NORMAL,0.783,0.098,1,1,1,1,1,142.4,0,0,0,,,,,,0,,,,903031,101553,0
6,2.828401565551758,2026-03-05T18:23:55.934025,2.04,0.0,2.0,0.0,0.0,0.0,0.0,38.03,12.05,-0.905,-0.028,STRAIGHT,1.5,1.5,"CMD,-0.0,1.50",4.0,-0.0645,2.774,-0.25,1,0.8578,0,NORMAL,0.899,0.112,1,1,1,1,1,137.4,0,0,0,,,,,,0,,,,903031,90871,0
7,2.890399217605591,2026-03-05T18:23:55.996023,2.03,0.0,2.0,0.0,0.0,0.0,0.0,38.99,12.5,-1.489,-0.905,STRAIGHT,1.5,1.5,"CMD,-0.9,1.50",4.0,-0.0645,2.774,-0.25,1,0.8578,0,NORMAL,1.158,0.116,1,1,1,1,1,132.4,0,0,0,,,,,,0,,,,903031,81325,0
8,3.0603787899017334,2026-03-05T18:23:56.166002,83.0,0.0,5.0,17.0,5.0,0.0,0.0,148.01,10.94,-1.421,-1.421,STRAIGHT,1.5,1.5,"CMD,-1.4,1.50",4.0,-0.0312,3.998,-0.25,1,0.9621,0,NORMAL,1.447,0.144,1,1,1,1,1,214.1,114,9,0,,,,,,0,,,,915629,130734,2975
9,3.1253747940063477,2026-03-05T18:23:56.230998,2.0,0.0,2.0,0.0,0.0,0.0,0.0,40.97,11.31,-1.376,-1.421,STRAIGHT,1.5,1.5,"CMD,-1.4,1.50",4.0,-0.0312,3.998,-0.25,1,0.9621,0,NORMAL,1.797,0.173,1,1,1,1,1,204.1,0,0,0,,,,,,0,,,,916930,125917,0
