frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.3172802925109863,2026-03-05T22:56:00.647825,2051.68,0.0,15.62,15.62,0.0,0.0,0.0,2098.55,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,0,,,,,,0,,,,285973,188320,4543
1,2.3797764778137207,2026-03-05T22:56:00.710321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,16.0,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,115.6,0,0,0,,,,,,0,,,,305345,188005,0
2,2.426638126373291,2026-03-05T22:56:00.757183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63,18.29,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,110.6,0,0,0,,,,,,0,,,,305345,186556,0
3,2.4579098224639893,2026-03-05T22:56:00.788454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,21.33,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,105.6,0,0,0,,,,,,0,,,,305345,184098,0
4,2.5998666286468506,2026-03-05T22:56:00.930411,79.43,0.0,0.0,15.62,0.0,0.0,0.0,126.33,14.15,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,0,,,,,,0,,,,276198,183373,4280
5,2.631089448928833,2026-03-05T22:56:00.961634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,15.93,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,115.6,0,0,0,,,,,,0,,,,283311,183767,0
6,2.6623668670654297,2026-03-05T22:56:00.992912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,17.39,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,110.6,0,0,0,,,,,,0,,,,283311,182715,0
7,2.6936192512512207,2026-03-05T22:56:01.024164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63,18.6,0.287,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,110.6,0,0,0,,,,,,0,,,,283311,180944,0
8,2.8185880184173584,2026-03-05T22:56:01.149133,78.13,0.0,0.0,15.6,0.0,0.0,0.0,109.35,15.96,0.291,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,0,,,,,,0,,,,269374,182274,4316
9,2.8498668670654297,2026-03-05T22:56:01.180412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63,16.9,0.294,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,120.6,0,0,0,,,,,,0,,,,279525,182042,0
