frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.5025162696838379,2026-03-06T01:16:09.722161,198.85,0.0,16.03,30.07,2.0,0.0,2.0,272.37,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,0,,,,,,0,,,,285973,188320,4543
1,0.5664336681365967,2026-03-06T01:16:09.786079,3.84,0.0,4.0,0.0,0.0,0.0,0.0,31.88,15.65,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,115.6,0,0,dijkstra,0,,,,,,0,,,,305345,188005,0
2,0.6095426082611084,2026-03-06T01:16:09.829188,2.0,0.0,3.06,0.0,0.0,0.0,0.0,21.08,18.69,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,110.6,0,0,dijkstra,0,,,,,,0,,,,305345,185944,0
3,0.6466104984283447,2026-03-06T01:16:09.866256,6.02,0.0,0.0,0.0,0.0,0.0,0.0,18.04,20.82,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,105.6,0,0,dijkstra,0,,,,,,0,,,,305345,184063,0
4,0.8296451568603516,2026-03-06T01:16:10.049290,110.99,0.0,10.04,29.94,0.0,0.0,0.0,163.18,12.23,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,0,,,,,,0,,,,276198,183373,4280
5,0.8677725791931152,2026-03-06T01:16:10.087418,2.19,0.0,0.0,0.0,0.0,0.0,0.0,18.1,13.69,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,115.6,0,0,dijkstra,0,,,,,,0,,,,283311,183165,0
6,0.9141628742218018,2026-03-06T01:16:10.133808,2.0,0.0,2.0,0.0,0.0,0.0,2.0,21.95,14.58,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,110.6,0,0,dijkstra,0,,,,,,0,,,,283311,182329,0
7,0.9484128952026367,2026-03-06T01:16:10.168058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23,15.7,0.287,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,105.6,0,0,dijkstra,0,,,,,,0,,,,283311,180161,0
8,1.1326098442077637,2026-03-06T01:16:10.352255,106.86,0.0,10.01,22.03,2.0,0.0,0.0,161.77,12.7,0.291,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,0,,,,,,0,,,,269374,182274,4316
9,1.1708462238311768,2026-03-06T01:16:10.390491,0.0,0.0,4.19,0.0,0.0,0.0,0.0,20.22,13.47,0.294,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,115.6,0,0,dijkstra,0,,,,,,0,,,,279525,182127,0
