frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.2833108901977539,2026-03-06T01:22:06.301568,126.31,0.0,4.86,20.48,10.13,0.0,0.0,171.92,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,0,,,,,,0,,,,285973,188320,4543
1,0.4717414379119873,2026-03-06T01:22:06.489999,108.34,0.0,8.01,22.03,0.0,0.0,2.0,159.28,5.31,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,125.6,116,9,dijkstra,0,,,,,,0,,,,275006,184570,4359
2,0.6500897407531738,2026-03-06T01:22:06.668347,111.74,0.0,8.01,22.03,0.0,0.0,0.0,164.25,5.45,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,125.6,115,11,dijkstra,0,,,,,,0,,,,282699,186629,4203
3,0.8232080936431885,2026-03-06T01:22:06.841465,104.14,0.0,10.22,24.27,2.0,0.0,0.0,153.66,5.56,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,125.6,120,10,dijkstra,0,,,,,,0,,,,283233,187447,4348
4,0.9908170700073242,2026-03-06T01:22:07.009075,102.74,0.0,6.01,23.99,0.0,0.0,0.0,149.58,5.65,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,0,,,,,,0,,,,276198,183373,4280
5,1.169123649597168,2026-03-06T01:22:07.187381,105.51,0.0,10.07,26.45,0.0,0.0,0.0,157.05,5.64,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,125.6,111,9,dijkstra,0,,,,,,0,,,,279873,183773,4291
6,1.3414180278778076,2026-03-06T01:22:07.359675,108.29,0.0,6.92,21.03,2.0,0.0,0.0,154.27,5.67,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,125.6,119,10,dijkstra,0,,,,,,0,,,,281026,186440,4537
7,1.5121901035308838,2026-03-06T01:22:07.530448,107.23,0.0,6.01,22.46,0.0,0.0,0.0,152.75,5.7,0.291,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0075,2.466,0.023,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,123.3,118,10,dijkstra,0,,,,,,0,,,,278841,186187,4238
8,1.6855051517486572,2026-03-06T01:22:07.703763,108.05,0.0,0.0,20.35,2.0,0.0,0.0,160.91,5.71,0.293,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,0,,,,,,0,,,,269374,182274,4316
9,1.8551201820373535,2026-03-06T01:22:07.873378,108.06,0.0,0.0,28.11,0.0,0.0,0.0,149.52,5.73,0.295,0.293,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,125.6,100,8,dijkstra,0,,,,,,0,,,,275216,184743,4377
10,2.0328750610351562,2026-03-06T01:22:08.051132,109.5,0.0,8.01,24.03,0.0,0.0,0.0,157.73,5.72,0.293,0.293,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.557,0.023,1,0.9126,0,NORMAL,24.093,0.198,1,1,1,1,1,127.9,123,13,dijkstra,0,,,,,,0,,,,254195,175828,4051
11,2.2016799449920654,2026-03-06T01:22:08.219937,102.25,0.0,8.01,22.13,0.0,0.0,0.0,148.78,5.73,0.288,0.293,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0067,2.603,0.023,1,0.9187,0,NORMAL,26.949,0.151,1,1,1,1,1,130.1,129,8,dijkstra,0,,,,,,0,,,,268445,179472,3907
12,2.3811874389648438,2026-03-06T01:22:08.399445,103.21,0.0,8.01,32.04,2.0,0.0,0.0,159.48,5.72,0.285,0.288,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0067,2.603,0.023,1,0.9053,0,NORMAL,27.608,-0.033,1,1,1,1,1,130.1,211,11,dijkstra,0,,,,,,0,,,,290871,198202,5293
