frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.3120286464691162,2026-03-06T01:39:31.112195,154.18,0.0,6.01,21.37,2.0,0.0,0.0,211.12,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.36351513862609863,2026-03-06T01:39:31.163681,0.0,0.0,4.37,0.0,0.0,0.0,2.0,21.45,19.42,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.62668,0,,,,,,0,,,,305345,188005,0
2,0.3962104320526123,2026-03-06T01:39:31.196376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,23.76,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.62114,0,,,,,,0,,,,305345,186343,0
3,0.44191527366638184,2026-03-06T01:39:31.242081,0.0,0.0,5.25,0.0,0.0,0.0,0.0,22.29,23.1,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.61624,0,,,,,,0,,,,305345,184872,0
4,0.62613844871521,2026-03-06T01:39:31.426304,114.7,0.0,8.01,14.11,0.0,0.0,0.0,161.11,12.73,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,0.6648969650268555,2026-03-06T01:39:31.465063,0.0,0.0,8.24,0.0,0.0,0.0,0.0,28.7,14.17,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.61077,0,,,,,,0,,,,283311,183232,0
6,0.7069578170776367,2026-03-06T01:39:31.507124,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.03,15.19,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.60903,0,,,,,,0,,,,283311,182709,0
7,0.7493658065795898,2026-03-06T01:39:31.549532,0.0,0.0,7.25,0.0,0.0,0.0,0.0,20.02,16.01,0.287,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.60179,0,,,,,,0,,,,283311,180537,0
8,0.9354903697967529,2026-03-06T01:39:31.735656,120.94,0.0,9.32,21.93,2.0,0.0,0.0,167.54,12.83,0.291,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,0.9759376049041748,2026-03-06T01:39:31.776104,0.0,0.0,6.89,0.0,0.0,0.0,0.0,20.91,13.56,0.294,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.60709,0,,,,,,0,,,,279525,182126,0
10,1.017167568206787,2026-03-06T01:39:31.817334,0.0,0.0,7.1,0.0,0.0,0.0,0.0,27.71,14.18,0.295,0.294,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,24.093,0.198,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.60445,0,,,,,,0,,,,279525,181336,0
