frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.2953472137451172,2026-03-06T01:43:17.190735,126.8,0.0,10.01,14.44,10.05,0.0,0.0,183.83,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.4856870174407959,2026-03-06T01:43:17.381075,104.32,0.0,10.09,27.78,0.0,0.0,0.0,169.61,5.25,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,125.6,116,9,dijkstra,graph,0.61686,0,,,,,,0,,,,275006,184570,4359
2,0.6724486351013184,2026-03-06T01:43:17.567837,112.59,0.0,8.01,22.03,0.0,0.0,0.0,164.73,5.3,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,125.6,115,11,dijkstra,graph,0.62388,0,,,,,,0,,,,282699,186629,4203
3,0.8506479263305664,2026-03-06T01:43:17.746036,107.15,0.0,10.21,20.79,0.0,0.0,0.0,154.17,5.4,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,125.6,120,10,dijkstra,graph,0.6263,0,,,,,,0,,,,283233,187447,4348
4,1.033785343170166,2026-03-06T01:43:17.929173,112.9,0.0,7.75,16.23,0.0,0.0,0.0,162.91,5.42,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,1.2246980667114258,2026-03-06T01:43:18.120086,111.42,0.0,10.05,26.26,2.0,0.0,0.0,170.47,5.38,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,125.6,111,9,dijkstra,graph,0.61448,0,,,,,,0,,,,279873,183773,4291
6,1.400691270828247,2026-03-06T01:43:18.296080,107.9,0.0,6.01,22.03,2.0,0.0,0.0,155.97,5.43,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,125.6,119,10,dijkstra,graph,0.62316,0,,,,,,0,,,,281026,186440,4537
7,1.5802021026611328,2026-03-06T01:43:18.475590,109.29,0.0,8.01,20.09,2.0,0.0,0.0,157.42,5.45,0.291,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0075,2.466,0.023,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,123.3,118,10,dijkstra,graph,0.62233,0,,,,,,0,,,,278841,186187,4238
8,1.7614076137542725,2026-03-06T01:43:18.656796,111.18,0.0,8.01,24.03,2.0,0.0,0.0,163.18,5.46,0.293,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,1.9325706958770752,2026-03-06T01:43:18.827959,106.28,0.0,8.02,20.56,0.0,0.0,0.0,151.09,5.5,0.295,0.293,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,125.6,100,8,dijkstra,graph,0.61715,0,,,,,,0,,,,275216,184743,4377
10,2.1207175254821777,2026-03-06T01:43:19.016106,109.42,0.0,10.42,20.16,2.0,0.0,0.0,167.88,5.48,0.293,0.293,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.557,0.023,1,0.9126,0,NORMAL,24.093,0.198,1,1,1,1,1,127.9,123,13,dijkstra,graph,0.58798,0,,,,,,0,,,,254195,175828,4051
11,2.2979023456573486,2026-03-06T01:43:19.193291,109.06,0.0,8.01,14.02,0.0,0.0,0.0,147.11,5.52,0.288,0.293,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0067,2.603,0.023,1,0.9187,0,NORMAL,26.949,0.151,1,1,1,1,1,130.1,129,8,dijkstra,graph,0.60043,0,,,,,,0,,,,268445,179472,3907
12,2.4898922443389893,2026-03-06T01:43:19.385280,116.94,0.0,0.0,30.57,0.0,0.0,0.0,181.9,5.47,0.285,0.288,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0067,2.603,0.023,1,0.9053,0,NORMAL,27.608,-0.033,1,1,1,1,1,130.1,211,11,dijkstra,graph,0.66244,0,,,,,,0,,,,290871,198202,5293
13,2.6695027351379395,2026-03-06T01:43:19.564891,103.15,0.0,10.24,24.51,0.0,0.0,2.0,159.49,5.48,0.282,0.285,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0067,2.603,0.023,1,0.9772,0,NORMAL,27.28,-0.129,1,1,1,1,1,130.1,120,9,dijkstra,graph,0.67318,0,,,,,,0,,,,290413,201307,4840
14,2.867062568664551,2026-03-06T01:43:19.762451,114.7,0.0,7.66,38.05,2.0,0.0,0.0,181.54,5.44,0.281,0.282,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0067,2.603,0.023,1,0.9651,0,NORMAL,27.009,-0.247,1,1,1,1,1,130.1,213,9,dijkstra,graph,0.6795,0,,,,,,0,,,,292563,203381,5361
15,3.0493221282958984,2026-03-06T01:43:19.944710,113.32,0.0,8.01,26.42,0.0,0.0,0.0,163.77,5.45,0.283,0.282,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.557,0.023,1,0.9677,0,NORMAL,28.283,-0.337,1,1,1,1,1,127.9,218,10,dijkstra,graph,0.68105,0,,,,,,0,,,,291729,203631,5308
16,3.241079807281494,2026-03-06T01:43:20.136468,111.78,0.0,8.01,24.56,0.0,0.0,0.0,164.25,5.43,0.288,0.283,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9523,0,NORMAL,29.803,-0.353,1,1,1,1,1,125.6,211,10,dijkstra,graph,0.68017,0,,,,,,0,,,,290091,203422,5300
17,3.4538350105285645,2026-03-06T01:43:20.349223,112.09,0.0,12.02,40.05,0.0,0.0,2.0,182.2,5.38,0.292,0.288,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9497,0,NORMAL,30.69,-0.371,1,1,1,1,1,125.6,272,15,dijkstra,graph,0.66163,0,,,,,,0,,,,277277,198097,5598
18,3.6347997188568115,2026-03-06T01:43:20.530188,104.44,0.0,2.0,33.2,0.0,0.0,0.0,162.94,5.39,0.298,0.292,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0075,2.466,0.023,1,0.9407,0,NORMAL,29.983,-0.402,1,1,1,1,1,123.3,265,13,dijkstra,graph,0.68205,0,,,,,,0,,,,278167,203981,5526
19,3.837860345840454,2026-03-06T01:43:20.733249,111.99,0.0,8.01,36.05,2.0,0.0,0.0,182.48,5.36,0.306,0.298,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0078,2.42,0.023,1,0.9262,0,NORMAL,30.981,-0.397,1,1,1,1,1,121.0,254,12,dijkstra,graph,0.65376,0,,,,,,0,,,,259192,195593,5349
20,4.03397798538208,2026-03-06T01:43:20.929366,105.56,0.0,10.26,41.73,0.0,0.0,0.0,186.1,5.35,0.315,0.306,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0081,2.374,0.023,1,0.9044,0,NORMAL,33.188,-0.369,1,1,1,1,1,118.7,272,18,dijkstra,graph,0.68514,0,,,,,,0,,,,281440,204838,5957
21,4.231877088546753,2026-03-06T01:43:21.127265,109.22,0.0,0.0,40.03,0.0,0.0,0.0,176.8,5.33,0.326,0.315,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0084,2.329,0.023,1,0.9677,0,NORMAL,34.278,-0.344,1,1,1,1,1,116.4,266,18,dijkstra,graph,0.68802,0,,,,,,0,,,,281241,205782,6052
22,4.4236979484558105,2026-03-06T01:43:21.319086,113.37,0.0,4.01,40.31,0.0,0.0,0.0,181.52,5.33,0.333,0.326,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0084,2.329,0.023,1,0.9541,0,NORMAL,34.987,-0.407,1,1,1,1,1,116.4,239,14,dijkstra,graph,0.68258,0,,,,,,0,,,,271229,204201,5660
23,4.612462997436523,2026-03-06T01:43:21.507851,104.89,0.0,8.58,34.14,2.0,0.0,0.0,168.7,5.33,0.338,0.333,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0084,2.329,0.023,1,0.9236,0,NORMAL,36.76,-0.43,1,1,1,1,1,116.4,234,13,dijkstra,graph,0.66486,0,,,,,,0,,,,254744,199087,5405
24,4.801199674606323,2026-03-06T01:43:21.696588,100.02,0.0,14.22,25.95,12.01,0.0,0.0,167.97,5.33,0.428,0.338,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0148,3.993,0.118,1,0.8078,0,NORMAL,40.886,-0.509,1,1,1,1,1,224.9,139,18,dijkstra,fallback_centerline,0.60196,0,,,,,,0,,,,206638,180651,4515
25,4.981081008911133,2026-03-06T01:43:21.876469,115.77,0.0,10.04,16.03,2.0,0.0,0.0,161.86,5.34,0.669,0.428,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0279,1.279,0.023,1,0.8468,0,NORMAL,44.675,-0.713,1,1,1,1,1,63.9,78,15,dijkstra,graph,0.59432,0,,,,,,0,,,,194308,178371,3669
26,5.159891605377197,2026-03-06T01:43:22.055280,113.13,0.0,7.01,20.43,2.0,0.0,0.0,160.79,5.34,0.567,0.567,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",4.0,0.0088,2.283,0.023,1,0.7595,0,NORMAL,45.365,-0.528,1,1,1,1,1,114.2,89,15,dijkstra,graph,0.60738,0,,,,,,0,,,,228521,181941,4065
27,5.331376791000366,2026-03-06T01:43:22.226765,100.58,0.0,14.24,18.51,2.0,0.0,0.0,153.46,5.36,0.508,0.567,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",4.0,0.0095,2.192,0.023,1,0.8984,0,NORMAL,47.866,-0.298,1,1,1,1,1,109.6,81,13,dijkstra,graph,0.6394,0,,,,,,0,,,,239761,191641,4349
28,5.5066516399383545,2026-03-06T01:43:22.402040,111.07,0.0,7.75,12.41,10.19,0.0,0.0,159.25,5.37,0.464,0.508,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.0091,2.237,0.023,1,0.9139,0,NORMAL,51.406,-0.258,1,1,1,1,1,111.9,115,16,dijkstra,graph,0.64331,0,,,,,,0,,,,251352,192825,4656
29,5.6785829067230225,2026-03-06T01:43:22.573971,107.37,0.0,8.01,16.04,2.0,0.0,0.0,151.75,5.39,0.435,0.464,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.0091,2.237,0.023,1,0.9516,0,NORMAL,51.071,-0.206,1,1,1,1,1,111.9,77,15,dijkstra,graph,0.63944,0,,,,,,0,,,,246341,191458,4266
30,5.85120701789856,2026-03-06T01:43:22.746595,108.31,0.0,6.01,24.26,0.0,0.0,0.0,154.6,5.4,0.416,0.435,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.9247,0,NORMAL,50.971,-0.102,1,1,1,1,1,111.9,116,14,dijkstra,graph,0.62802,0,,,,,,0,,,,239198,188056,4241
31,6.035593271255493,2026-03-06T01:43:22.930981,114.07,0.0,8.01,22.03,0.0,0.0,0.0,162.14,5.41,0.397,0.416,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.9556,0,NORMAL,50.835,-0.057,1,1,1,1,1,114.2,101,14,dijkstra,graph,0.62587,0,,,,,,0,,,,235673,187437,4334
32,6.2168591022491455,2026-03-06T01:43:23.112247,104.8,0.0,10.05,24.36,0.0,0.0,0.0,155.23,5.41,0.385,0.397,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.9367,0,NORMAL,50.621,-0.039,1,1,1,1,1,114.2,73,15,dijkstra,graph,0.62789,0,,,,,,0,,,,233917,188179,4415
33,6.3919477462768555,2026-03-06T01:43:23.287336,110.61,0.0,10.01,18.18,0.0,0.0,0.0,157.07,5.41,0.377,0.385,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.9553,0,NORMAL,50.381,-0.054,1,1,1,1,1,114.2,73,17,dijkstra,graph,0.62403,0,,,,,,0,,,,236086,186926,4491
34,6.567083835601807,2026-03-06T01:43:23.462472,112.74,0.0,6.01,16.48,0.0,0.0,0.0,153.1,5.43,0.372,0.377,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.9259,0,NORMAL,50.144,-0.099,1,1,1,1,1,114.2,115,14,dijkstra,graph,0.61554,0,,,,,,0,,,,237271,184314,4393
35,6.73888635635376,2026-03-06T01:43:23.634275,105.68,0.0,8.01,17.97,0.0,0.0,0.0,145.68,5.43,0.368,0.372,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.9699,0,NORMAL,50.045,-0.109,1,1,1,1,1,114.2,108,15,dijkstra,graph,0.61463,0,,,,,,0,,,,239861,183960,4145
36,6.921162128448486,2026-03-06T01:43:23.816550,113.44,0.0,8.01,18.39,0.0,0.0,0.0,159.81,5.43,0.366,0.368,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.97,0,NORMAL,50.0,-0.152,1,1,1,1,1,114.2,119,14,dijkstra,graph,0.61469,0,,,,,,0,,,,239634,183998,4292
37,7.102097272872925,2026-03-06T01:43:23.997485,110.53,0.0,2.0,20.23,0.0,0.0,0.0,160.63,5.43,0.365,0.366,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.969,0,NORMAL,50.038,-0.135,1,1,1,1,1,114.2,113,16,dijkstra,graph,0.61773,0,,,,,,0,,,,242862,184899,4767
38,7.281192779541016,2026-03-06T01:43:24.176581,114.56,0.0,6.01,20.03,0.0,0.0,0.0,158.62,5.42,0.368,0.366,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.9675,0,NORMAL,50.135,-0.096,1,1,1,1,1,111.9,99,16,dijkstra,graph,0.62089,0,,,,,,0,,,,243691,185887,4558
39,7.460101127624512,2026-03-06T01:43:24.355489,111.79,0.0,8.45,24.63,0.0,0.0,0.0,160.89,5.43,0.371,0.368,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.9648,0,NORMAL,50.361,-0.127,1,1,1,1,1,111.9,108,20,dijkstra,graph,0.62393,0,,,,,,0,,,,247138,186740,4769
40,7.636455297470093,2026-03-06T01:43:24.531843,108.15,0.0,8.01,22.04,0.0,0.0,0.0,156.39,5.42,0.373,0.371,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.9577,0,NORMAL,50.723,-0.141,1,1,1,1,1,111.9,97,20,dijkstra,graph,0.62986,0,,,,,,0,,,,252211,188748,4721
41,7.807379961013794,2026-03-06T01:43:24.702768,110.84,0.0,6.01,20.03,0.0,0.0,0.0,154.9,5.45,0.374,0.373,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.9774,0,NORMAL,50.949,-0.107,1,1,1,1,1,111.9,105,18,dijkstra,graph,0.63207,0,,,,,,0,,,,253328,189276,4799
42,7.979003190994263,2026-03-06T01:43:24.874391,106.85,0.0,10.17,14.02,0.0,0.0,0.0,153.6,5.46,0.375,0.374,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.9445,0,NORMAL,51.553,-0.156,1,1,1,1,1,111.9,120,15,dijkstra,graph,0.61244,0,,,,,,0,,,,245451,183317,4475
43,8.158749103546143,2026-03-06T01:43:25.054137,108.49,0.0,0.0,28.48,0.0,0.0,0.0,152.73,5.48,0.37,0.374,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.9095,0,NORMAL,51.763,0.094,1,1,1,1,1,114.2,108,12,dijkstra,graph,0.5663,0,,,,,,0,,,,227357,169307,4023
44,8.336276054382324,2026-03-06T01:43:25.231664,109.01,0.0,8.69,22.04,2.0,0.0,0.0,157.5,5.49,0.367,0.37,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.9607,0,NORMAL,51.825,0.185,1,1,1,1,1,114.2,145,13,dijkstra,graph,0.58643,0,,,,,,0,,,,230031,175301,4141
45,8.513879776000977,2026-03-06T01:43:25.409268,113.77,0.0,8.11,20.33,0.0,0.0,0.0,161.58,5.5,0.365,0.367,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.8887,0,NORMAL,52.017,0.211,1,1,1,1,1,114.2,107,15,dijkstra,graph,0.64444,0,,,,,,0,,,,255125,192935,4634
46,8.699803352355957,2026-03-06T01:43:25.595192,115.35,0.0,6.01,22.14,2.0,0.0,0.0,161.52,5.53,0.369,0.367,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.9176,0,NORMAL,52.263,0.219,1,1,1,1,1,111.9,113,15,dijkstra,graph,0.61393,0,,,,,,0,,,,239174,183647,4484
47,8.87276005744934,2026-03-06T01:43:25.768148,100.3,0.0,10.22,17.03,2.0,0.0,0.0,152.93,5.54,0.371,0.369,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.9174,0,NORMAL,52.2,0.246,1,1,1,1,1,111.9,83,16,dijkstra,graph,0.64364,0,,,,,,0,,,,256265,192704,4664
48,9.052189111709595,2026-03-06T01:43:25.947577,113.34,0.0,6.01,20.03,0.0,0.0,0.0,157.4,5.56,0.373,0.371,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.9577,0,NORMAL,52.353,0.217,1,1,1,1,1,111.9,99,16,dijkstra,graph,0.6336,0,,,,,,0,,,,251393,189793,4579
49,9.225744247436523,2026-03-06T01:43:26.121132,105.25,0.0,14.18,20.07,0.0,0.0,0.0,155.53,5.59,0.369,0.371,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0088,2.283,0.023,1,0.9477,0,NORMAL,52.286,0.278,1,1,1,1,1,114.2,85,18,dijkstra,graph,0.6555,0,,,,,,0,,,,261294,196381,4896
50,9.406478881835938,2026-03-06T01:43:26.301867,108.37,0.0,6.01,26.3,0.0,0.0,0.0,156.71,5.6,0.372,0.372,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0091,2.237,0.023,1,0.961,0,NORMAL,53.423,0.215,1,1,1,1,1,111.9,81,15,dijkstra,graph,0.64295,0,,,,,,0,,,,256793,192600,4402
