frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.3046541213989258,2026-03-06T01:50:33.385636,126.53,0.0,10.03,30.55,0.0,0.0,0.0,193.37,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.3580915927886963,2026-03-06T01:50:33.439073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88,18.71,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.62668,0,,,,,,0,,,,305345,188005,0
2,0.40616273880004883,2026-03-06T01:50:33.487144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.26,19.7,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.62132,0,,,,,,0,,,,305345,186395,0
3,0.4569582939147949,2026-03-06T01:50:33.537940,0.0,0.0,8.21,0.0,0.0,0.0,0.0,20.65,19.7,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.61499,0,,,,,,0,,,,305345,184496,0
4,0.6621615886688232,2026-03-06T01:50:33.743143,132.26,0.0,10.21,28.35,2.0,0.0,0.0,185.05,11.19,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,0.7002112865447998,2026-03-06T01:50:33.781193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.02,12.64,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.61051,0,,,,,,0,,,,283311,183152,0
6,0.7433083057403564,2026-03-06T01:50:33.824290,2.62,0.0,0.0,0.0,0.0,0.0,0.0,22.72,13.68,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.60634,0,,,,,,0,,,,283311,181902,0
7,0.7809970378875732,2026-03-06T01:50:33.861979,10.08,0.0,0.0,0.0,0.0,0.0,0.0,20.12,14.7,0.287,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.59966,0,,,,,,0,,,,283311,179899,0
8,0.9650454521179199,2026-03-06T01:50:34.046027,112.81,0.0,10.05,18.01,0.0,0.0,0.0,163.32,12.11,0.291,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,1.0160272121429443,2026-03-06T01:50:34.097009,0.0,0.0,6.31,0.0,0.0,0.0,0.0,30.88,12.65,0.294,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.60679,0,,,,,,0,,,,279525,182038,0
10,1.0565545558929443,2026-03-06T01:50:34.137536,0.0,0.0,6.07,0.0,0.0,0.0,0.0,20.22,13.3,0.295,0.294,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,24.093,0.198,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.60423,0,,,,,,0,,,,279525,181270,0
11,1.0891029834747314,2026-03-06T01:50:34.170085,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.52,14.02,0.296,0.295,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,26.949,0.151,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.59572,0,,,,,,0,,,,279525,178715,0
