frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.5211243629455566,2026-03-06T11:13:04.023557,192.65,0.0,12.02,29.31,2.0,0.0,0.0,266.3,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.577509880065918,2026-03-06T11:13:04.079943,3.23,0.0,0.0,0.0,0.0,0.0,0.0,26.35,17.74,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.62668,0,,,,,,0,,,,305345,188005,0
2,0.6276845932006836,2026-03-06T11:13:04.130117,2.0,0.0,2.0,0.0,0.0,0.0,2.0,22.04,18.77,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.62121,0,,,,,,0,,,,305345,186363,0
3,0.6598832607269287,2026-03-06T11:13:04.162316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.19,21.62,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.61482,0,,,,,,0,,,,305345,184447,0
4,0.8474650382995605,2026-03-06T11:13:04.349898,113.05,0.0,8.01,16.05,0.0,0.0,0.0,168.98,12.26,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,0.8865439891815186,2026-03-06T11:13:04.388977,4.07,0.0,2.0,0.0,0.0,0.0,0.0,20.54,13.68,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.61055,0,,,,,,0,,,,283311,183165,0
6,0.9265944957733154,2026-03-06T11:13:04.429027,2.0,0.0,2.0,0.0,0.0,0.0,0.0,20.03,14.87,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.60777,0,,,,,,0,,,,283311,182332,0
7,0.9658293724060059,2026-03-06T11:13:04.468262,2.0,0.0,4.88,0.0,0.0,0.0,0.0,25.22,15.74,0.287,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.60038,0,,,,,,0,,,,283311,180114,0
8,1.1422312259674072,2026-03-06T11:13:04.644664,111.13,0.0,8.01,21.92,0.0,0.0,0.0,158.88,12.88,0.291,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,1.1848304271697998,2026-03-06T11:13:04.687263,2.0,0.0,3.74,0.0,0.0,0.0,0.0,22.23,13.56,0.294,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.60709,0,,,,,,0,,,,279525,182126,0
