frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.2936437129974365,2026-03-06T11:17:27.865298,135.34,0.0,10.01,22.57,1.74,0.0,0.0,179.32,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.37047553062438965,2026-03-06T11:17:27.942130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.95,13.02,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.62668,0,,,,,,0,,,,305345,188005,0
2,0.4149818420410156,2026-03-06T11:17:27.986636,2.0,0.0,3.01,0.0,0.0,0.0,0.0,22.48,16.48,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.61846,0,,,,,,0,,,,305345,185537,0
3,0.4557027816772461,2026-03-06T11:17:28.027357,0.0,0.0,4.46,0.0,0.0,0.0,0.0,20.69,18.51,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,100.6,0,0,dijkstra,predict,0.61224,0,,,,,,0,,,,305345,183671,0
4,0.6432638168334961,2026-03-06T11:17:28.214918,120.89,0.0,10.01,20.03,2.0,0.0,0.0,167.09,11.44,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,0.6894311904907227,2026-03-06T11:17:28.261085,6.87,0.0,3.51,0.0,0.0,0.0,0.0,22.39,12.63,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.61068,0,,,,,,0,,,,283311,183205,0
6,0.731464147567749,2026-03-06T11:17:28.303118,2.0,0.0,4.01,0.0,0.0,0.0,2.0,21.77,13.7,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.60657,0,,,,,,0,,,,283311,181971,0
7,0.7699451446533203,2026-03-06T11:17:28.341599,0.0,0.0,4.01,0.0,0.0,0.0,0.0,19.03,14.7,0.287,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.59915,0,,,,,,0,,,,283311,179744,0
8,0.9574568271636963,2026-03-06T11:17:28.529111,116.94,0.0,10.05,24.03,0.0,0.0,2.0,169.25,12.05,0.291,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,0.9998831748962402,2026-03-06T11:17:28.571537,2.88,0.0,3.51,0.0,0.0,0.0,0.0,22.4,12.74,0.294,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.60679,0,,,,,,0,,,,279525,182037,0
