frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.3673255443572998,2026-03-06T11:22:17.279248,137.08,0.0,5.99,24.45,0.0,0.0,0.0,193.06,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.4317634105682373,2026-03-06T11:22:17.343686,4.83,0.0,3.51,0.0,0.0,0.0,0.0,24.36,15.52,0.166,0.133,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.62668,0,,,,,,0,,,,305345,188005,0
2,0.4781990051269531,2026-03-06T11:22:17.390121,2.0,0.0,4.01,0.0,0.0,0.0,0.0,24.22,18.04,0.21,0.166,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.61981,0,,,,,,0,,,,305345,185944,0
3,0.5223023891448975,2026-03-06T11:22:17.434225,0.0,0.0,4.5,0.0,0.0,0.0,0.0,22.08,19.36,0.24,0.21,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.6136,0,,,,,,0,,,,305345,184081,0
4,0.7421410083770752,2026-03-06T11:22:17.654063,140.76,0.0,8.01,23.96,2.0,0.0,0.0,199.39,10.67,0.259,0.24,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,0.7906570434570312,2026-03-06T11:22:17.702579,2.0,0.0,4.01,0.0,0.0,0.0,2.0,24.49,11.81,0.273,0.259,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.61079,0,,,,,,0,,,,283311,183238,0
6,0.8374254703521729,2026-03-06T11:22:17.749348,2.1,0.0,3.74,0.0,0.0,0.0,0.0,23.93,12.76,0.281,0.273,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.60701,0,,,,,,0,,,,283311,182103,0
7,0.8830294609069824,2026-03-06T11:22:17.794952,0.0,0.0,7.54,0.0,0.0,0.0,0.0,21.56,13.57,0.287,0.281,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.59828,0,,,,,,0,,,,283311,179484,0
8,1.092329502105713,2026-03-06T11:22:18.004252,128.74,0.0,8.01,24.42,2.0,0.0,0.0,187.09,11.03,0.291,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,1.1412487030029297,2026-03-06T11:22:18.053171,2.78,0.0,2.0,0.0,0.0,0.0,0.0,20.78,11.66,0.294,0.291,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,115.6,0,0,dijkstra,predict,0.60705,0,,,,,,0,,,,279525,182116,0
10,1.1876606941223145,2026-03-06T11:22:18.099583,2.31,0.0,3.74,0.0,0.0,0.0,0.0,22.65,12.19,0.295,0.294,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,24.093,0.198,1,1,1,1,1,110.6,0,0,dijkstra,predict,0.60343,0,,,,,,0,,,,279525,181029,0
11,1.228435754776001,2026-03-06T11:22:18.140358,1.5,0.0,0.0,0.0,0.0,0.0,0.0,20.75,12.77,0.296,0.295,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,26.949,0.151,1,1,1,1,1,105.6,0,0,dijkstra,predict,0.5929,0,,,,,,0,,,,279525,177871,0
