frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.2995336055755615,2026-03-06T11:29:56.007181,130.73,0.0,14.1,24.66,3.52,0.0,2.0,187.22,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.39629125595092773,2026-03-06T11:29:56.103939,2.0,0.0,4.01,26.65,12.02,0.0,0.0,66.71,10.34,0.159,0.129,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0068,3.995,0.054,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,225.0,133,12,dijkstra,fallback_centerline,0.62537,0,,,,,,0,,,,305345,188005,4543
2,0.4739394187927246,2026-03-06T11:29:56.181587,2.0,0.0,4.01,21.66,10.4,0.0,0.0,56.1,11.47,0.451,0.159,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",3.901,0.0251,3.879,0.189,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,224.1,157,12,dijkstra,fallback_centerline,0.61616,0,,,,,,0,,,,305345,185119,4543
3,0.5557904243469238,2026-03-06T11:29:56.263438,0.0,0.0,7.65,30.55,10.36,0.0,0.0,61.17,11.71,0.931,0.451,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",3.371,0.0459,3.347,0.259,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,221.6,188,13,dijkstra,fallback_centerline,0.5901,0,,,,,,0,,,,305345,177138,4543
4,0.7441074848175049,2026-03-06T11:29:56.451755,119.48,0.0,10.34,22.19,2.0,0.0,0.0,168.16,9.0,0.721,0.721,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,0.8307125568389893,2026-03-06T11:29:56.538360,0.0,0.0,3.93,27.05,11.54,0.0,0.0,62.57,9.41,0.618,0.721,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",3.696,0.01,3.688,0.068,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,225.0,125,11,dijkstra,fallback_centerline,0.61188,0,,,,,,0,,,,283311,183406,4280
6,0.9093167781829834,2026-03-06T11:29:56.616964,2.31,0.0,4.01,26.04,10.2,0.0,0.0,58.58,9.84,1.002,0.721,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",3.488,0.0429,3.465,0.259,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,223.0,182,12,dijkstra,fallback_centerline,0.59017,0,,,,,,0,,,,283311,177358,4280
7,0.9931395053863525,2026-03-06T11:29:56.700787,0.0,0.0,0.0,34.55,8.41,0.0,0.0,63.22,10.09,1.214,1.002,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",3.542,0.0398,3.52,0.247,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,223.2,195,15,dijkstra,fallback_centerline,0.56136,0,,,,,,0,,,,283311,168539,4280
8,1.1842453479766846,2026-03-06T11:29:56.891893,126.57,0.0,7.75,22.5,2.0,0.0,0.0,173.11,9.04,0.909,1.002,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,1.2674527168273926,2026-03-06T11:29:56.975100,2.0,0.0,1.5,30.77,12.02,0.0,0.0,61.08,9.3,1.052,1.052,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",3.44,0.0324,3.423,0.191,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,225.0,113,12,dijkstra,fallback_centerline,0.60785,0,,,,,,0,,,,279525,182292,4316
10,1.3458771705627441,2026-03-06T11:29:57.053524,3.75,0.0,2.0,25.09,11.26,0.0,0.0,58.13,9.56,1.4,1.052,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",3.169,0.0508,3.145,0.253,1,0.9152,0,NORMAL,24.093,0.198,1,1,1,1,1,222.1,157,11,dijkstra,fallback_centerline,0.57839,0,,,,,,0,,,,279525,173550,4316
11,1.5446488857269287,2026-03-06T11:29:57.252296,125.92,0.0,10.29,23.82,2.0,0.0,0.0,178.3,8.83,1.026,1.052,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",4.0,0.0067,2.603,0.023,1,0.9183,0,NORMAL,26.949,0.151,1,1,1,1,1,130.1,129,8,dijkstra,graph,0.60043,0,,,,,,0,,,,268445,179472,3907
12,1.6315476894378662,2026-03-06T11:29:57.339195,0.0,0.0,2.26,28.54,12.22,0.0,0.0,70.87,9.02,0.943,1.026,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",3.246,0.0189,3.234,0.099,1,0.9183,0,NORMAL,27.608,-0.033,1,1,1,1,1,225.0,165,9,dijkstra,fallback_centerline,0.59961,0,,,,,,0,,,,278517,179235,3907
13,1.8207917213439941,2026-03-06T11:29:57.528439,114.7,0.0,8.34,21.79,2.0,0.0,0.0,169.21,8.55,0.721,0.943,STRAIGHT,1.5,1.5,"CMD,0.9,1.50",4.0,0.0067,2.603,0.023,1,0.8931,0,NORMAL,27.28,-0.129,1,1,1,1,1,130.1,120,9,dijkstra,graph,0.67318,0,,,,,,0,,,,290413,201307,4840
14,1.9025840759277344,2026-03-06T11:29:57.610231,4.01,0.0,2.0,24.94,10.22,0.0,0.0,61.6,8.73,0.317,0.721,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",4.0,-0.012,3.996,-0.096,1,0.8931,0,NORMAL,27.009,-0.247,1,1,1,1,1,225.0,119,11,dijkstra,fallback_centerline,0.6718,0,,,,,,0,,,,306301,200901,4840
