frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.33176088333129883,2026-03-06T11:54:52.131023,137.9,0.0,8.43,27.91,1.28,0.0,0.0,196.08,0.0,0.096,0.096,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.544407844543457,2026-03-06T11:54:52.343670,124.88,0.0,9.93,24.37,0.0,0.0,0.0,181.27,4.7,0.161,0.128,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,125.6,116,9,dijkstra,graph,0.61686,0,,,,,,0,,,,275006,184570,4359
2,0.7474770545959473,2026-03-06T11:54:52.546739,119.13,0.0,10.6,25.75,1.5,0.0,0.0,177.55,4.81,0.203,0.161,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.007,2.511,0.022,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,125.6,115,11,dijkstra,graph,0.62388,0,,,,,,0,,,,282699,186629,4203
3,0.9441580772399902,2026-03-06T11:54:52.743420,116.1,0.0,10.2,25.6,1.11,0.0,0.0,172.66,4.91,0.232,0.203,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.007,2.511,0.022,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,125.6,120,10,dijkstra,graph,0.6263,0,,,,,,0,,,,283233,187447,4348
4,1.1541714668273926,2026-03-06T11:54:52.953433,124.83,0.0,11.63,31.94,1.18,0.0,0.0,188.28,4.86,0.251,0.232,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.007,2.511,0.022,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,1.397599458694458,2026-03-06T11:54:53.196861,162.43,0.0,9.99,25.75,1.03,0.0,1.0,229.7,4.69,0.264,0.251,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,125.6,111,9,dijkstra,graph,0.61448,0,,,,,,0,,,,279873,183773,4291
6,1.5930676460266113,2026-03-06T11:54:53.392330,120.43,0.0,9.32,25.43,0.0,0.0,0.0,173.23,4.76,0.272,0.264,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,125.6,119,10,dijkstra,graph,0.62316,0,,,,,,0,,,,281026,186440,4537
7,1.8077013492584229,2026-03-06T11:54:53.606963,126.72,0.0,9.43,25.65,0.0,0.0,0.0,186.1,4.75,0.28,0.272,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.466,0.022,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,123.3,118,10,dijkstra,graph,0.62233,0,,,,,,0,,,,278841,186187,4238
8,2.0126030445098877,2026-03-06T11:54:53.813182,125.39,0.0,10.16,26.38,1.0,0.0,0.0,182.77,4.76,0.283,0.28,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,2.267486572265625,2026-03-06T11:54:54.066748,164.05,0.0,12.59,34.37,1.31,0.0,1.0,232.22,4.65,0.285,0.283,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,125.6,100,8,dijkstra,graph,0.61715,0,,,,,,0,,,,275216,184743,4377
