frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.3259732723236084,2026-03-06T12:36:15.030251,143.95,0.0,12.0,24.89,12.38,0.0,0.0,209.98,0.0,0.271,0.271,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",3.067,0.0197,3.06,0.092,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,224.7,123,12,dijkstra,fallback_centerline,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.5366690158843994,2026-03-06T12:36:15.240946,112.9,0.0,12.23,21.65,12.31,0.0,0.77,181.06,4.75,0.452,0.361,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",3.428,0.0197,3.421,0.115,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,224.8,116,9,dijkstra,fallback_centerline,0.61686,0,,,,,,0,,,,275006,184570,4359
2,0.7416088581085205,2026-03-06T12:36:15.445886,120.22,0.0,9.74,21.34,12.63,0.0,0.0,180.45,4.81,0.6,0.452,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",3.344,0.0217,3.335,0.121,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,224.9,115,11,dijkstra,fallback_centerline,0.62388,0,,,,,,0,,,,282699,186629,4203
3,0.944138765335083,2026-03-06T12:36:15.648416,120.07,0.0,9.14,22.55,11.34,0.0,0.0,181.31,4.85,0.714,0.6,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",3.287,0.0228,3.278,0.123,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,224.9,120,10,dijkstra,fallback_centerline,0.6263,0,,,,,,0,,,,283233,187447,4348
4,1.1497642993927002,2026-03-06T12:36:15.854042,124.49,0.0,10.22,21.3,13.29,0.0,0.0,185.91,4.86,0.797,0.714,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",3.228,0.0234,3.217,0.121,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,224.9,111,11,dijkstra,fallback_centerline,0.61254,0,,,,,,0,,,,276198,183373,4280
5,1.3617820739746094,2026-03-06T12:36:16.066059,124.69,0.0,13.71,20.91,12.14,0.0,0.0,188.46,4.83,0.857,0.797,STRAIGHT,1.5,1.5,"CMD,0.8,1.50",3.244,0.0237,3.234,0.124,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,224.9,111,9,dijkstra,fallback_centerline,0.61448,0,,,,,,0,,,,279873,183773,4291
6,1.5608336925506592,2026-03-06T12:36:16.265111,117.16,0.0,8.79,22.06,13.0,0.0,0.0,178.83,4.86,0.94,0.857,STRAIGHT,1.5,1.5,"CMD,0.9,1.50",3.046,0.0268,3.033,0.123,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,224.9,119,10,dijkstra,fallback_centerline,0.62316,0,,,,,,0,,,,281026,186440,4537
7,1.7567577362060547,2026-03-06T12:36:16.461035,113.59,0.0,9.97,22.62,11.91,0.0,0.0,174.3,4.89,1.039,0.94,STRAIGHT,1.5,1.5,"CMD,0.9,1.50",2.884,0.03,2.868,0.124,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,224.9,118,10,dijkstra,fallback_centerline,0.62233,0,,,,,,0,,,,278841,186187,4238
8,1.9619972705841064,2026-03-06T12:36:16.666275,116.92,0.0,9.68,25.06,13.39,0.0,0.0,182.34,4.89,1.124,1.039,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",2.844,0.0314,2.826,0.126,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,224.9,119,11,dijkstra,fallback_centerline,0.60928,0,,,,,,0,,,,269374,182274,4316
9,2.156461715698242,2026-03-06T12:36:16.860739,115.96,0.0,9.02,21.85,10.66,0.0,0.0,174.81,4.92,1.182,1.124,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",2.853,0.0314,2.836,0.127,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,224.8,100,8,dijkstra,fallback_centerline,0.61715,0,,,,,,0,,,,275216,184743,4377
10,2.3564674854278564,2026-03-06T12:36:17.060745,117.62,0.0,10.29,24.91,11.47,0.0,0.0,179.9,4.92,1.218,1.182,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",2.881,0.0313,2.864,0.129,1,0.9126,0,NORMAL,24.093,0.198,1,1,1,1,1,224.8,123,13,dijkstra,fallback_centerline,0.58798,0,,,,,,0,,,,254195,175828,4051
11,2.564976692199707,2026-03-06T12:36:17.269254,122.43,0.0,8.12,25.4,12.0,0.0,1.0,187.36,4.91,1.241,1.218,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",2.906,0.0312,2.89,0.131,1,0.9187,0,NORMAL,26.949,0.151,1,1,1,1,1,224.7,129,8,dijkstra,fallback_centerline,0.60043,0,,,,,,0,,,,268445,179472,3907
12,2.7848150730133057,2026-03-06T12:36:17.489092,121.65,0.0,9.97,35.4,11.84,0.0,0.0,196.57,4.88,1.244,1.241,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",2.972,0.0303,2.957,0.133,1,0.9053,0,NORMAL,27.608,-0.033,1,1,1,1,1,224.8,211,11,dijkstra,fallback_centerline,0.66244,0,,,,,,0,,,,290871,198202,5293
13,2.9871530532836914,2026-03-06T12:36:17.691430,118.72,0.0,10.69,25.04,11.26,0.0,0.0,182.09,4.89,1.231,1.241,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",3.08,0.0292,3.066,0.138,1,0.9772,0,NORMAL,27.28,-0.129,1,1,1,1,1,224.9,120,9,dijkstra,fallback_centerline,0.67318,0,,,,,,0,,,,290413,201307,4840
14,3.2007460594177246,2026-03-06T12:36:17.905023,124.02,0.0,9.72,32.0,12.17,0.0,0.0,194.98,4.87,1.201,1.231,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",3.219,0.0277,3.207,0.143,1,0.9651,0,NORMAL,27.009,-0.247,1,1,1,1,1,224.9,213,9,dijkstra,fallback_centerline,0.6795,0,,,,,,0,,,,292563,203381,5361
15,3.4166297912597656,2026-03-06T12:36:18.120907,117.42,0.0,13.7,36.09,12.04,0.0,0.75,197.31,4.85,1.174,1.201,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",3.272,0.0271,3.261,0.144,1,0.9677,0,NORMAL,28.283,-0.337,1,1,1,1,1,224.9,218,10,dijkstra,fallback_centerline,0.68105,0,,,,,,0,,,,291729,203631,5308
16,3.6220271587371826,2026-03-06T12:36:18.326305,118.55,0.0,8.61,32.13,12.02,0.0,0.0,187.36,4.85,1.159,1.174,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",3.248,0.0274,3.236,0.144,1,0.9523,0,NORMAL,29.803,-0.353,1,1,1,1,1,224.9,211,10,dijkstra,fallback_centerline,0.68017,0,,,,,,0,,,,290091,203422,5300
17,3.8486833572387695,2026-03-06T12:36:18.552961,121.69,0.0,11.02,39.57,15.06,0.0,0.0,206.93,4.83,1.148,1.159,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",3.264,0.0273,3.252,0.145,1,0.9497,0,NORMAL,30.69,-0.371,1,1,1,1,1,224.9,272,15,dijkstra,fallback_centerline,0.66163,0,,,,,,0,,,,277277,198097,5598
18,4.071965217590332,2026-03-06T12:36:18.776242,125.11,0.0,8.02,38.97,12.11,0.0,0.0,202.98,4.81,1.143,1.148,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",3.275,0.0274,3.263,0.146,1,0.9407,0,NORMAL,29.983,-0.402,1,1,1,1,1,224.9,265,13,dijkstra,fallback_centerline,0.68205,0,,,,,,0,,,,278167,203981,5526
19,4.279850006103516,2026-03-06T12:36:18.984127,114.06,0.0,8.88,36.6,10.16,0.0,2.0,190.02,4.81,1.133,1.143,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",3.313,0.027,3.302,0.147,1,0.9262,0,NORMAL,30.981,-0.397,1,1,1,1,1,224.9,254,12,dijkstra,fallback_centerline,0.65376,0,,,,,,0,,,,259192,195593,5349
20,4.498818635940552,2026-03-06T12:36:19.203096,121.87,0.0,10.15,39.88,12.37,0.0,0.0,201.28,4.79,1.124,1.133,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",3.309,0.0269,3.297,0.146,1,0.9044,0,NORMAL,33.188,-0.369,1,1,1,1,1,224.9,272,18,dijkstra,fallback_centerline,0.68514,0,,,,,,0,,,,281440,204838,5957
21,4.715011835098267,2026-03-06T12:36:19.419289,115.03,0.0,11.29,41.22,11.75,0.0,0.0,196.09,4.78,1.119,1.124,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",3.293,0.0268,3.281,0.145,1,0.9677,0,NORMAL,34.278,-0.344,1,1,1,1,1,224.9,266,18,dijkstra,fallback_centerline,0.68802,0,,,,,,0,,,,281241,205782,6052
22,4.929079055786133,2026-03-06T12:36:19.633356,120.8,0.0,9.17,36.1,12.16,0.0,0.0,195.2,4.78,1.117,1.119,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",3.257,0.027,3.245,0.143,1,0.9541,0,NORMAL,34.987,-0.407,1,1,1,1,1,224.8,239,14,dijkstra,fallback_centerline,0.68258,0,,,,,,0,,,,271229,204201,5660
23,5.14755654335022,2026-03-06T12:36:19.851834,124.58,0.0,8.01,36.69,12.59,0.0,0.0,200.21,4.77,1.113,1.117,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",3.303,0.0268,3.291,0.145,1,0.9236,0,NORMAL,36.76,-0.43,1,1,1,1,1,224.9,234,13,dijkstra,fallback_centerline,0.66486,0,,,,,,0,,,,254744,199087,5405
24,5.348264694213867,2026-03-06T12:36:20.052542,118.45,0.0,9.02,24.53,11.78,0.0,0.0,181.61,4.78,1.157,1.117,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",4.0,0.0302,3.99,0.241,1,0.8078,0,NORMAL,40.886,-0.509,1,1,1,1,1,224.9,139,18,dijkstra,fallback_centerline,0.60196,0,,,,,,0,,,,206638,180651,4515
25,5.5430896282196045,2026-03-06T12:36:20.247367,119.28,0.0,9.02,13.76,17.46,0.0,0.0,177.19,4.79,1.187,1.157,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",4.0,0.0302,3.99,0.242,1,0.8468,0,NORMAL,44.675,-0.713,1,1,1,1,1,224.8,78,15,dijkstra,fallback_centerline,0.59432,0,,,,,,0,,,,194308,178371,3669
26,5.740699768066406,2026-03-06T12:36:20.444977,119.96,0.0,9.09,16.79,13.25,0.0,0.0,177.13,4.8,1.251,1.187,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",3.643,0.0335,3.632,0.222,1,0.7595,0,NORMAL,45.365,-0.528,1,1,1,1,1,224.9,89,15,dijkstra,fallback_centerline,0.60738,0,,,,,,0,,,,228521,181941,4065
27,5.9349682331085205,2026-03-06T12:36:20.639246,119.55,0.0,9.26,19.25,12.09,0.0,0.0,177.23,4.81,1.325,1.251,STRAIGHT,1.5,1.5,"CMD,1.3,1.50",3.218,0.0357,3.205,0.184,1,0.8984,0,NORMAL,47.866,-0.298,1,1,1,1,1,224.8,81,13,dijkstra,fallback_centerline,0.6394,0,,,,,,0,,,,239761,191641,4349
28,6.14019250869751,2026-03-06T12:36:20.844470,121.23,0.0,10.43,22.41,12.02,0.0,0.0,184.25,4.82,1.383,1.325,STRAIGHT,1.5,1.5,"CMD,1.3,1.50",3.001,0.0363,2.986,0.162,1,0.9139,0,NORMAL,51.406,-0.258,1,1,1,1,1,224.6,115,16,dijkstra,fallback_centerline,0.64331,0,,,,,,0,,,,251352,192825,4656
29,6.335902452468872,2026-03-06T12:36:21.040180,122.77,0.0,9.25,16.65,12.23,0.0,0.0,179.56,4.83,1.398,1.383,STRAIGHT,1.5,1.5,"CMD,1.4,1.50",2.968,0.0346,2.953,0.151,1,0.9516,0,NORMAL,51.071,-0.206,1,1,1,1,1,224.8,77,15,dijkstra,fallback_centerline,0.63944,0,,,,,,0,,,,246341,191458,4266
30,6.536631107330322,2026-03-06T12:36:21.240908,118.86,0.0,10.14,22.91,14.09,0.0,0.79,181.83,4.83,1.381,1.383,STRAIGHT,1.5,1.5,"CMD,1.4,1.50",2.987,0.0326,2.972,0.145,1,0.9247,0,NORMAL,50.971,-0.102,1,1,1,1,1,224.9,116,14,dijkstra,fallback_centerline,0.62802,0,,,,,,0,,,,239198,188056,4241
31,6.736719846725464,2026-03-06T12:36:21.440997,119.06,0.0,8.5,21.79,14.14,0.0,0.0,181.71,4.84,1.341,1.381,STRAIGHT,1.5,1.5,"CMD,1.4,1.50",3.076,0.0306,3.062,0.144,1,0.9556,0,NORMAL,50.835,-0.057,1,1,1,1,1,224.9,101,14,dijkstra,fallback_centerline,0.62587,0,,,,,,0,,,,235673,187437,4334
32,6.937082052230835,2026-03-06T12:36:21.641360,122.88,0.0,9.27,16.13,12.33,0.0,0.77,180.34,4.84,1.288,1.341,STRAIGHT,1.5,1.5,"CMD,1.3,1.50",3.185,0.0287,3.173,0.145,1,0.9367,0,NORMAL,50.621,-0.039,1,1,1,1,1,224.9,73,15,dijkstra,fallback_centerline,0.62789,0,,,,,,0,,,,233917,188179,4415
33,7.130801677703857,2026-03-06T12:36:21.835079,120.19,0.0,8.08,20.33,11.73,0.0,0.0,176.09,4.85,1.241,1.288,STRAIGHT,1.5,1.5,"CMD,1.3,1.50",3.267,0.0279,3.256,0.148,1,0.9553,0,NORMAL,50.381,-0.054,1,1,1,1,1,224.9,73,17,dijkstra,fallback_centerline,0.62403,0,,,,,,0,,,,236086,186926,4491
34,7.3229615688323975,2026-03-06T12:36:22.027239,114.76,0.0,8.02,21.04,11.93,0.0,0.0,173.13,4.86,1.184,1.241,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",3.497,0.0259,3.487,0.158,1,0.9259,0,NORMAL,50.144,-0.099,1,1,1,1,1,225.0,115,14,dijkstra,fallback_centerline,0.61554,0,,,,,,0,,,,237271,184314,4393
