frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.33667635917663574,2026-03-06T12:44:18.221983,139.59,0.0,13.36,26.84,13.86,0.0,0.0,212.54,0.0,0.271,0.271,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",3.067,0.0197,3.06,0.092,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,224.7,123,12,dijkstra,fallback_centerline,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.5611703395843506,2026-03-06T12:44:18.446477,120.49,0.0,13.28,25.09,14.02,0.0,0.0,192.83,4.45,0.452,0.361,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",3.428,0.0197,3.421,0.115,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,224.8,116,9,dijkstra,fallback_centerline,0.61686,0,,,,,,0,,,,275006,184570,4359
2,0.7748072147369385,2026-03-06T12:44:18.660114,119.66,0.0,12.46,24.31,13.69,0.0,0.0,189.24,4.55,0.6,0.452,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",3.344,0.0217,3.335,0.121,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,224.9,115,11,dijkstra,fallback_centerline,0.62388,0,,,,,,0,,,,282699,186629,4203
3,0.985295295715332,2026-03-06T12:44:18.870602,120.35,0.0,11.5,23.78,15.26,0.0,0.78,189.56,4.62,0.714,0.6,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",3.287,0.0228,3.278,0.123,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,224.9,120,10,dijkstra,fallback_centerline,0.6263,0,,,,,,0,,,,283233,187447,4348
4,1.1968145370483398,2026-03-06T12:44:19.082121,119.58,0.0,12.18,24.75,13.23,0.0,1.03,189.28,4.64,0.797,0.714,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",3.228,0.0234,3.217,0.121,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,224.9,111,11,dijkstra,fallback_centerline,0.61254,0,,,,,,0,,,,276198,183373,4280
5,1.4086222648620605,2026-03-06T12:44:19.293929,119.17,0.0,12.04,25.9,13.45,0.0,0.0,189.49,4.66,0.857,0.797,STRAIGHT,1.5,1.5,"CMD,0.8,1.50",3.244,0.0237,3.234,0.124,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,224.9,111,9,dijkstra,fallback_centerline,0.61448,0,,,,,,0,,,,279873,183773,4291
6,1.6211493015289307,2026-03-06T12:44:19.506456,120.39,0.0,14.32,25.5,12.98,0.0,0.0,192.38,4.67,0.94,0.857,STRAIGHT,1.5,1.5,"CMD,0.9,1.50",3.046,0.0268,3.033,0.123,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,224.9,119,10,dijkstra,fallback_centerline,0.62316,0,,,,,,0,,,,281026,186440,4537
7,1.8366420269012451,2026-03-06T12:44:19.721949,120.65,0.0,12.59,25.82,14.05,0.0,0.0,191.79,4.66,1.039,0.94,STRAIGHT,1.5,1.5,"CMD,0.9,1.50",2.884,0.03,2.868,0.124,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,224.9,118,10,dijkstra,fallback_centerline,0.62233,0,,,,,,0,,,,278841,186187,4238
8,2.0457286834716797,2026-03-06T12:44:19.931036,118.23,0.0,10.79,25.03,14.04,0.0,0.0,186.55,4.68,1.124,1.039,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",2.844,0.0314,2.826,0.126,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,224.9,119,11,dijkstra,fallback_centerline,0.60928,0,,,,,,0,,,,269374,182274,4316
9,2.259188175201416,2026-03-06T12:44:20.144495,121.97,0.0,10.13,27.16,14.04,0.0,0.0,191.71,4.68,1.182,1.124,STRAIGHT,1.5,1.5,"CMD,1.1,1.50",2.853,0.0314,2.836,0.127,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,224.8,100,8,dijkstra,fallback_centerline,0.61715,0,,,,,,0,,,,275216,184743,4377
10,2.467686891555786,2026-03-06T12:44:20.352994,121.07,0.0,9.51,24.98,10.26,0.0,0.0,185.39,4.69,1.218,1.182,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",2.881,0.0313,2.864,0.129,1,0.9126,0,NORMAL,24.093,0.198,1,1,1,1,1,224.8,123,13,dijkstra,fallback_centerline,0.58798,0,,,,,,0,,,,254195,175828,4051
11,2.678194046020508,2026-03-06T12:44:20.563501,118.28,0.0,12.58,25.83,11.19,0.0,0.0,185.45,4.7,1.241,1.218,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",2.906,0.0312,2.89,0.131,1,0.9187,0,NORMAL,26.949,0.151,1,1,1,1,1,224.7,129,8,dijkstra,fallback_centerline,0.60043,0,,,,,,0,,,,268445,179472,3907
12,2.8965654373168945,2026-03-06T12:44:20.781872,121.54,0.0,10.08,36.01,14.57,0.0,0.0,198.58,4.69,1.244,1.241,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",2.972,0.0303,2.957,0.133,1,0.9053,0,NORMAL,27.608,-0.033,1,1,1,1,1,224.8,211,11,dijkstra,fallback_centerline,0.66244,0,,,,,,0,,,,290871,198202,5293
13,3.1111958026885986,2026-03-06T12:44:20.996503,122.16,0.0,10.11,28.29,14.25,0.0,0.0,191.36,4.69,1.231,1.241,STRAIGHT,1.5,1.5,"CMD,1.2,1.50",3.08,0.0292,3.066,0.138,1,0.9772,0,NORMAL,27.28,-0.129,1,1,1,1,1,224.9,120,9,dijkstra,fallback_centerline,0.67318,0,,,,,,0,,,,290413,201307,4840
