frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.3444349765777588,2026-03-06T13:27:32.533385,144.88,0.0,9.89,24.98,30.15,0.0,0.0,232.7,0.0,0.096,0.096,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,2,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.6109950542449951,2026-03-06T13:27:32.799945,127.31,0.0,11.39,25.64,29.73,0.0,0.0,216.64,3.75,0.161,0.128,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,2,125.6,116,9,dijkstra,graph,0.61686,0,,,,,,0,,,,275006,184570,4359
2,0.8475127220153809,2026-03-06T13:27:33.036462,123.71,0.0,11.09,24.01,28.7,0.0,0.0,209.16,3.98,0.203,0.161,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.007,2.511,0.022,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,2,125.6,115,11,dijkstra,graph,0.62388,0,,,,,,0,,,,282699,186629,4203
3,1.085496187210083,2026-03-06T13:27:33.274446,121.19,0.0,10.35,25.81,29.77,0.0,0.0,208.46,4.05,0.232,0.203,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.007,2.511,0.022,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,2,125.6,120,10,dijkstra,graph,0.6263,0,,,,,,0,,,,283233,187447,4348
4,1.3213937282562256,2026-03-06T13:27:33.510343,124.45,0.0,11.37,23.74,26.78,0.0,0.0,208.53,4.09,0.251,0.232,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.007,2.511,0.022,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,2,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,1.5569536685943604,2026-03-06T13:27:33.745903,122.04,0.0,10.47,24.24,28.83,0.0,0.0,205.93,4.13,0.264,0.251,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,2,125.6,111,9,dijkstra,graph,0.61448,0,,,,,,0,,,,279873,183773,4291
6,1.7899880409240723,2026-03-06T13:27:33.978938,119.49,0.0,11.35,25.39,29.3,0.0,0.0,206.15,4.15,0.272,0.264,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,2,125.6,119,10,dijkstra,graph,0.62316,0,,,,,,0,,,,281026,186440,4537
7,2.02746844291687,2026-03-06T13:27:34.216418,122.72,0.0,11.6,25.41,28.71,0.0,0.0,208.92,4.16,0.28,0.272,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.466,0.022,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,2,123.3,118,10,dijkstra,graph,0.62233,0,,,,,,0,,,,278841,186187,4238
8,2.2610604763031006,2026-03-06T13:27:34.450010,119.98,0.0,10.95,25.13,29.13,0.0,0.0,205.93,4.17,0.283,0.28,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,2,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,2.4924819469451904,2026-03-06T13:27:34.681432,118.47,0.0,11.02,22.85,29.42,0.0,0.0,202.74,4.19,0.285,0.283,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,2,125.6,100,8,dijkstra,graph,0.61715,0,,,,,,0,,,,275216,184743,4377
