frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.29436588287353516,2026-03-06T11:25:01.048872,125.33,0.0,6.08,27.68,2.0,0.0,0.0,183.89,0.0,0.1,0.1,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0072,2.511,0.023,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.37906813621520996,2026-03-06T11:25:01.133574,0.0,0.0,2.0,25.46,11.52,0.0,0.0,60.2,11.81,0.159,0.129,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.0068,3.995,0.054,1,1.0,0,NORMAL,2.595,-0.068,1,1,1,1,1,225.0,133,12,dijkstra,fallback_centerline,0.62537,0,,,,,,0,,,,305345,188005,4543
2,0.45340585708618164,2026-03-06T11:25:01.207912,0.0,0.0,5.75,22.03,8.01,0.0,0.0,54.31,12.58,0.513,0.159,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.0296,3.981,0.235,1,1.0,0,NORMAL,6.142,-0.139,1,1,1,1,1,223.5,115,12,dijkstra,fallback_centerline,0.61723,0,,,,,,0,,,,305345,185360,4543
3,0.5339667797088623,2026-03-06T11:25:01.288473,2.0,0.0,0.0,33.13,8.06,0.0,0.0,57.21,12.52,0.964,0.513,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",3.396,0.0452,3.372,0.259,1,1.0,0,NORMAL,8.447,-0.095,1,1,1,1,1,221.9,188,11,dijkstra,fallback_centerline,0.59254,0,,,,,,0,,,,305345,177958,4543
4,0.7146070003509521,2026-03-06T11:25:01.469113,112.04,0.0,8.01,20.03,2.0,0.0,0.0,160.11,9.52,0.742,0.742,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",4.0,0.0072,2.511,0.023,1,0.9265,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,0.7929627895355225,2026-03-06T11:25:01.547469,0.0,0.0,4.05,24.03,12.01,0.0,0.0,59.86,10.03,0.629,0.742,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",3.763,0.0097,3.756,0.069,1,0.9265,0,NORMAL,11.876,-0.009,1,1,1,1,1,225.0,127,12,dijkstra,fallback_centerline,0.612,0,,,,,,0,,,,283311,183114,4280
6,0.8695864677429199,2026-03-06T11:25:01.624093,4.2,0.0,2.0,26.04,10.01,0.0,0.0,58.6,10.43,0.992,0.742,STRAIGHT,1.5,1.5,"CMD,0.7,1.50",3.551,0.0417,3.527,0.261,1,0.9265,0,NORMAL,15.547,0.029,1,1,1,1,1,223.0,166,11,dijkstra,fallback_centerline,0.59132,0,,,,,,0,,,,283311,177605,4280
7,0.9468779563903809,2026-03-06T11:25:01.701384,0.0,0.0,10.1,28.46,12.02,0.0,0.0,61.08,10.73,1.182,0.992,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",3.625,0.0379,3.601,0.247,1,0.9265,0,NORMAL,19.901,0.066,1,1,1,1,1,223.2,180,14,dijkstra,fallback_centerline,0.56219,0,,,,,,0,,,,283311,168859,4280
8,1.118366003036499,2026-03-06T11:25:01.872872,108.98,0.0,8.01,20.38,0.0,0.0,0.0,153.14,9.71,0.887,0.992,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",4.0,0.0072,2.511,0.023,1,0.9152,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,1.199976921081543,2026-03-06T11:25:01.954483,3.29,0.0,2.0,20.75,10.09,0.0,0.0,55.15,9.94,1.035,1.035,STRAIGHT,1.5,1.5,"CMD,1.0,1.50",3.469,0.0323,3.453,0.193,1,0.9152,0,NORMAL,22.308,0.191,1,1,1,1,1,225.0,113,12,dijkstra,fallback_centerline,0.60791,0,,,,,,0,,,,279525,182019,4316
